node_id,labels,name,node_type,article_id,segment_id,title,text
article:38ae38913d4c,Article,《自由世界与必然世界》,Article,瞿秋白_000_a4753ce4,,《自由世界与必然世界》,
author:cae0d37ededf,Author,瞿秋白,Author,,,,
article:0759cb81c2c9,Article,实验主义与革命哲学,Article,瞿秋白_001_3dbfe529,,实验主义与革命哲学,
segment:55b93cadd070,Segment,瞿秋白_000_a4753ce4_s0015,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0015,,"自然进攻；人与自然的斗争过程里发见自然现象的公律，能使他不得不结合共产部落而同进于较自由之域，——实在是利他。无产阶级的“阶级个性”依利己主义而向现存制度进攻；阶级斗争的过程里发见社会现象的公律，能使无产阶级觉悟：“非解放人类直达社会主义不能解放自己”，——实在亦是利他。个性之于阶级，亦与阶级之于人类的关系相同。

　　总之，科学的因果律不但足以解释人生观，而且足以变更人生观。每一“时代的人生观”为当代的科学智识所组成；新时代人生观之创始者便得凭借新科学智识，推广其“个性的人生观”使成时代的人生观。可是新科学智识得之于经济基础里的技术进步及阶级斗争里的社会经验。所以个性的先觉仅仅应此斗争的需要而生，是社会的或阶级的历史工具而已（如马克思、列宁）。他是历史发展的一因素，他亦是历史发展的一结果。

　　各个性的努力足以促进历史的进化，正因为他们在斗争过程里不断发见历史的“必然因果”，所以能使人类运用“自然律”及“社会律”同登“自由之域”。譬如人不知道电气的公律时只有信电神，知道公律之后便能应用电气；人不知道资本集中律时，只能受他的害，知道之后便能应用此集中律以达无阶级无政府之共产社会。

　　我们现在可以总结：

　　一、社会现象的规律性应当先求之于社会的最后原因；不能以个人动机或群众动机作为社会现象的唯一因素，当再求此因素之因素。

　　二、社会现象确有因果律可寻；"
segment:dfd304a04b22,Segment,瞿秋白_001_3dbfe529_s0008,Segment,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0008,,"著客观的趋向。我们不能要做什么便做什么：现实生活处处时时矫正我们的行动。我们的观念反映客观的现实很正确的时候，我们的行动便不致于和现实相冲突，不致于“碰顶子”。某种意见是真理，并不因为他对于我们有益；这种意见对于我们有益，却因为他是真理。换句话说，就是因为他切合于客观的现实世界。客观的现实世界确是变易不息的，我们因此要求科学的真理—确定的真理，求此变易之中“不易”，不能像实验主义那样，只能暂时有益于我们的算真理。我们得了科学的真理、客观世界的定律之后，才能彻底的改造社会，不能安于琐屑的应付。

实验主义既然只承认有益的方是真理，他便能暗示社会意识以近视的浅见的妥协主义，他决不是革命的哲学。"
segment:0c47bc69c979,Segment,瞿秋白_001_3dbfe529_s0004,Segment,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0004,,"真，这种理论总是好的，假使宗教能“安人心”，那么，宗教亦是真理。

实验主义的意思，以为真理自身并无何等价值。每种学说必须与人的实际需要发生关系，方能成为真理。假使宗教能帮助我们经营实际生活，减少我们生活里的苦恼，那么，宗教亦是真实的，而且是必要的。

实际上真理是否能作如此解释呢？不然的。仅仅是“有益”还不能尽“真实”的意义。一种思想，必须是真实的，必须是合于客观的事实的，方能是有益的 —— 思想的积极精神必须反映现实里的积极精神。事实上无所用其“积极”的地方，单是我们主观的努力是无用的。一定要客观世界给我们一个保证：保证客观里的一切发展是依定律的，这些定律可以做我们人的行动的指导的 —— 那时方有积极之可能。如今实验主义只问理论能否做人的行动的动机，那就是承认一切催眠术式的学说亦是真实的。譬如说：中国现在要一个好政府，你们只要承认这一个意见，动手去干就好了，不必细问这一种意见，是否客观上有实行的可能。中国政治的发展，社会里各种力量的形势，依社会变易的定律，是否容许好政府式的救中国，也应当考虑一下。

何以实验主义以为一切理论自身本无何等价值？这是因为实验主义的宇宙观根本建筑在多元论上。“……现实世界若是离了人的思想，就变成很难捉

摸的东西。现实世界接触了人的经验之后，还没有定名，便只造成某种观念；或者呢，现实世界还没有被人认识明白之先，能因经验而与人以某种概念。"
segment:93a7de67862c,Segment,瞿秋白_000_a4753ce4_s0002,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0002,,"发生了新的问题：“究竟是什么样的力量支配着人的意志而能使移易方向；究竟是什么样的历史原因反映于人的思想里而引起各种愿望？”

　　旧派的唯物论向来不设这种问题。他们的历史观实在是唯用主义（实验主义）的：可以分历史上的人物为“好人”与“坏人”，各依其所愿望为标准而断，研究的结果大半是好人吃亏而坏人沾光。于是就说历史发展中并无所谓“天道”——这算是唯物论！其实这种学说自己就反对唯物论：他以为思想的动机是历史事实的最后原因，而不去研究那思想动机后所隐匿的动机。这种学说的不一贯，不在于他承认思想动机之存在，而在于他不追究思想动机之后的最后原因。

　　历史现象的研究应当更深一层。英雄伟人以至于群众的动机，不论是显而易见的或是隐匿难见的，都不是历史现象的最后原因；最后原因却是造成这些种种动机的现实力量。黑智儿（黑格尔）的历史哲学不承认个人的动机是最后原因，然而他承认是哲学思想的流派：他寻求最后的原因不在历史之中，而在历史之外。譬如黑智儿解释希腊史，他不细细考究希腊史实之间的联系原因，而说希腊史是真美个性之创造过程，说是艺术作品的实现。客观的唯心论之谬误，就在于此。

　　历史中之政治家的动机，不论是有意的或是无意的，必定与最后原因相联系。个人的动机无论如何重要，总敌不过群众的动机，或是民族的，或是阶级的；所以研究历史的原因，必须追究群众动机的根源。"
segment:a51de353ac33,Segment,瞿秋白_001_3dbfe529_s0001,Segment,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0001,,"原则，用之于中国，一方面是革命的，一方面就是反动的。至于欧美呢，这却纯粹是维持现状的市侩哲学。

诚然不错，实验主义教中国人自问“为着什么而生活，怎么样生活”？在中国是旧制度崩坏，新阶级兴起时的革命标语；在欧美却是旧阶级般衰落时，自求慰藉的呓语，因为实验主义给的答案是“怎样应付现状”。阶级所处的地位不同，这“应付”的方法也就不同：在中国的第三阶级，要应付军阀的压迫，所以是革命的；在欧美的资产阶级，要应付劳工阶级的反抗，所以是反动的。

中国这样的文化落后的国家，处于国际竞争之间，当然需要科学的知识，以为应付之用，所以实验主义带着科学方法到中国。其实这是一种历史的误会。实验主义只能承认一些实用的科学知识及方法，而不能承认科学的真理。实验主义的特性就于在于否认一切理论的确定价值。他是欧洲资本主义社会的实用哲学，尤是“美国主义”。实验主义竭力综合整理现代市侩的心理，暗地里建筑成一个系统—虽然他自己是否认一切哲学系统的。

市侩所需要的是“这样亦有些，那样亦有些”：一点儿科学，一点儿宗教，一点儿道德，一点儿世故人情，一点儿技术知识，色色都全，可是色色都不彻底，这样才能与世周旋。可是决不可以彻底根究下去，不然呢，所得的结论，便是彻底改造现存制度，而且非用革命方法不可—那多么可怕呵！现状是可以改造的，却不必根本更动现存的制度，只要琐琐屑屑，逐段应付好了。所以实验主义是多元论，是改良派。"
segment:cefdad0d5beb,Segment,瞿秋白_000_a4753ce4_s0007,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0007,,"主观的行动，“障碍力的必然”是主观的受动。至于“因果的必然”才是客观的解释。或者以为社会发展既有因果的必然，便可以绝不行动，便无从有意识地去助长某种历史的发展。这种学说以为只有两种情形：“或者我认这种现象是必然的，不可免的，那便用不着去助长他；或若我的行动是引起这种现象所必需的，那便这种现象不能叫做必然的。谁又竭力去助长那必然的不可免的太阳之东升呢？”

　　虽然！太阳之东升与人类社会关系绝无联系，亦不是他的因，亦不是他的果。所以他可与社会现象相对待。至于社会现象和历史，对于人类却不同了。历史是人做的；当然，人的意向不能不是历史发展的一因素。可是，人所做成的历史偏偏是这样的而不是那样的，正因为其中亦有个“必然”在。既有这一“必然”，便有这“必然”的果——人的某种意向。此种意向再回过去做社会发展因素。“意向”并不与“必然”不相并立；不过意向亦受“必然”的规定罢了。

　　每一阶级倾向于求解放，行社会的变革，他的行动亦是这一变革的因。然而他的行动及种种意向又是某种经济发展的果，所以他自己亦受“必然”的规定。

　　社会学之所以能成科学，全在于他能解释明白人之社会的目的何故发生；社会的目的是社会发展过程之必然的果，追寻他最后的原因，却在于经济发展。

　　既然知道历史的必然，人的行动就更可以“自由些”，——更容易达到目的些；"
segment:9cb723bf3134,Segment,瞿秋白_000_a4753ce4_s0012,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0012,,"心理随着经济动象而变，于是在这流变之中可以先发现一二伟大的个性，代表新的社会心理之开始（个性的人生观）。每一期人与自然界的斗争，由于自然的适应而生技术上的变革；于此斗争的过程里，得综合技术的成绩而成系统的智识（科学）。然而技术的变革，必定影响于经济关系；经济关系又渐渐确定新的政治制度，变更人与人之间的斗争阵势。于是政治制度较稳定的时期，大家引用当时所已得及已承认的智识，便有大致相同的对于人生及宇宙的概念，——养成当代的社会心理。如此转辗流变，至有新技术、新科学、新斗争之时，便能发生新人生观。这是人生观所以有时代的不同之原因。再则，当新的社会心理创始之期——政治制度受剧变之时，平素隐匿未见的阶级矛盾显然地爆发，伟大的个性能先见此新人生观，立于新阶级的观点而与旧阶级开始思想上之阶级斗争。这是人生观所以有个性的（实即阶级的）不同之原因。

　　新阶级的群众对于某一问题，因其对于生产工具之关系相同，大致有同一的态度；所以解决这一问题的趋向，亦就不相上下。然而阶级的观点永久与经济环境相关，所以各阶级及阶级内之各“层”的观点必不相同，解决这一问题的趋向也就各自相异。此种群众的动机在阶级内有共同的解决问题的趋向，本来亦是经济原因的必然结果；况且在各阶级之间又有各种趋向的斗争，互相牵掣而各不能达，于是又落于第二次的客观的必然结果。"
