node_id,labels,name,node_type,article_id,segment_id,title,text
article:38ae38913d4c,Article,《自由世界与必然世界》,Article,瞿秋白_000_a4753ce4,,《自由世界与必然世界》,
author:cae0d37ededf,Author,瞿秋白,Author,,,,
article:0759cb81c2c9,Article,实验主义与革命哲学,Article,瞿秋白_001_3dbfe529,,实验主义与革命哲学,
segment:452b0359151f,Segment,瞿秋白_000_a4753ce4_s0004,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0004,,"“必然”，就决不是盲目的。“自由”不在于想象里能离自然律而独立，却在于能探悉这些公律；因为只有探悉公律之后，方才能利用这些公律，加以有规划的行动，而达某种目的。因此所谓“意志自由”，当解作：“确知事实而能处置自如之自由”；若是否认因果律，就算自由，那真是盲目的真理了！人的意志愈根据于事实，则愈有自由；人的意志若超越因果律，愈不根据于事实，则愈不自由。——因为不知因果律，便无从决定行为，只有孤注一掷的赌博的侥幸心，而绝无所谓自由意志。“自由”实在就是能克制自然及自己，然必以知悉自然的必要为根据；所以“自由”本是历史发展之必然的产物。最早的人，在草昧时代，各方面都不自由，与禽兽无异；然而每一次的文化进步，都是行近自由的一步。人类历史的初步便是火之发明：发见机械的动及摩擦可以生热及火；——到最近代的文明，却是变热力成机械的动。人类离自然而独立自由，完全在于探悉自然界的公律。人类历史的发展里，人若欲求得自由，欲求脱离社会现象之“自生自灭性”的压迫，而进于自由处置社会现象的威权，亦必须探悉社会现象里的“必然”的因果律。空言意志自由，甚至于否认因果律以立意志自由——那简直是自相矛盾。

　　三、历史的必然与有意识的行动

　　资本主义时代的强有力的生产工具若能变成公共的财产，生产制度若得按照着社会关系而组织，那时，人类方能完全克服自然，才能完全制止自己的盲动。"
segment:a51de353ac33,Segment,瞿秋白_001_3dbfe529_s0001,Segment,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0001,,"原则，用之于中国，一方面是革命的，一方面就是反动的。至于欧美呢，这却纯粹是维持现状的市侩哲学。

诚然不错，实验主义教中国人自问“为着什么而生活，怎么样生活”？在中国是旧制度崩坏，新阶级兴起时的革命标语；在欧美却是旧阶级般衰落时，自求慰藉的呓语，因为实验主义给的答案是“怎样应付现状”。阶级所处的地位不同，这“应付”的方法也就不同：在中国的第三阶级，要应付军阀的压迫，所以是革命的；在欧美的资产阶级，要应付劳工阶级的反抗，所以是反动的。

中国这样的文化落后的国家，处于国际竞争之间，当然需要科学的知识，以为应付之用，所以实验主义带着科学方法到中国。其实这是一种历史的误会。实验主义只能承认一些实用的科学知识及方法，而不能承认科学的真理。实验主义的特性就于在于否认一切理论的确定价值。他是欧洲资本主义社会的实用哲学，尤是“美国主义”。实验主义竭力综合整理现代市侩的心理，暗地里建筑成一个系统—虽然他自己是否认一切哲学系统的。

市侩所需要的是“这样亦有些，那样亦有些”：一点儿科学，一点儿宗教，一点儿道德，一点儿世故人情，一点儿技术知识，色色都全，可是色色都不彻底，这样才能与世周旋。可是决不可以彻底根究下去，不然呢，所得的结论，便是彻底改造现存制度，而且非用革命方法不可—那多么可怕呵！现状是可以改造的，却不必根本更动现存的制度，只要琐琐屑屑，逐段应付好了。所以实验主义是多元论，是改良派。"
segment:96821ed907ee,Segment,瞿秋白_000_a4753ce4_s0016,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0016,,"一、社会现象的规律性应当先求之于社会的最后原因；不能以个人动机或群众动机作为社会现象的唯一因素，当再求此因素之因素。

　　二、社会现象确有因果律可寻；唯知此因果律之“必然”，方能得应用此因果律之“自由”。

　　三、人的意识是社会发展之果，既成社会力量之后亦能为社会现象之因；然必自知此因果联系，人的意志方能成社会现象之有意识的因。

　　四、社会的有定论以科学方法断定社会现象里有因果律；然后能据此公律推测“将来之现实”——就是“现时之理想”。

　　五、社会发展之最后动力在于“社会的实质”——经济；由此而有时代的群众人生观，以至于个性的社会理想；因经济顺其客观公律而流变，于是群众的人生观渐渐有变革的要求，所以涌出适当的个性，——此种“伟人”必定是某一时代或某一阶级的历史工具。

　　历史的工具运用“必然”的公律——由个性而阶级而人类，由无意识而有意识——成为群众的实际运动；群众运动的斗争正需要此历史的工具，社会的实质亦已能产生此历史的工具，于是方开始从“必然世界”进于“自由世界”的伟业。

　　人要从“自然之奴”进于“自然之王”必须知道自然律；人要克服社会的自生自灭性必须知道社会律。"
segment:9cb723bf3134,Segment,瞿秋白_000_a4753ce4_s0012,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0012,,"心理随着经济动象而变，于是在这流变之中可以先发现一二伟大的个性，代表新的社会心理之开始（个性的人生观）。每一期人与自然界的斗争，由于自然的适应而生技术上的变革；于此斗争的过程里，得综合技术的成绩而成系统的智识（科学）。然而技术的变革，必定影响于经济关系；经济关系又渐渐确定新的政治制度，变更人与人之间的斗争阵势。于是政治制度较稳定的时期，大家引用当时所已得及已承认的智识，便有大致相同的对于人生及宇宙的概念，——养成当代的社会心理。如此转辗流变，至有新技术、新科学、新斗争之时，便能发生新人生观。这是人生观所以有时代的不同之原因。再则，当新的社会心理创始之期——政治制度受剧变之时，平素隐匿未见的阶级矛盾显然地爆发，伟大的个性能先见此新人生观，立于新阶级的观点而与旧阶级开始思想上之阶级斗争。这是人生观所以有个性的（实即阶级的）不同之原因。

　　新阶级的群众对于某一问题，因其对于生产工具之关系相同，大致有同一的态度；所以解决这一问题的趋向，亦就不相上下。然而阶级的观点永久与经济环境相关，所以各阶级及阶级内之各“层”的观点必不相同，解决这一问题的趋向也就各自相异。此种群众的动机在阶级内有共同的解决问题的趋向，本来亦是经济原因的必然结果；况且在各阶级之间又有各种趋向的斗争，互相牵掣而各不能达，于是又落于第二次的客观的必然结果。"
segment:bdcdbf198703,Segment,瞿秋白_001_3dbfe529_s0007,Segment,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0007,,"的唯物主义（Lo materialism dialectique）很相近。其实不然。

第一层应当注意的就是：马克思主义所注重的是科学的真理，而并非利益的真理。马克思主义以为：“各种观念是由于各种感觉所引起的；感觉乃是人对于外界环境直接起的反应作用；人的行为大致依照着自己的需要和利益而定，尤其是每一社会阶级的行为是如此。”仅仅承认在心理方面说来，每一社会阶级对于自己有益的真理，对于那种能够做自己阶级斗争的好工具的学说格外接近些；却并没有承认一切有益的学说都是真理，亦没有承认人的愿望和目的可以做外物的标准、真理的规范，更没有承认知识的内容是主观的。

实验主义的积极精神早已包含在互辩律的唯物论里。互辩律的唯物论的根本观念，是承认我们对于外物的概念确与外物相符合。因此，我们要利用外物，只能尽他实际上所含有的属性，来满足我们的需要，达到我们的目的。客观的现实世界里所没有的东西，不能做我们行动的目标。现实只有一个，真理亦只有一个。我的观念及思想，当然是刻刻变的；然而这是因为客观的现实世界在那里刻刻的变。却并不是因为我们主观的目的在那里变。照互辩律的唯物论的意义，我们亦在时时刻刻变易外界的现实生活，然而只能依著客观的趋向。我们不能要做什么便做什么：现实生活处处时时矫正我们的行动。我们的观念反映客观的现实很正确的时候，我们的行动便不致于和现实相冲突，不致于“碰顶子”。"
segment:93a7de67862c,Segment,瞿秋白_000_a4753ce4_s0002,Segment,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0002,,"发生了新的问题：“究竟是什么样的力量支配着人的意志而能使移易方向；究竟是什么样的历史原因反映于人的思想里而引起各种愿望？”

　　旧派的唯物论向来不设这种问题。他们的历史观实在是唯用主义（实验主义）的：可以分历史上的人物为“好人”与“坏人”，各依其所愿望为标准而断，研究的结果大半是好人吃亏而坏人沾光。于是就说历史发展中并无所谓“天道”——这算是唯物论！其实这种学说自己就反对唯物论：他以为思想的动机是历史事实的最后原因，而不去研究那思想动机后所隐匿的动机。这种学说的不一贯，不在于他承认思想动机之存在，而在于他不追究思想动机之后的最后原因。

　　历史现象的研究应当更深一层。英雄伟人以至于群众的动机，不论是显而易见的或是隐匿难见的，都不是历史现象的最后原因；最后原因却是造成这些种种动机的现实力量。黑智儿（黑格尔）的历史哲学不承认个人的动机是最后原因，然而他承认是哲学思想的流派：他寻求最后的原因不在历史之中，而在历史之外。譬如黑智儿解释希腊史，他不细细考究希腊史实之间的联系原因，而说希腊史是真美个性之创造过程，说是艺术作品的实现。客观的唯心论之谬误，就在于此。

　　历史中之政治家的动机，不论是有意的或是无意的，必定与最后原因相联系。个人的动机无论如何重要，总敌不过群众的动机，或是民族的，或是阶级的；所以研究历史的原因，必须追究群众动机的根源。"
segment:bb8b4ccc0515,Segment,瞿秋白_001_3dbfe529_s0005,Segment,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0005,,"人的思想，就变成很难捉

摸的东西。现实世界接触了人的经验之后，还没有定名，便只造成某种观念；或者呢，现实世界还没有被人认识明白之先，能因经验而与人以某种概念。在这种时候，只有一种模糊的绝对的不可捉摸的意象 —— 纯粹理想上的一种界说。”（詹姆士）如此说来，所谓现实世界只是人的种种色色的感觉之总和。这种感党以外的真实世界，若是不和我们的经验接触，那么，他的存在与否，都不成问题。于是我们便能任意分割经验上得来的感觉，使成种种事物、种种关系及联系以及我们自己的观念。感觉固然是受外界的刺激而来，绝不受我们的管束的。可是我们有自己的利益和需要，凭着这些利益和需要我们来决定：许许多多感觉之中对于那几种感觉我们便注意，对于那几种便不注意。因此，现实世界的内容，可以由我们自己选择。外物自外物，我自我。我凭我的需要，择取外物的观念，我所见的现实世界，未必便是别人所见的，我现在所见的现实世界，未必便是我将来所见的。于是外物都成了我们任意造出来的东西，我们凭着自己的需要而设想出来的。詹姆士说：“……就是在感觉方面我们的精神亦能在一定的范围里有自由选择的能力。我们能取此舍彼—这便是感觉方面的界限。注重感觉所得的某几部分，而不注意其余的部分，我们就划出一个先后来了。在这里再整理出一个系统之后，我们方能了解他。总之，我们有的是一块大理石，要自己拿来雕一个形象出来。"
