node_id,labels,name,node_type,article_id,segment_id,title,text
article_a22385adf8ac1967,Article,玄学上之问题,Article,颂皋_000_0fffa40d,,玄学上之问题,
author_aa08de6be9d7fb18,Author,颂皋,Author,,,,
segment_76adc07331c145fe,Segment,颂皋_000_0fffa40d_s0000,Segment,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0000,,"近来了在君先生与张君劢先生为科学与玄学之争，发表许多文章，引起学术界之注意。一时起而招辩者，类皆国内知名之士，对于专门之学，皆有深造，故其所发言论，自多价值。但亦有主张偏激，思想之间，发生绝大缺陷者，考其所以致此之由，大率对于玄学之所以为玄学，不无稍欠了解。因忆旧读乾姆斯（James）所著哲学问题（Some Problems of Philosophy）书中，有专论“玄学上之问题”一章，颇能将玄学之界说，与夫玄学的问题之性质阐明无遗，爱节译之，以供读者之评览焉。

颂皋。七，二，苏州。

欲于玄学（Metaphysics）一词，加以明确之定义，诚为不可能之事。如欲将玄学所涉及之问题，一一加以说明，则最妙方法，莫如即先探索其意义之所在。原夫玄学，乃所以讨论各种空虚的（Obscure）抽象的（Abstract）普遍的（General）问题，而为科学与人生所未能解决者。易言之：即此种悬而未解决，玄而且深，关于事物之全体或其永久的原素之问题也。欲明此义，请举例如左:

(1) 何谓思想？何谓事物？思想与事物之间如何发生关系?

(2) 吾人所云“真理”，果作何解?

(3) 一切事实均由材质（Stuff）而成，试问究竟有否此种普通之材质?

(4) 世界究竟由何而来？往昔或竟不如是乎?

(5) 何者为本体中之最真实者?

(6) 凡百事物果如何而并合成一字宙?"
segment_cf815dd36ad5114a,Segment,颂皋_000_0fffa40d_s0001,Segment,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001,,"，试问究竟有否此种普通之材质?

(4) 世界究竟由何而来？往昔或竟不如是乎?

(5) 何者为本体中之最真实者?

(6) 凡百事物果如何而并合成一字宙?

(7) 整一（Unity）与分异（Diversity）孰为根本的?

(8) 凡百事物只有一源欤，抑为多源欤?

(9) 一切事物均为前定的欤，抑有数种事物为自由的欤？——例如吾人之意志然。

(10) 试由全部以观，世界是否无限止的（Infinite), 抑为有限止的（Finite)?

(11) 世界之各个部分，是否相互接连，抑有空隙之处?

(12) 上帝是谁？一切神又是谁?

(13) 身与心果如何连合者？二者是否相互发生动作?

(14) 凡一事一物如何能由别一事物之中发生变化或自产生?

(15) 任何事物，对于任何其他事物，如何发生动作?

(16) 空间与时间果为“真有”乎？藉曰否，则二者果作何解?

(17) 就知识言，物体如何感入心中？心又如何触及物体?

(18）吾人藉普遍的观念而知一切，然则此种普遍的观念果为真实乎？藉曰否，则是否只有特殊的观念真实?

(19) 何谓事物?

(20) 推考之种种原则为天赋者乎，抑为后天所得者乎?

(21) 美与善是否只系一种意见，有否一种客观的证实（Objective Validity)? 设曰然，则所谓客观的证实，又作何解?

类此形式之问题，是谓玄学上之问题。"
segment_8debebbd9cb0abb4,Segment,颂皋_000_0fffa40d_s0002,Segment,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002,,"美与善是否只系一种意见，有否一种客观的证实（Objective Validity)? 设曰然，则所谓客观的证实，又作何解?

类此形式之问题，是谓玄学上之问题。康德尝谓玄学上之重要问题有三，即:

(1) 何为我所能知者?(What can I know?)

(2) 何为我所应为者?(What Should I do?)

(3) 何为我可期望者?(What May I hope?)

试观上述各问题，可知欲于玄学一词，假定一相当之定义，尚非难事。所谓定义，诚如桓儿夫（C. Wolff）所言，可归纳于下列一句：凡论及事物之可能者，是谓玄学，与备及事物之实在者，显非相同。何则？盖后者所涉及之问题，大半关于实际的事实故也。或曰：玄学者乃所以探究一切事物之原因、本质、

意义，及其结果者。或曰：玄学实为研究本体之最普遍之原理之学；而所谓原理，不特彼此衔接一起，即于吾人知识之能力，亦发生关系焉。

夫此处所谓原理，在吾人观之显有不同之意义可以想见。谓为真“有”乎，则原子灵魂之说尚矣。谓为逻辑的定例乎，则“凡物非存在即为存在”之说是已。谓为普遍化的事实乎，则“凡物必须于已存在之后乃能有所作用”，即其例矣。原理之意义，既如是之复杂，由原理而完成之科学，又难有实现之望，然则此种定义，推其究竟，直等于一装饰品耳。夫玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题。"
segment_8a91f7200b879215,Segment,颂皋_000_0fffa40d_s0003,Segment,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0003,,"原理之意义，既如是之复杂，由原理而完成之科学，又难有实现之望，然则此种定义，推其究竟，直等于一装饰品耳。夫玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题。斯而果能一一解决，则玄学已不失为一种整一的学问。因此本章所欲讨论者，不过为少数单纯问题，其他概不述及焉。

且夫上所云之各问题，大都为真实者也。换言之，只有数问题，吾人或以不当之各词说明之。今以“事物”而论，是否由于一种物质所组成，抑不止一种物质？是否出自一源，抑不止一源？是否都为前定的，抑有数种为自由的？类此两岐之问题，难于解决，固可付之不论。但此种问题，苟非吾人得以证实之，在自然律上，要与吾人相抵牾，则可无疑。是故即使吾人不能于此种问题有所增益，而于原有之问题与夫假定的答案，吾人亦必重视之。不宁如是，即关于此种问题之种种有价值的意见，吾人亦须详加分析，而负责以讨论之。例如“关于世界之起源究有若干意见”而论，吾人即须善加分析而一一讨论之。斯宾塞尔尝谓世界非永久者，即为自我创造者；非自我创造者，则为外力所创造者。但此三种假设，不过在斯氏个人言之，如此焉耳，是否正确，固又一问题也。藉曰正确，则三者之中，果以何者为最合理，何以为最合理，不岂又一问题耶？申述至斯，吾人不啻已深入玄学之重围，无以解脱，盖即使吾人随斯氏而断定无一起源之形态为可以思议，而断定全部问题为非真实，吾

人亦不失为玄学家矣。"
segment_1a7b8ee14340a74b,Segment,颂皋_000_0fffa40d_s0004,Segment,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0004,,"又一问题耶？申述至斯，吾人不啻已深入玄学之重围，无以解脱，盖即使吾人随斯氏而断定无一起源之形态为可以思议，而断定全部问题为非真实，吾

人亦不失为玄学家矣。

有数种假设，以其自相矛盾之故，令人视之，似为荒谬绝伦。例如“连续的综合，所永不能完成者，是谓无限性”（Infinity),即一明证。盖所谓无限性，乃指无限的而言；既云无限的矣，则谓为由连续的综合而完成之，岂非一绝大之矛盾而何？是故分析各项假设，与分析各项问题，均为吾人所应重视，均于玄学之研究，为不可缺少者。明乎此理，吾人可以自为玄学家，而将上述各问题，加以详密的讨论矣。

—— 转录《时事新报·学灯》——"
entity_36498d59f2e2c022,概念,科学,概念,,,,
entity_6abac119ca7ae09e,概念,玄学,概念,,,,
entity_a06fd69da5e24d7a,人物,威廉·詹姆斯,人物,,,,
