source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
瞿秋白,article:38ae38913d4c,WROTE,WROTE,neutral,0,0,,,,瞿秋白_000_a4753ce4,
瞿秋白,article:0759cb81c2c9,WROTE,WROTE,neutral,0,0,,,,瞿秋白_001_3dbfe529,
article:38ae38913d4c,segment:55b93cadd070,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0015
article:0759cb81c2c9,segment:dfd304a04b22,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0008
article:0759cb81c2c9,segment:0c47bc69c979,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0004
article:38ae38913d4c,segment:93a7de67862c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0002
article:0759cb81c2c9,segment:a51de353ac33,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0001
article:38ae38913d4c,segment:cefdad0d5beb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0007
article:38ae38913d4c,segment:9cb723bf3134,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0012
article:38ae38913d4c,segment:4e399de99a39,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0014
article:38ae38913d4c,segment:1ca625d173fb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0009
article:38ae38913d4c,segment:783a6c965b57,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0008
article:0759cb81c2c9,segment:66a9381026eb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0006
article:38ae38913d4c,segment:452b0359151f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0004
article:0759cb81c2c9,segment:bb8b4ccc0515,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0005
article:38ae38913d4c,segment:96821ed907ee,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0016
article:0759cb81c2c9,segment:26c4f7abd663,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0000
article:0759cb81c2c9,segment:9c05cab0d890,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_001_3dbfe529,瞿秋白_001_3dbfe529_s0002
article:38ae38913d4c,segment:37c502ef7213,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0001
article:38ae38913d4c,segment:267377a1d0c8,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,瞿秋白_000_a4753ce4,瞿秋白_000_a4753ce4_s0000
