source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
范寿康,article:9bfd9ecc020f,WROTE,WROTE,neutral,0,0,,,,范寿康_000_14d2ac72,
entity:fe901cfcc616,entity:76f276230722,RELATES_TO,主张,neutral,0.0,0.0,不适用,自张君劢氏在《清华周刊》第二七二期上发表了一篇讲演稿《人生观》以后,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000
entity:76f276230722,entity:efcde83f70d9,RELATES_TO,导致,neutral,0.0,0.0,不适用,所谓“科学与玄学之争”的导火线就是这篇《人生观》,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000
entity:0bacf98593d1,entity:fe901cfcc616,RELATES_TO,反驳,negative,-0.5,0.5,逻辑反驳,张君劢氏为了这篇文字，不久就引起了丁文江氏的驳击,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000
term:cbef98419595,entity:eaa420e0245d,RELATES_TO,相关,mixed,0.5,0.5,部分肯定,一方面我觉得这是学术界应有的事情，所以我以为这种争论，在争论本身上，是应该提倡，却不应该排斥；但是在他方面我却觉得这次讨论的内容未能十分令人满意,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000
term:cbef98419595,term:b62be8ed2598,RELATES_TO,主张,neutral,0.0,0.0,不适用,我看这次论争的中心要在于“人生观与科学的关系”,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000
term:b62be8ed2598,term:377141a835be,RELATES_TO,作为论据支持,neutral,0.0,0.0,不适用,我看这次论争的中心要在于“人生观与科学的关系”，所以关于讨论的程次和范围似应由这个中心问题而决定,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000
term:cbef98419595,entity:a252ef6e0c94,RELATES_TO,相关,positive,1.0,0.5,援引权威支持,梁启超氏在他那篇《人生观与科学》里面说得好,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000
term:cbef98419595,entity:8286a58e1bd9,RELATES_TO,相关,positive,1.0,0.5,部分肯定,梁氏这段评论最是确当,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000
term:cbef98419595,entity:7b6e79594c23,RELATES_TO,相关,mixed,0.0,0.5,部分肯定,伏园氏这个提案虽足以证明他注意到讨论的程次和范围，然而我觉得他的见解已落梁氏之后。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
term:cbef98419595,entity:7b6e79594c23,RELATES_TO,批评,negative,-0.5,0.6,逻辑反驳,他于科学之外，另立一个哲学，不是他已承认科学只能为狭义的科学（不包含哲学在内）么？,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
term:cbef98419595,term:1a452208b606,RELATES_TO,相关,negative,-0.5,0.5,一般批评,这次论争的缺点我以为第一就在讨论的程次和范围问题多被忽视的一点。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
term:cbef98419595,entity:e2e4dccffb9b,RELATES_TO,相关,positive,0.5,0.4,部分肯定,王星拱论《科学与人生观》，他所定的程次和范围也还不错，他对于这一层的见解，大体与梁氏相同。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
entity:7b6e79594c23,term:2ed1a9215b8f,RELATES_TO,主张,neutral,0.0,0.3,不适用,不过至少，我以为双方都应该宣布自己对这三个名词的定义。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001
term:cbef98419595,term:b33c79c35f52,RELATES_TO,批评,negative,-0.8,0.6,一般批评,末，他这个另论哲学的意见又未免是另生枝节了。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
entity:e2e4dccffb9b,term:5f4ec6c18a51,RELATES_TO,主张,neutral,0.0,0.0,,梁氏及伏园氏而外，王星拱论《科学与人生观》，他所定的程次和范围也还不错，他对于这一层的见解，大体与梁氏相同。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
entity:e2e4dccffb9b,term:bee46e828c7d,RELATES_TO,主张,neutral,0.0,0.0,,梁氏及伏园氏而外，王星拱论《科学与人生观》，他所定的程次和范围也还不错，他对于这一层的见解，大体与梁氏相同。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
entity:e2e4dccffb9b,entity:a252ef6e0c94,RELATES_TO,主张,neutral,0.0,0.0,,梁氏及伏园氏而外，王星拱论《科学与人生观》，他所定的程次和范围也还不错，他对于这一层的见解，大体与梁氏相同。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
term:cbef98419595,term:12243ab8f3f5,RELATES_TO,相关,negative,-0.7,0.5,一般批评,至于其他诸氏中间，有的人们所实施的攻击系侧面攻击，有的人们所计画的战斗系短兵相搏，可以说树这一种堂堂正正的旗帜的差不多是没有。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
term:cbef98419595,term:fe9e0d55678a,RELATES_TO,主张,positive,0.8,0.5,,照我的私见，我同梁氏一样，也以为这次问题的核心既是“人生观与科学的关系”，那末，讨论的程次和范围应当如下面所列: (一) 人生观是什么? (二）科学是什么? (三）人生观与科学研究竟有无关系？如有，他们二者的关系究是怎样?,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
term:cbef98419595,entity:a252ef6e0c94,RELATES_TO,主张,positive,0.8,0.5,,照我的私见，我同梁氏一样，也以为这次问题的核心既是“人生观与科学的关系”，那末，讨论的程次和范围应当如下面所列: (一) 人生观是什么? (二）科学是什么? (三）人生观与科学研究竟有无关系？如有，他们二者的关系究是怎样?,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
entity:67821481a750,term:bf4e41272c7f,RELATES_TO,定义,neutral,0.0,0.0,概念澄清,人生观为关于人生的现实及理想两方面的见解。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
entity:6ad5ed161517,term:376c97f51098,RELATES_TO,包含,neutral,0.0,0.0,,人生观所包含的内容虽分现实和理想两方面，而注重却在于理想方面。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
entity:6ad5ed161517,term:f1ae3497ed8b,RELATES_TO,包含,neutral,0.0,0.0,,人生观所包含的内容虽分现实和理想两方面，而注重却在于理想方面。,1.0,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002
