source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
丁文江,article:66d3b6ba1819,WROTE,WROTE,neutral,0,0,,,,丁文江_000_3ba07a5e,
丁文江,article:c877e9637f82,WROTE,WROTE,neutral,0,0,,,,丁文江2_000_e838922e,
丁文江,article:946c66858cb0,WROTE,WROTE,neutral,0,0,,,,丁文江3_000_94b5c2f9,
entity:ab5f008cd73e,term:1d6070484a27,RELATES_TO,相关,negative,-1.0,1.0,讽刺,玄学真是个无赖鬼——在欧洲鬼混了二千多年，到近来渐渐没有地方混饭吃，忽然装起假幌子，挂起新招牌，大摇大摆的跑到中国来招摇撞骗。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
entity:ab5f008cd73e,entity:0a5d9170d332,RELATES_TO,反对,negative,-1.0,0.8,一般批评,玄学却是科学的对头。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
entity:25c5067ce74c,entity:fe901cfcc616,RELATES_TO,归因于,negative,-1.0,0.8,不适用,玄学的鬼附在张君劢身上，我们学科学的人不能不去打他；但是打的是玄学鬼，不是张君劢，读者不要误会。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
entity:1bae12afe940,entity:25c5067ce74c,RELATES_TO,反对,negative,-1.0,0.9,一般批评,玄学的鬼附在张君劢身上，我们学科学的人不能不去打他；但是打的是玄学鬼，不是张君劢，读者不要误会。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
entity:0e39ade55bbf,term:8516550d042e,RELATES_TO,作为论据支持,positive,1.0,0.8,不适用,因为我们打他的武器无非是客观的论理同事实，而玄学鬼早已在张君劢前后左右砌了几道墙。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
entity:fe901cfcc616,term:9bb207a50522,RELATES_TO,主张,negative,-1.0,0.8,不适用,而且“初无论理学之公例以限制之，无所谓定义，无所谓方法”。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
term:240428cf014e,entity:b2d579c4894c,RELATES_TO,类比,neutral,0.0,0.5,不适用,定义，方法，论理学的公例，就譬如庚子年联军的枪炮火器，但是义和团说枪炮打不死他，他不受这种火器的支配，我们纵能把义和团打死了，他也还是至死不悟。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
entity:fe901cfcc616,entity:84637423ce4b,RELATES_TO,类比,negative,-1.0,0.9,不适用,定义，方法，论理学的公例，就譬如庚子年联军的枪炮火器，但是义和团说枪炮打不死他，他不受这种火器的支配，我们纵能把义和团打死了，他也还是至死不悟。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
entity:67821481a750,entity:0a5d9170d332,RELATES_TO,区分,negative,-0.5,0.5,概念澄清,不但是人生观同科学的界限分不开,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004
entity:a20f0a2d2842,entity:36c98fff1f00,RELATES_TO,区分,negative,-0.5,0.5,概念澄清,就是他所说的物质科学同精神科学的分别也不是真能成立的,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004
entity:c8c7a60612ef,entity:c3290e5df355,RELATES_TO,解释,positive,1.0,0.8,不适用,觉官感触是我们晓得物质的根本,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004
entity:045f5b2a5500,entity:4bfab47ba94a,RELATES_TO,相关,neutral,0.5,0.3,援引权威,所以冒根在他的《动物生活与聪明》那部书里边叫外界的物体为“结构”。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004
term:f8cf92b39488,entity:c8c7a60612ef,RELATES_TO,属于,neutral,0.0,0.0,不适用,手指的感觉痛，同上刀创药，初看起来，是两种了，仔细研究起来，都是觉官感触的结果,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005
term:d72f3f92086b,entity:c8c7a60612ef,RELATES_TO,属于,neutral,0.0,0.0,不适用,手指的感觉痛，同上刀创药，初看起来，是两种了，仔细研究起来，都是觉官感触的结果,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005
term:fbba84c2b9e9,entity:c8c7a60612ef,RELATES_TO,属于,neutral,0.0,0.0,不适用,前者是直接的，后者是间接的，是为以前的觉官感触所管束的,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005
term:efefc1c6b22b,entity:c8c7a60612ef,RELATES_TO,属于,neutral,0.0,0.0,不适用,前者是直接的，后者是间接的，是为以前的觉官感触所管束的,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005
entity:444862b1d437,entity:600e623be0b4,RELATES_TO,反驳,negative,-0.8,0.7,逻辑反驳,我从我的自觉现象推论起来，说旁人也有自觉，是与科学方法不违背的,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005
entity:444862b1d437,term:3148dda2b692,RELATES_TO,作为论据支持,positive,1.0,0.8,不适用,科学中这样的推论甚多，譬如理化学者说有原子，但是他们何尝能用觉官去感触原子？,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005
entity:0e802e1049dc,entity:78b798906628,RELATES_TO,作为论据支持,positive,1.0,0.5,不适用,我从我的自觉现象推论起来，说旁人也有自觉，是与科学方法不违背的。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
entity:685bec27a6c1,entity:4b30d802e3b4,RELATES_TO,定义,positive,1.0,0.5,概念澄清,这种心理上的内容都是科学的材料。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
entity:c3290e5df355,term:b28a17a857eb,RELATES_TO,定义,positive,1.0,0.5,概念澄清,我们所晓得的物质，本不过是心理上的觉官感触，由知觉而成概念，由概念而生推论。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
entity:0a5d9170d332,term:6ecf9a7a93e0,RELATES_TO,定义,positive,1.0,0.5,概念澄清,科学所研究的不外乎这种概念同推论,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
entity:36c98fff1f00,entity:a20f0a2d2842,RELATES_TO,区分,negative,-1.0,0.8,概念澄清,有什么精神科学、物质科学的分别？,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
entity:ea97294c0900,entity:78b798906628,RELATES_TO,反驳,negative,-1.0,0.8,逻辑反驳,又如何可以说纯粹心理上的现象不受科学方法的支配？,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
entity:5f5827651ec0,entity:9292597ecfb9,RELATES_TO,相关,positive,1.0,0.5,不适用,"这种审查方法是根据两条很重要的原则：

（一）凡常人心理的内容，其性质都是相同的。",0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
entity:84a05ddcfcb5,term:61e061555f41,RELATES_TO,归因于,positive,1.0,0.5,不适用,心理上联想的能力，第一是看一个人觉官感触的经验，第二是他脑经思想力的强弱。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
entity:84a05ddcfcb5,term:392919c120e4,RELATES_TO,归因于,positive,1.0,0.5,不适用,心理上联想的能力，第一是看一个人觉官感触的经验，第二是他脑经思想力的强弱。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
term:61e061555f41,entity:59c42a2cdcb9,RELATES_TO,解释,positive,1.0,0.5,不适用,换言之，就是一个人的环境同遗传。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
term:392919c120e4,entity:1c577068712a,RELATES_TO,解释,positive,1.0,0.5,不适用,换言之，就是一个人的环境同遗传。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
term:50aea110d958,term:c96be40eaddc,RELATES_TO,导致,positive,1.0,0.5,不适用,觉官的感触相同，所以物质的“思构”相同,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
term:c96be40eaddc,term:0d344f12ea2b,RELATES_TO,导致,positive,1.0,0.5,不适用,觉官的感触相同，所以物质的“思构”相同，知觉概念推论的手续无不相同,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
term:0d344f12ea2b,term:5d89668a9ff9,RELATES_TO,导致,positive,1.0,0.5,不适用,觉官的感触相同，所以物质的“思构”相同，知觉概念推论的手续无不相同，科学的真相，才能为人所公认。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
entity:b9f3bf7c9c0e,term:de2bdc4e9530,RELATES_TO,导致,positive,1.0,0.5,不适用,科学的真相，才能为人所公认。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0007
entity:0bc3ff499051,entity:e9aa10c61ecf,RELATES_TO,导致,positive,1.0,0.5,不适用,天才豪杰是人类进化的大原动力。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0007
entity:feeee994ed3f,entity:4364b222a80f,RELATES_TO,类比,positive,1.0,0.5,不适用,但是天才豪杰同常人的分别，是快慢的火车，不是人力车同飞机。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0007
entity:feeee994ed3f,entity:bad97ab43d16,RELATES_TO,区分,negative,-1.0,0.5,概念澄清,但是天才豪杰同常人的分别，是快慢的火车，不是人力车同飞机。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0007
entity:967a8fdc1f60,entity:eb4f0689b3a0,RELATES_TO,属于,negative,-1.0,0.5,不适用,第一，凡概念推论若是自相矛盾，科学不承认他是真的。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0007
entity:53325e539564,term:9668fee6f76e,RELATES_TO,归因于,negative,-1.0,0.5,不适用,因为推论是最容易错误的。,0.9,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0007
