node_id,labels,name,node_type,article_id,segment_id,title,text
article:a1cc96cc2268,Article,“科哲之战”的尾声,Article,王平陵_000_d1d9c442,,“科哲之战”的尾声,
author:f2f4bde1fea8,Author,王平陵,Author,,,,
entity:a46a0cb6287b,主义/学说/理论,科学的一元论（实证论）,主义/学说/理论,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:92b52ae32287,概念,希腊时代的科学,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:a5902cbd02aa,概念,哲学,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:0a5d9170d332,概念,科学,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:3c728236ae73,观点,科学万能的见地,观点,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:31b3b1e82ecd,主义/学说/理论,实证论,主义/学说/理论,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:e0aa924c369a,概念,科学的哲学,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:1159c071950f,人物,达尔文,人物,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:2fe9b15d2a6c,主义/学说/理论,进化论,主义/学说/理论,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:d0ab86e97f3d,人物,赫胥黎,人物,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:2e5f319df03c,人物,黑格尔,人物,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:41bd3edd6440,观点,科学万能的谬误,观点,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:fdff5f9d09da,概念,人性统一的要求,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:aad9822a07a3,概念,部分的抽象的科学的真理,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:c0019d8522b7,主义/学说/理论,补合的二元论,主义/学说/理论,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:5c573fcde0d6,观点,科学与哲学有并立的可能性,观点,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:f3cc1c4de83a,观点,科学与哲学在作用上为对立的而非一元的,观点,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:4d323c58727d,概念,科学乃分观宇宙间一部分的事实，而探究其原理的,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:ee02174973ef,概念,哲学乃合观宇宙，取天地间一切事实，合一炉而穷究其本根的,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:d154e30b64f0,观点,科学是哲学的基础,观点,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:9a29d1e929ec,观点,哲学是科学的综合,观点,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,
entity:336646c6774f,概念,物理学,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,
entity:c8b98890c241,概念,心理学,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,
entity:c3290e5df355,概念,物质,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,
entity:58294749d595,概念,精神,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,
entity:0dcb4b70dcab,概念,全体及具象体之实有,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,
entity:e53c42d161a2,概念,部分及抽象体之实有,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,
entity:bb07af70c7d8,方法,思辩法论理法与直觉法之总全,方法,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,
entity:f421d8799182,方法,经验的，归纳的,方法,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,
entity:064d85ba59d1,概念,全体与部分之关系,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,
entity:d8b52ba932ef,概念,人生,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0002,,
entity:21186c3bbbfa,概念,合理的智能,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0002,,
entity:3050b3f19e0c,概念,宇宙之真理,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0002,,
entity:ad9f16a70c48,概念,实有的全体性及直接性,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0002,,
entity:b050c3d1cf41,概念,实有之部分性及间接性,概念,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0002,,
