source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
丁文江,article:66d3b6ba1819,WROTE,WROTE,neutral,0,0,,,,丁文江_000_3ba07a5e,
丁文江,article:c877e9637f82,WROTE,WROTE,neutral,0,0,,,,丁文江2_000_e838922e,
丁文江,article:946c66858cb0,WROTE,WROTE,neutral,0,0,,,,丁文江3_000_94b5c2f9,
article:c877e9637f82,segment:4955d85d2581,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0006
article:c877e9637f82,segment:6b724d0ecb7d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019
article:66d3b6ba1819,segment:ce876f9415dc,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
article:66d3b6ba1819,segment:152084b74e36,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
article:c877e9637f82,segment:2edcb8d5974b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0058
article:c877e9637f82,segment:85bdd3a58aba,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0071
article:66d3b6ba1819,segment:3cb0ebaf9c27,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:152084b74e36,entity:ab5f008cd73e,MENTIONS,MENTIONS,neutral,0,0,,玄学真是个无赖鬼,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:fe901cfcc616,MENTIONS,MENTIONS,neutral,0,0,,张君劢的《人生观》,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:0a5d9170d332,MENTIONS,MENTIONS,neutral,0,0,,科学的对头,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:bc7828f18618,MENTIONS,MENTIONS,neutral,0,0,,张君劢的《人生观》,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:3cb0ebaf9c27,entity:36c98fff1f00,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:a20f0a2d2842,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:4eb2753b418b,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:78b798906628,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:ea97294c0900,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:83980c4d7d26,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:53325e539564,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:cc3f2328854e,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:e44854c712a1,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:59c42a2cdcb9,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:1c577068712a,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:758cd0e48721,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:1663fbb3a279,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:b2b1fc697e6d,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:2c23e9575441,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:c8c7a60612ef,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:8842a980ba15,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:fe5c12995248,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:3cb0ebaf9c27,entity:77d32e9b93b2,MENTIONS,MENTIONS,neutral,0,0,,原文提及,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
segment:ce876f9415dc,entity:b92aaa86143e,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:07304b578643,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:0ba0e7f036c6,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:0a5d9170d332,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:02b3cb30f8b7,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:14d40a1df182,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:fe901cfcc616,MENTIONS,MENTIONS,neutral,0,0,,原文引用,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:d79e9c89fb69,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:2df1cbb31a7b,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:286241d35442,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:72e65554d952,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:ce876f9415dc,entity:c3a9160d4b1d,MENTIONS,MENTIONS,neutral,0,0,,原文提到,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039
segment:4955d85d2581,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,文本中多次提及,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0006
segment:4955d85d2581,entity:68a2d7c2ab30,MENTIONS,MENTIONS,neutral,0,0,,用于比喻,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0006
segment:4955d85d2581,entity:f031200d75f0,MENTIONS,MENTIONS,neutral,0,0,,与小孩子发育史类比,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0006
segment:4955d85d2581,entity:b0485165d10d,MENTIONS,MENTIONS,neutral,0,0,,与人类进化史类比,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0006
segment:6b724d0ecb7d,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,文本中直接提及,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019
segment:6b724d0ecb7d,entity:3960b5081e92,MENTIONS,MENTIONS,neutral,0,0,,文本中讨论原子论及其修正,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019
segment:6b724d0ecb7d,entity:70587be66851,MENTIONS,MENTIONS,neutral,0,0,,文本中提及原子论创造者,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019
segment:6b724d0ecb7d,entity:a396d81c68e9,MENTIONS,MENTIONS,neutral,0,0,,文本中提及分子观念起源,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019
segment:6b724d0ecb7d,entity:e1faa36d5e06,MENTIONS,MENTIONS,neutral,0,0,,文本中提及铣质发明导致原子论修正,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019
segment:6b724d0ecb7d,entity:e750caeef8d8,MENTIONS,MENTIONS,neutral,0,0,,文本中提及铀变钽,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019
segment:6b724d0ecb7d,entity:38ea2af42015,MENTIONS,MENTIONS,neutral,0,0,,文本中提及钽变铣,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019
