node_id,labels,name,node_type,article_id,segment_id,title,text
article:f1078fc56c16,Article,张君劢主张的人生观对科学的五个异点,Article,章演存_000_aa7de44c,,张君劢主张的人生观对科学的五个异点,
author:57c550c37345,Author,章演存,Author,,,,
entity:fe901cfcc616,人物,张君劢,人物,章演存_000_aa7de44c,s0000,,
entity:0a5d9170d332,概念,科学,概念,章演存_000_aa7de44c,s0000,,
entity:d9c5b805f2da,概念,相对论,概念,章演存_000_aa7de44c,s0000,,
entity:10fe9f4cbabc,观点,九个我对我非我的问题,观点,章演存_000_aa7de44c,s0000,,
entity:80ce66b49c8a,观点,第一个异点,观点,章演存_000_aa7de44c,s0000,,
entity:67821481a750,概念,人生观,概念,章演存_000_aa7de44c,s0001,,
entity:a21fbca9970f,概念,原则,概念,章演存_000_aa7de44c,s0001,,
entity:9ee1f1235059,人物,庄子,人物,章演存_000_aa7de44c,s0001,,
entity:e75a93ac8695,概念,意见,概念,章演存_000_aa7de44c,s0001,,
entity:1833175dbdc3,概念,因果律,概念,章演存_000_aa7de44c,s0003,,
entity:6bfb0534d798,概念,自由意志,概念,章演存_000_aa7de44c,s0003,,
entity:1f367ea1e206,观点,皆以我为中心,观点,章演存_000_aa7de44c,s0005,,
entity:375d8d193bca,著作,《庄子》的《齐物论》,著作,章演存_000_aa7de44c,s0005,,
entity:3a603ffb0b3b,人物,章演存,人物,章演存_000_aa7de44c,,,
claim:b8884b26d392,Claim,张君劢《人生观》提倡玄学与科学为敌，深恐有误青年学生,Claim,章演存_000_aa7de44c,,,张君劢《人生观》提倡玄学与科学为敌，深恐有误青年学生
claim:3246ec9836a2,Claim,此次出而宣战，纯粹为‘真理’起见，初无丝毫意见,Claim,章演存_000_aa7de44c,,,此次出而宣战，纯粹为‘真理’起见，初无丝毫意见
claim:6ab19185c326,Claim,深望同人加入讨论,Claim,章演存_000_aa7de44c,,,深望同人加入讨论
claim:d382f9e9c753,Claim,不是十分满足现在的科学的,Claim,章演存_000_aa7de44c,,,不是十分满足现在的科学的
claim:6170dd6ef3c0,Claim,科学的方法，也不是丝毫没有改造的余地,Claim,章演存_000_aa7de44c,,,科学的方法，也不是丝毫没有改造的余地
claim:c93ea1b8af29,Claim,张君的“人生观”，却论得太浑沌一点,Claim,章演存_000_aa7de44c,,,张君的“人生观”，却论得太浑沌一点
claim:a93b050fe8a6,Claim,他对于科学，又觉得稍隔膜一点,Claim,章演存_000_aa7de44c,,,他对于科学，又觉得稍隔膜一点
claim:81a88f7dd515,Claim,决不是为丁君作辩护的,Claim,章演存_000_aa7de44c,,,决不是为丁君作辩护的
claim:4f04868d80fb,Claim,并不敢担当宣传的责任,Claim,章演存_000_aa7de44c,,,并不敢担当宣传的责任
claim:d6335d832390,Claim,人生的问题，决不是科学所能解决的,Claim,章演存_000_aa7de44c,,,人生的问题，决不是科学所能解决的
claim:b46088c9ad0b,Claim,人生观和科学比较起来，有五个异点,Claim,章演存_000_aa7de44c,,,人生观和科学比较起来，有五个异点
