node_id,labels,name,node_type,article_id,segment_id,title,text
article_38a46dd33aea2528,Article,“科哲之战”的尾声,Article,王平陵_000_d1d9c442,,“科哲之战”的尾声,
author_447a6e18341d4dee,Author,王平陵,Author,,,,
segment_89425913cee726dc,Segment,王平陵_000_d1d9c442_s0000,Segment,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000,,"第一，科学的一元论（实证论）的见解，于事实上及历史上显然是不能成立。因为在希腊时代的科学，全是包括于哲学之内；及科学离哲学而独立以后，哲学依然存在，并没有缩小他的范围，或消灭掉他的痕迹。不但如此，而且有许多科学者，正因为哲学而存在，他的科学的创见，才能发挥光大的；就是由科学万能的见地上，所成立的“实证论”，要亦不过是科学的哲学罢了。更就事实而观，近代的大科学家，由科学的见地而发展，其结局税驾于哲学的境地的，正复不少。例如达尔文（C.R. Darwin）是一位生物学者，然而他的进化论，则超脱科学的领域，而入于哲学的范围了。赫胥黎（T.H. Huxley）、黑格尔（E. H. Hackel）辈，都是进化论者，也渐次接触于哲学问题了。此外由科学方面而接近于哲学问题的，尚是很多，所以科学万能的谬误，不必要根据历史的事实来证明，即由人心的本性而观，也可以了然了。这正因为人性统一的要求，不能以部分的抽象的科学的真理，即算是彻底的满足。

第二，补合的二元论之见解，却有可取的地方了。（一）就是承认科学与哲学，有并立的可能性。（二）就是确知其在作用上，为对立的而非一元的。

总之，科学与哲学，其为“学”则同，而其为学之性质则异。科学乃分观宇宙间一部分的事实，而探究其原理的；哲学乃合观宇宙，取天地间一切事实，合一炉而穷究其本根的。科学是哲学的基础，哲学是科学的综合。科学的研究事物，不问其对"
segment_0f79b5821a0a66f4,Segment,王平陵_000_d1d9c442_s0001,Segment,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001,,"分观宇宙间一部分的事实，而探究其原理的；哲学乃合观宇宙，取天地间一切事实，合一炉而穷究其本根的。科学是哲学的基础，哲学是科学的综合。科学的研究事物，不问其对

象之真伪，但依据日常的经验，假定此现象为真有，乃立于假定之上，从而探究其原理罢了。如物理学假定物质为常在，从而究其现象的法则；心理学假定精神为真有，从而叙其作用之变化。至于物质精神为实为妄之讨论，则侵入于哲学之范围，而非科学所能担任的了。

科学与哲学的对象，是完全不同的：哲学之对象，是全体及具象体之实有；科学之对象，则为部分及抽象体之实有；对象既不相侔，斯机能各有差异。哲学的机能，是兼情意作用之理知，科学之机能，则为纯粹的理知；所以哲学的方法，是思辩法论理法与直觉法之总全，科学的方法，则专为经验的，归纳的。哲学与科学的关系，非全然同一，亦非全然无别，盖“同中有异”，“异中亦有同”，哲学必俟科学而始得完全，科学亦必俟哲学而始得正确；所以说科学哲学为补合的二元论，就是这个缘故了。

要之，科学与哲学的关系，为全体与部分之关系，哲学由科学而得材料，以充实其内容，可免踏于空虚的流弊；科学则由哲学而巩固其目的与基础，以获得论理的确实性。是以二者的进步，为相互关联的，科学进步，则哲学亦必进步；哲学发达，则科学亦必有同样的发达，两者各尽其职能，于是人生便得完全的进步了。综上所述科学与哲学的异同，现在为明了起见，分别条举于左:"
segment_a5e8bf6fecf71d0d,Segment,王平陵_000_d1d9c442_s0002,Segment,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0002,,"学进步，则哲学亦必进步；哲学发达，则科学亦必有同样的发达，两者各尽其职能，于是人生便得完全的进步了。综上所述科学与哲学的异同，现在为明了起见，分别条举于左:

(甲）同点

(一) 不凭藉信仰，不依据传说，专恃合理的智能为武器，以穷究宇宙之真理的，是为哲学和科学的共同出发点。

(乙）异点

(一）哲学以实有的全体性及直接性为对象；所以他的原理是具体的，根本的。科学则以实有之部分性及间接性为对象；所以他的原理是抽象的，表面的，假定的。

(二）哲学的目标，在创造其规范及价值；科学的目标，在说明或运用其法则与事实。换句话说：哲学以满足全我的要求为目的，科学则惟以满足知的要求，及功利的要求为目的。

(三）哲学的机能，为人格的根本性质，而科学的机能，则为理知作用。

(四）哲学之统一原理，对于实有为内在的，故哲学为“自我之学”，或“主观之学”；科学之统一原理，对于实有为外在的，故科学为“非我之学”或“客观之学”。

(五）哲学以解决根本疑问，满足根本要求为职能，科学则以解决实用疑问，满足实用要求为职能。

现在为着要解释“科学哲学的异同与关系”，未免长言之了。自从“科哲之战”两方面正式开火以来，声势非常浩大，但是现在不知为什么沉寂下去！所以我这篇论文，或者已经是“科哲之战”的尾声了。

—— 转录《时事新报·学灯》——"
entity_17afb92f8748597b,主义/学说/理论,科学的一元论（实证论）,主义/学说/理论,,,,
entity_36498d59f2e2c022,概念,科学,概念,,,,
entity_b26a5bc978b0122e,概念,哲学,概念,,,,
entity_ce51886c52a2a62f,主义/学说/理论,补合的二元论,主义/学说/理论,,,,
entity_8a83ceae9ba3d9ee,观点,科学是哲学的基础,观点,,,,
