source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
孙伏园,article:0557e2c0461f,WROTE,WROTE,neutral,0,0,,,,孙伏园_000_50fcd0d8,
张东荪,article:0a09528227d2,WROTE,WROTE,neutral,0,0,,,,孙伏园_001_119b038d,
梁启超,article:297330952ca6,WROTE,WROTE,neutral,0,0,,,,梁启超_000_da81f70e,
梁启超,article:6f5207d5b3cd,WROTE,WROTE,neutral,0,0,,,,梁启超_001_4a5e589a,
张东荪,article:176c9bb9fec7,WROTE,WROTE,neutral,0,0,,,,梁启超_002_40d1afac,
甘蛰仙,article:407925f8a857,WROTE,WROTE,neutral,0,0,,,,甘蛰仙_000_6b354fa0,
article:176c9bb9fec7,segment:97e8560707db,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0002
article:6f5207d5b3cd,segment:af62abf0ef0a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
article:407925f8a857,segment:036c2db21d98,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0010
article:407925f8a857,segment:7e919b8cabd4,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003
article:0a09528227d2,segment:077114ece93d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,孙伏园_001_119b038d,孙伏园_001_119b038d_s0001
article:407925f8a857,segment:825fac1d8b98,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0004
article:0557e2c0461f,segment:f3d46129029d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
article:407925f8a857,segment:3c4ed13468e8,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0005
article:176c9bb9fec7,segment:a6154fa0489c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0000
article:6f5207d5b3cd,segment:ea94bfe49c50,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
article:407925f8a857,segment:ba04970f730a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
article:407925f8a857,segment:670a53a49bb3,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001
article:407925f8a857,segment:30d7e4f32c29,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0009
article:0a09528227d2,segment:1b00bf39a50f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,孙伏园_001_119b038d,孙伏园_001_119b038d_s0000
article:0557e2c0461f,segment:cd41fa62104f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
article:407925f8a857,segment:0a1b924e1047,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0006
article:6f5207d5b3cd,segment:07fd7270e272,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005
article:407925f8a857,segment:2fae11da977c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0007
article:407925f8a857,segment:fc61e6c408f2,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0008
segment:cd41fa62104f,entity:ab5f008cd73e,MENTIONS,MENTIONS,neutral,0,0,,玄学是什么?,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment:cd41fa62104f,entity:0a5d9170d332,MENTIONS,MENTIONS,neutral,0,0,,科学是什么?,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
