source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
丁文江,article:66d3b6ba1819,WROTE,WROTE,neutral,0,0,,,,丁文江_000_3ba07a5e,
丁文江,article:c877e9637f82,WROTE,WROTE,neutral,0,0,,,,丁文江2_000_e838922e,
丁文江,article:946c66858cb0,WROTE,WROTE,neutral,0,0,,,,丁文江3_000_94b5c2f9,
article:c877e9637f82,segment:6b724d0ecb7d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019
article:c877e9637f82,segment:396425f14427,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0020
article:66d3b6ba1819,segment:e51eb1561d28,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
article:c877e9637f82,segment:cf6bf6e444a7,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0016
article:c877e9637f82,segment:1263c684730c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0021
article:c877e9637f82,segment:07dd18970468,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0035
article:66d3b6ba1819,segment:8efe5a4c6cb8,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0019
article:66d3b6ba1819,segment:514331e00b6d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0011
article:c877e9637f82,segment:4547eb18680c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0005
article:c877e9637f82,segment:3c8a89ef8d98,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0030
article:946c66858cb0,segment:d66b4f0b7886,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江3_000_94b5c2f9,丁文江3_000_94b5c2f9_s0003
article:c877e9637f82,segment:785a1094c3be,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0002
article:c877e9637f82,segment:33d880c1c286,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0007
article:c877e9637f82,segment:d1423ba8e8eb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0034
article:66d3b6ba1819,segment:fa4ba7832c34,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0007
article:66d3b6ba1819,segment:672f3ce2e24c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0012
article:c877e9637f82,segment:5693efef2a34,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0037
article:66d3b6ba1819,segment:f37e00843777,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0015
article:c877e9637f82,segment:66f229857d47,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0010
article:946c66858cb0,segment:7e8a4c502820,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江3_000_94b5c2f9,丁文江3_000_94b5c2f9_s0004
article:946c66858cb0,segment:7eedf4c59b5f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江3_000_94b5c2f9,丁文江3_000_94b5c2f9_s0001
article:c877e9637f82,segment:500ffd845218,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0012
article:c877e9637f82,segment:57b78ea69f23,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0017
article:c877e9637f82,segment:477e3f9b54dd,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0015
article:66d3b6ba1819,segment:152084b74e36,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
article:c877e9637f82,segment:091457da04bc,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0003
article:c877e9637f82,segment:484da3e1ee2c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0001
article:66d3b6ba1819,segment:6e577808ede3,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004
article:c877e9637f82,segment:887c992448e1,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0022
article:c877e9637f82,segment:fe9b5b8279de,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0032
article:c877e9637f82,segment:fb362ff3d545,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0014
article:66d3b6ba1819,segment:5f3c59f8d549,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005
article:c877e9637f82,segment:8621ebe83139,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0000
article:c877e9637f82,segment:6df92b611396,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0033
article:66d3b6ba1819,segment:b440a94c665b,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0022
article:c877e9637f82,segment:5b32dc54418e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0029
article:c877e9637f82,segment:0573497d4160,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0004
article:c877e9637f82,segment:3f8994744216,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江2_000_e838922e,丁文江2_000_e838922e_s0027
article:66d3b6ba1819,segment:8b2f0372a19a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0008
article:66d3b6ba1819,segment:70db467baba6,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0009
segment:152084b74e36,entity:ab5f008cd73e,MENTIONS,MENTIONS,neutral,0,0,,玄学真是个无赖鬼——在欧洲鬼混了二千多年，到近来渐渐没有地方混饭吃，忽然装起假幌子，挂起新招牌，大摇大摆的跑到中国来招摇撞骗。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:fe901cfcc616,MENTIONS,MENTIONS,neutral,0,0,,张君劢是作者的朋友，玄学却是科学的对头。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:0a5d9170d332,MENTIONS,MENTIONS,neutral,0,0,,玄学却是科学的对头。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:25c5067ce74c,MENTIONS,MENTIONS,neutral,0,0,,玄学的鬼附在张君劢身上，我们学科学的人不能不去打他；但是打的是玄学鬼，不是张君劢，读者不要误会。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:1bae12afe940,MENTIONS,MENTIONS,neutral,0,0,,玄学的鬼附在张君劢身上，我们学科学的人不能不去打他；但是打的是玄学鬼，不是张君劢，读者不要误会。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:67821481a750,MENTIONS,MENTIONS,neutral,0,0,,他叫他说人生观是“主观的”、“直觉的”、“自由意志的”、“起于良心之自动而决非有使之然者也”、“决非科学所能为力，惟赖诸人类之自身而已”。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:7ffe974d5497,MENTIONS,MENTIONS,neutral,0,0,,而且“初无论理学之公例以限制之，无所谓定义，无所谓方法”。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:65dfdb6e45b4,MENTIONS,MENTIONS,neutral,0,0,,是要提醒没有给玄学鬼附上身的青年学生。,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
segment:152084b74e36,entity:1c7b557a5a8b,MENTIONS,MENTIONS,neutral,0,0,,你要不相信，请你看看张君劢的《人生观》!（见前）,1.0,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
