source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
张东荪,article:9ba1765f59f7,WROTE,WROTE,neutral,0,0,,,,张东荪_000_a9bf05ee,
章演存,article:f1078fc56c16,WROTE,WROTE,neutral,0,0,,,,章演存_000_aa7de44c,
颂皋,article:2babd95737ec,WROTE,WROTE,neutral,0,0,,,,颂皋_000_0fffa40d,
article:2babd95737ec,segment:18d4124b9b09,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0001
article:9ba1765f59f7,segment:4a80f890fbf5,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
article:9ba1765f59f7,segment:042c66bc13ea,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012
article:2babd95737ec,segment:ff08a3df0d6d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,颂皋_000_0fffa40d,颂皋_000_0fffa40d_s0002
article:9ba1765f59f7,segment:2be09680612c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
article:9ba1765f59f7,segment:e3281aa15ee2,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0015
article:f1078fc56c16,segment:8730e4d35671,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,章演存_000_aa7de44c,章演存_000_aa7de44c_s0000
article:9ba1765f59f7,segment:ea770101cf99,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
article:9ba1765f59f7,segment:c50d8947ec84,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
article:9ba1765f59f7,segment:33cf479e856e,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
