source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
胡适,article:7962bdd8d2f5,WROTE,WROTE,neutral,0,0,,,,胡适_000_993249d7,
胡适,article:cd7db21f2039,WROTE,WROTE,neutral,0,0,,,,胡适_001_295ca4dc,
胡适,article:efa5da409fea,WROTE,WROTE,neutral,0,0,,,,胡适_002_c6a0c3b5,
article:efa5da409fea,segment:9ee9da1badf0,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_002_c6a0c3b5,胡适_002_c6a0c3b5_s0002
article:7962bdd8d2f5,segment:9f3bbc40d890,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_000_993249d7,胡适_000_993249d7_s0000
article:7962bdd8d2f5,segment:296973792deb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_000_993249d7,胡适_000_993249d7_s0014
article:7962bdd8d2f5,segment:fc209cf92a11,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_000_993249d7,胡适_000_993249d7_s0018
article:7962bdd8d2f5,segment:fefde6985667,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_000_993249d7,胡适_000_993249d7_s0020
article:7962bdd8d2f5,segment:fc386fc9b141,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_000_993249d7,胡适_000_993249d7_s0016
article:7962bdd8d2f5,segment:9bd923a87517,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_000_993249d7,胡适_000_993249d7_s0002
article:7962bdd8d2f5,segment:8e766149189c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_000_993249d7,胡适_000_993249d7_s0010
article:7962bdd8d2f5,segment:856460ded98d,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_000_993249d7,胡适_000_993249d7_s0008
article:7962bdd8d2f5,segment:31be8703000f,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_000_993249d7,胡适_000_993249d7_s0006
article:efa5da409fea,segment:b2e049d2c785,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,胡适_002_c6a0c3b5,胡适_002_c6a0c3b5_s0000
segment:9f3bbc40d890,entity:b9f8a047e95e,MENTIONS,MENTIONS,neutral,0,0,,亚东图书馆主人汪孟邹,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment:9f3bbc40d890,entity:e8b5305766a2,MENTIONS,MENTIONS,neutral,0,0,,亚东图书馆主人汪孟邹,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment:9f3bbc40d890,entity:5d143e94e956,MENTIONS,MENTIONS,neutral,0,0,,总名为“科学与人生观”,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment:9f3bbc40d890,entity:734f2984be4f,MENTIONS,MENTIONS,neutral,0,0,,我从烟霞洞回到上海,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment:9f3bbc40d890,entity:0bacf98593d1,MENTIONS,MENTIONS,neutral,0,0,,丁在君先生,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment:9f3bbc40d890,entity:9a61f62c5788,MENTIONS,MENTIONS,neutral,0,0,,他看了我的《玄学与科学》,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment:9f3bbc40d890,entity:6c4a71b8dd3e,MENTIONS,MENTIONS,neutral,0,0,,《努力周报》,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment:9f3bbc40d890,entity:a9d889642f6f,MENTIONS,MENTIONS,neutral,0,0,,《孙行者与张君劢》,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment:9f3bbc40d890,entity:fe901cfcc616,MENTIONS,MENTIONS,neutral,0,0,,《孙行者与张君劢》,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment:9bd923a87517,entity:0afaee86455d,MENTIONS,MENTIONS,neutral,0,0,,原文中拟人化称呼,,胡适_000_993249d7,胡适_000_993249d7_s0002
segment:9bd923a87517,entity:850ef9a5501d,MENTIONS,MENTIONS,neutral,0,0,,比喻生存竞争,,胡适_000_993249d7,胡适_000_993249d7_s0002
segment:9bd923a87517,entity:6cd138d8a425,MENTIONS,MENTIONS,neutral,0,0,,明喻修辞,,胡适_000_993249d7,胡适_000_993249d7_s0002
segment:31be8703000f,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,原文提到'君劢的要点',,胡适_000_993249d7,胡适_000_993249d7_s0006
segment:31be8703000f,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,原文提到'丁在君的《玄学与科学》',,胡适_000_993249d7,胡适_000_993249d7_s0006
segment:31be8703000f,entity:9ebe19d4be94,MENTIONS,MENTIONS,neutral,0,0,,原文提到'梁任公先生的科学万能之梦',,胡适_000_993249d7,胡适_000_993249d7_s0006
segment:31be8703000f,entity:03702e54acd6,MENTIONS,MENTIONS,neutral,0,0,,原文提到'吴稚晖先生',,胡适_000_993249d7,胡适_000_993249d7_s0006
segment:856460ded98d,entity:0a5d9170d332,MENTIONS,MENTIONS,neutral,0,0,,文本中多次提及,,胡适_000_993249d7,胡适_000_993249d7_s0008
