node_id,labels,name,node_type,article_id,segment_id,title,text
article:22d8af5001cc,Article,人格与教育,Article,菊农_000_b90d5dfb,,人格与教育,
author:15a27e1dd01f,Author,菊农,Author,,,,
entity:0bacf98593d1,人物,丁文江,人物,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:fe901cfcc616,人物,张君劢,人物,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:726541309faa,问题,人生观与科学的问题,问题,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:2d8aca9731d1,问题,教育问题,问题,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:b27398ba7df7,概念,现代教育,概念,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:5d251adba9dc,主义/学说/理论,理想主义,主义/学说/理论,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:4c2498dc0c42,概念,现代的悲哀,概念,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:2c9a8870a7ff,概念,人生的烦闷,概念,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:f16cf232486f,概念,文化的停滞,概念,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:2b139572e1ee,历史事件,西方文艺复兴,历史事件,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:413b327e785d,历史事件,文艺复兴,历史事件,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:047489c04767,概念,新人与新宇宙之发现,概念,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:67f4af203ffd,概念,个人之发现,概念,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
entity:baf45f1b2969,概念,宇宙之发现,概念,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0000,,
