node_id,labels,name,node_type,article_id,segment_id,title,text
article:2c4e4e99971b,Article,序一,Article,陈独秀_000_4825c389,,序一,
author:14bb9c21eb08,Author,陈独秀,Author,,,,
article:dd153b656811,Article,答适之,Article,陈独秀_001_d263aca8,,答适之,
article:ceac6c275e92,Article,答张君劢及梁任公,Article,陈独秀_002_69a217f6,,答张君劢及梁任公,
segment:4d648a5fb637,Segment,陈独秀_002_69a217f6_s0008,Segment,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0008,,"为标准，不当以其说新旧为标准；张先生说我生当今日而犹守马氏之言若圣经贤传，然而张先生自己却连篇累牍的称引穆勒约翰与詹姆士（我生平论著绝不似张先生动辄称引古人）；不知穆勒约翰以后唯物派的经济学与社会学，詹姆士以后测验的心理学均大有进步，何以张先生犹守穆勒约翰、詹姆士之言若圣经贤传？

（2）张先生说：“生当今日，而犹守马氏之言若圣经贤传如陈独秀者，岂为求真哉？亦日政治之手段耳！墨司哥之训令耳！”吾当正告张先生：我是一个共产主义者，当然应该服从墨司哥共产国际之训令，这件事可以公开的告诉普天下人而毫无惭愧与隐痛。若张先生鼓吹玄学反对马克思学说，是否求真，是否政治手段，是否直接的受研究系之训令间接的受北洋政府之训令，像这类逾越讨论道理之轨道以外的话，我在此处不屑多说！

（3）张先生所谓生当今日不应犹守马氏之言的理由，乃是“谚不云乎，思想者，事实之母也，此区区一语中，而历史之真理已描写尽净”。张先生（不但张先生，自来唯心论者）在社会动象中，只看见思想演成事实这后一段过程，而忘记了造成思想背景的事实这前一段过程，这本是各派唯心论之共同的中心的错误。他们只看见社会上一种新制度改革之前，都有一种新思想为之前驱，因此便短视的断定思想为事实之母；他们不看见各种新思想都有各种事实为他所以发生的背景，决非无因而生。"
segment:01fe1fa57389,Segment,陈独秀_002_69a217f6_s0000,Segment,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0000,,"1924年8月1日		

张君劢在《人生观之论战》序中，对于适之及余之意见加以驳诘，关于适之方面，自有本人负责答复，不劳我为代庖；关我的方面，先讨论重要的三点，次则略论其他。

第一点，张君劢说：“马氏自名其主义曰科学的社会主义，以别于翁文辈之乌托邦的理想，且推定生计上之进化，遵正反合之惟物史观之原则，故资本主义之崩坏为不可逃之数。然自今日观之，以欧洲而言，资本主义之成熟，英远在俄上，顾劳农革命，何以不起于英而起于俄乎？以俄与德较，则德资本主义之成熟又在俄上，何以德之革命成绩，反居俄后乎？”怀这样疑问的人，世界上很多，不止中国张君劢一人，都是因为不明白社会科学之方法论的缘故。因果律虽是一切科学共通的原则，而各种科学之方法论却各不相同，不但社会科学和自然科学不同，即自然科学中，数学和化学动植物学都各不相同。社会上有相类的因之现象，必将有相类的果之现象；惟其果之现象之特定的时空及现象中之个体现象，则另有其因果关系，而非社会科学范围以内之事，这本是社会科学重要方法之一。譬如，一社会中资本主义的工业发达起来，其社会中劳动运动必将因之发生，此一社会科学之公例，在各国简直没有例外；而其劳动运动将发生于何日何地以及运动中之领袖将为何人，此事只有请问六壬卜算大家，社会科学无此神通。马克思科学的社会主义，预料资本主义必由发达而崩坏，崩坏后继之者必为社会主义，此乃就人类社会历史的进化一般趋向而言；"
segment:0a4aebd39a76,Segment,陈独秀_002_69a217f6_s0006,Segment,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0006,,人类对于此九项之态度之变迁之动因”，我真不懂他所谓“动因”，在术语上到底是何意义？而且张先生所指九项，究竟是说社会现象还是说个人态度，其观念及论点实在太不明了。在他“乃问人类对于此九项之态度之变迁之动因，何自而来也，甲以为然，已以为否，甲曰以为是者，乙曰又以为非。”这几句话看起来明明是指个人态度即个人的主观，不是指社会现象，他对于我解释的社会现象之动因，似乎已经承认，他所以说：“此事之可能何待赘言”，又说：“社会学家关于九端之说明之文，连篇累牍，我虽浅学，岂并此而不知？”（张先生倘不抛弃玄学家以个人自由意志为社会变迁之根本动因的谬见，无论他如何博学，对于我关于九端之说明，其实未曾知，且恐终身亦未必知；然而他竟自欺的说：“岂并此而不知？”他若再将我说明九端之文细心看一下，他必然自悔发言轻率，他倘不自悔发言轻率，便真是知道我关于九端说明之可能，也便真是知道社会变动及人生观变动之唯物的说明之可能了）。然而同时又说：“独秀虽尽举社会家言以难吾九端之列举，然吾之根本主张，仍是一丝一毫不能动摇也！何也？小家族后之家庭制度如何，谁知之乎？公有财产后之制度如何，谁知之乎？”似此，他又是指社会现象而非指个人态度，其论点不明如此！
segment:3e627a7701ce,Segment,陈独秀_002_69a217f6_s0004,Segment,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0004,,度之变迁之动因，何自而来也。甲以为然，乙以为否，甲曰以为是者，乙日又以为非，其变迁之速如此，而推求所以致此者，则曰人类之自由意志为之，非科学公例所能一律相绳也。夫不究九端之动因，而但言科学的解释，则社会学家之关于九端之说明之文。连篇累牍，我虽浅学，岂并此而不知？夫科学之大本，曰因果公例，有同因则生同果之谓也，吾人据此公例，得以推定物理上天文上种种现象，虽历久而不爽毫厘；若夫人事，但能关于已过者，于事后为之解释，此种过去之解释，能视为与物理公例有同等价值乎？殆不然矣！故独秀虽能举尽社会家言以难吾九端之列举，然吾之根本主张，仍是一丝一毫不能动播也！何也？小家族后之家庭制度如何，谁知之乎？公有财产后之制度如何，谁知之乎？”张先生这一篇说话，说坏点，直是遁词；说好点，他的观念，他的论点，他的文义，他使用术语，都大欠明了。张先生果始终承认他所说的“夫大家族也，小家族也……在一事既已过去，科学家汇集各种事实，推求其由来，而为之说明，此其事之可能，何待赘言？”这段话不错，我们已经用不着论辨。汇集各种事实而推求其由来，而为之说明，此非科学之方法而何？此方法倘有应用于说明及推求社会现象所由来之可能，则社会现象亦必为因果律所支配，尚何待赘言，社会科学亦得成为科学，又何待赞言？社会现象若不为因果律所支配，虽事后亦无法推求其现象所由来；若既为因果律所支配，则可据今果以推求前因，亦可据今因以推求后果；
segment:7d80c537f81c,Segment,陈独秀_001_d263aca8_s0008,Segment,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0008,,"。然科学之中，亦分二项：曰精神科学，曰物质科学。物质科学，如物理化学等；精神科学，如政治学生计学心理学哲学之类。物质科学之客观效力，最为圆满；至于精神科学次之。譬如生计学中之大问题，英国派以自由贸易为利，德国派以保护贸易为利，则双方之是非不易解决矣；心理学上之大问题，甲曰智识起于感觉，乙曰智识以范畴为基础，则双方之是非不易解决矣。然即以精神科学论，就一般现象而求其平均数，则亦未尝无公例可求，故不失为客观的也。若夫人生观则反是：孔子之行健与老子之无为，其所见异焉；孟子之性善与荀子之性恶，其所见异焉；杨朱之为我与墨子之兼爱，其所见异焉；康德之义务观念与边沁之功利主义，其所见异焉；达尔文之生存竞争论与哥罗巴金之互助主义，其所见异焉。凡此诸家之言，是非各执，绝不能施以一种试验，以证甲之是与乙之非。何也？以其为人生观故也，以其为主观的故也。

第二，科学为论理的方法所支配，而人生观则起于直觉。科学之方法有二：一曰演绎的，一曰归纳的。归纳的者，先聚若干种事例而求其公例也。如物理化学生物学所采者，皆此方法也。至于几何学，则以自明之公理为基础，而后一切原则推演而出，所谓演绎的也。科学家之著书，先持一定义，继之以若干基本概念，而后其书乃成为有系统之著作。譬诸以政治学言之，先立国家之定义，继之以主权、权利、义务之基本概念，又继之以政府内阁之执掌。若夫既采君主大权说于先，则不能再采国民主权说于后；"
segment:50cbe623bfe6,Segment,陈独秀_001_d263aca8_s0012,Segment,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0012,,"之音乐，虽主张精神分析或智慧测验者，恐亦无法以解释其由来矣。盖人生观者，特殊的也，个性的也，有一而无二者也。见于甲者，不得而求之于乙；见于乙者，不得而求之于丙。故自然界现象之特征，则在其互同；而人类界之特征，则在其各异。惟其各异，吾国旧名词曰先觉，曰豪杰；西方之名曰创造，曰天才,

无非表示此人格之特性而已。

就以上所言观之，则人生观之特点所在，曰主观的，曰直觉的，曰综合的，曰自由意志的，曰单一性的。惟其有此五点，故科学无论如何发达，而人生观问题之解决，决非科学所能为力，惟赖诸人类之自身而已。而所谓古今大思想家，即对于此人生观问题，有所贡献者也。譬诸杨朱为我，墨子兼爱，而孔孟则折衷之者也。自孔孟以至宋元明之理学家，侧重内心生活之修养，其结果为精神文明。三百年来之欧洲，侧重以人力支配自然界，故其结果为物质文明。亚丹斯密，个人主义者也；马克思，社会主义者也；叔本华、哈德门，悲观主义者也；柏拉图、黑格尔，乐观主义者也。彼此各执一词，而决无绝对之是与非。然一部长夜漫漫之历史中，其秉烛以导吾人之先路者，独此数人而已。

思潮之变迁，即人生观之变迁也。中国今日，正其时矣。尝有人来询曰，何者为正当之人生观？诸君闻我以上所讲五点，则知此问题，乃亦不能答复之问题焉。盖人生观，既无客观标准，故惟有返求之于己，而决不能以他人之现成之人生观，作为我之人生观者也。"
