node_id,labels,name,node_type,article_id,segment_id,title,text
article:1db0a759c06b,Article,人生观的科学或科学的人生观,Article,任叔永_000_7ab49e99,,人生观的科学或科学的人生观,
author:58a7e8c7d413,Author,任叔永,Author,,,,
entity:0bacf98593d1,人物,丁文江,人物,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:fe901cfcc616,人物,张君劢,人物,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:9cbca9e06e43,主义/学说/理论,科学智识论,主义/学说/理论,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:d10fd674f942,概念,心理的内容,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:e394da469145,概念,真的概念推论,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:4b30d802e3b4,概念,科学的材料,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:67821481a750,概念,人生观,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:960b7bc570ad,概念,心理推论,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:f58b0acbd06a,概念,科学的支配,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:effb6c712c82,概念,自身良心,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:188888338b06,概念,主观的自身良心,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:071b601b8302,概念,孔子的行键,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:2d156b84ce77,概念,老子的无为,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:d7caf0acb072,概念,孟子的性善,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:d566ab740459,概念,荀子的性恶,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:c2495c280219,概念,康德的义务观念,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:2bea75dc3277,概念,边沁的功利主义,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:4ade78c32e14,概念,达尔文的生存竞争论,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:d0ff8676ed04,概念,哥罗巴金的互助主义,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:f7b66bd32edf,概念,叔本华、哈德们的悲观主义,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:e15d9ac3d92c,概念,兰勃尼慈、黑智儿的乐观主义,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:f452320d890c,概念,孔子的修身齐家主义,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:9b9f4c477f1f,概念,释迦的出世主义,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:4755c889837e,概念,社会伦理,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
entity:75eeff957a10,概念,行为动机,概念,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,
