node_id,labels,name,node_type,article_id,segment_id,title,text
article:1db0a759c06b,Article,人生观的科学或科学的人生观,Article,任叔永_000_7ab49e99,,人生观的科学或科学的人生观,
author:58a7e8c7d413,Author,任叔永,Author,,,,
article:bca810c63769,Article,读张君劢论人生观与科学的两篇 文章后所发生的疑问,Article,朱经农_000_bb34b81c,,读张君劢论人生观与科学的两篇 文章后所发生的疑问,
author:3607ae2430a0,Author,朱经农,Author,,,,
article:22d8af5001cc,Article,人格与教育,Article,菊农_000_b90d5dfb,,人格与教育,
author:15a27e1dd01f,Author,菊农,Author,,,,
article:b8d5a5bcc0c2,Article,“死狗”的心理学,Article,陆志韦_000_44275f1b,,“死狗”的心理学,
author:c76e249bfc7e,Author,陆志韦,Author,,,,
article:875a00a9bdf4,Article,东荪按,Article,陆志韦_001_941e994c,,东荪按,
author:56a8e92c91b4,Author,张东荪,Author,,,,
segment:aedfb7fbc7d5,Segment,菊农_000_b90d5dfb_s0008,Segment,菊农_000_b90d5dfb,菊农_000_b90d5dfb_s0008,,"而亦无之；只是一大调和。自然界一切事物，对于我都有精神的意义。个人不是要克制自然乃是要与自然和洽。小己人格充分实现时，便与宇宙融合无间了。这正是我们的理想。

教育的真意义，便是求这种理想的实现。人无教育，便不免为物所蔽，便不能得人格的实现。现代教育却只见得下层，不曾见到上层，所以将自然与个人对峙起来，社会与个人对峙起来；一部教育史，只有偏重个人或偏重社会的许多次反动。始终不能超过一层，从精神生活出发来做教育事业。所以我们的教育理想，似乎始终不曾实现过。

# (五)

现代的教育——在个人主义机械主义下的教育——完全是削足适履的教育，将个人的人格磨灭净了。好像南边人做糕点的有花样的印糕板一样，和好了灰面，只是在印糕板上一拍，便成了一块糕。印糕板只有一块，做出来的糕饼，便也是千块一律，花样相同，形式一致，做糕的人得意极了。现代教育也是这般。定一格式，务使受教育的都变成与这格式合式的，千人万人都一律，他们以为能事尽了。只可惜个人各有个性，各有人格，万不能强同，这一层他们却不问。只求形式，办的是教育制度，何尝是培养个性，扩大人格。

现在教育的大病，在太偏重知识，而忽略人生的别方面；即使知识方面的教育登峰造极，也只是畸形的发展。

现代教育之一大特色自然是科学。科学对于人类的贡献，我们不能否认，科学方法为求真之一种准备的方法，亦无疑义。"
