node_id,labels,name,node_type,article_id,segment_id,title,text
article:66d3b6ba1819,Article,玄学与科学 ——评张君劢的《人生观》,Article,丁文江_000_3ba07a5e,,玄学与科学 ——评张君劢的《人生观》,
author:8060a178c99a,Author,丁文江,Author,,,,
article:c877e9637f82,Article,玄学与科学——答张君劢,Article,丁文江2_000_e838922e,,玄学与科学——答张君劢,
article:946c66858cb0,Article,“玄学与科学”论争的余兴,Article,丁文江3_000_94b5c2f9,,“玄学与科学”论争的余兴,
segment:4955d85d2581,Segment,丁文江2_000_e838922e_s0006,Segment,丁文江2_000_e838922e,丁文江2_000_e838922e_s0006,,甲，决不肯这样的老实，决不致于“瞠目咋舌，不知所对”。过去，现在，将来三种时间中最不可靠，最不可捉摸的是现在。君劢做上篇时候的现在，已经不是他做下篇时候的现在；我写这一张时候的现在，到了我文章做完的时候，已经成功了过去。所以讨论现在，没有不讲到过去同将来的。我们所举的事实，那一件不是过去？我们所希望的，要求的，那一件不是将来？假如我说三岁的小孩子现在不会说话，将来也不会说话，君劢岂不要说我是“疯子”或是“伪为不知”？假如我说十年后张君劢的学问，事业，幸福，同现在的君劢一样，他岂不要说我是“嫚骂”？假如君劢对我说，将来的中国永远同现在一样——政府避债，国会卖身，部员索薪，军警闹饷，军阀括钱，土匪绑票——我岂不要自杀？我举小孩子来做比例，因为人类的进化史同小孩子的发育史是一样的性质。
segment:6b724d0ecb7d,Segment,丁文江2_000_e838922e_s0019,Segment,丁文江2_000_e838922e,丁文江2_000_e838922e_s0019,,，我不知道君劢要如何责备我。原子论是达尔登创造的，但是他所谓原子包括分子在内。分子的观念起于阿我喀杜罗，于是学化学的人都认原子为物质最小的单位，不能再分而为二。自从铣质发明以后，化学家方知道原子自己会自动的分裂铀变钽，钽变铣，铣变铋，钶变铅，于是不但原子论要完全修正，就是化学上所谓原质的观念也不能成立。力同原子都是理化学上根本的概念，尚且有如此变动，试问君劢所谓一成不变的公例，物理学上找得出找不出？“严正”科学是否牢固不拔的？
segment:ce876f9415dc,Segment,丁文江_000_3ba07a5e_s0039,Segment,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0039,,"一班应负责任的玄学家、教育家、政治家却丝毫不肯悔过，反要把物质文明的罪名加到纯洁高尚的科学身上，说他是“务外逐物”，岂不可怜！

### 中国的“精神文明”

许多中国人不知道科学方法和近三百年经学大师治学的方法是一样的。他们误以为西洋的科学是机械的，物质的，向外的，形而下的。庚子以后，要以科学为用，不敢公然诽谤科学。欧战发生，这种人的机会来了。产生科学的欧洲要破产了！赶快抬出我们的精神文明来补救物质文明。他们这种学说自然很合欧洲玄学家的脾胃。但是精神文明是什么东西？张君劢说：“自孔孟以至宋元明之理学家侧重内心生活之修养，其结果为精神文明。”我们试拿历史来看看这种精神文明的结果。

提倡内功的理学家，宋朝不止一个，最明显的是陆象山一派，不过当时的学者还主张读书，还不是完全空疏。"
segment:152084b74e36,Segment,丁文江_000_3ba07a5e_s0000,Segment,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000,,"玄学真是个无赖鬼——在欧洲鬼混了二千多年，到近来渐渐没有地方混饭吃，忽然装起假幌子，挂起新招牌，大摇大摆的跑到中国来招摇撞骗。你要不相信，请你看看张君劢的《人生观》!（见前）张君劢是作者的朋友，玄学却是科学的对头。玄学的鬼附在张君劢身上，我们学科学的人不能不去打他；但是打的是玄学鬼，不是张君劢，读者不要误会。

玄学的鬼是很利害的，已经附在一个人身上，再也不容易打得脱，因为我们打他的武器无非是客观的论理同事实，而玄学鬼早已在张君劢前后左右砌了几道墙。他叫他说人生观是“主观的”、“直觉的”、“自由意志的”、“起于良心之自动而决非有使之然者也”、“决非科学所能为力，惟赖诸人类之自身而已”。而且“初无论理学之公例以限制之，无所谓定义，无所谓方法”。"
segment:2edcb8d5974b,Segment,丁文江2_000_e838922e_s0058,Segment,丁文江2_000_e838922e,丁文江2_000_e838922e_s0058,,"美术，并且不反对宗教，不过我不承认神学是宗教。十二年前我做动物学教科书说蚁类优胜的理由：

“然所谓优胜者，就蚁之种系言则然耳。若以蚁之个体观之，则固有难言者。如彼后蚁，当其初生时，无家室之累，生殖之劳，有翅能飞，来去自在，其乐何如也？未几而巢穴成而翅去，蛰居土中，日以产卵为事，终身不复有他望。使后蚁而有知，应亦自悲其运命之穷欤？如彼工蚁，则更不足以自慰。人类之为子孙作牛马者，达观者犹讥其愚。今工蚁又不能生殖，无子孙之可言：寿不过数月，而终日仆仆觅食，为数年之蓄，其愚不更十倍于田舍翁乎？合至愚之蚁为群而蚁之种乃优胜。若是者何哉？曰牺牲个体之利益以图一群之利益也，牺牲一群一时之利益以图一种万世之利益也。言群学者可以鉴矣。”（页一一八至一一九）

论天演的末节我又说："
segment:85bdd3a58aba,Segment,丁文江2_000_e838922e_s0071,Segment,丁文江2_000_e838922e,丁文江2_000_e838922e_s0071,,"君始。”我自己告诉了他我的来历，他说是“君子之袭取”！

（例二）他说詹姆士“五体投地”的崇拜柏格森，所以“不得以玄学目之。”（在这一处君劢似乎也不以玄学为然！）读者可以参考开郎的《詹姆士与柏格森》那一部书。开氏说詹姆士天性最慷慨，所以恭维反对他的人比恭维他的朋友还要热心。其实他的哲学与柏氏的玄学根本不同的。我所认得的前辈里面，梁任公就颇有这种脾气。我们若是把任公“五体投地”过的人的名字聚集拢来，大约可以成功一部人名辞典！

（例三）最发笑的是君劢引托姆生的话转引了兰克司德来证明科学的限界。他也应该打听打听兰氏是何许人。我现在文章已经做完了，忍不住要说一个笑话：

玄学鬼看见科学要打他，连忙的去找了几篇文章来当经咒念，做护身符。先找到了在北京的杜里舒，教了他一大段的经；"
