source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_2d81da7a6e1c1e4a,article_59ae54d9d77db7ba,WROTE,WROTE,neutral,,,孙伏园_000_50fcd0d8,
author_61fbbbacbb4cfd55,article_8e18d3550cfc6c54,WROTE,WROTE,neutral,,,孙伏园_001_119b038d,
article_59ae54d9d77db7ba,segment_3da855e00ca5ff1e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
article_59ae54d9d77db7ba,segment_31c0f303326e69db,HAS_SEGMENT,HAS_SEGMENT,neutral,,,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001
article_59ae54d9d77db7ba,segment_bd4a846e8918bf25,HAS_SEGMENT,HAS_SEGMENT,neutral,,,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
article_8e18d3550cfc6c54,segment_73af5658872520be,HAS_SEGMENT,HAS_SEGMENT,neutral,,,孙伏园_001_119b038d,孙伏园_001_119b038d_s0000
article_8e18d3550cfc6c54,segment_e2cae6da64ccbd45,HAS_SEGMENT,HAS_SEGMENT,neutral,,,孙伏园_001_119b038d,孙伏园_001_119b038d_s0001
segment_3da855e00ca5ff1e,entity_a1f28b78a34f47ca,MENTIONS,MENTIONS,neutral,对于丁张两君的论点也还没有完全捉到,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_6abac119ca7ae09e,MENTIONS,MENTIONS,neutral,玄学是什么?,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_36498d59f2e2c022,MENTIONS,MENTIONS,neutral,科学是什么?,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_96592052bdb28cd4,MENTIONS,MENTIONS,neutral,人生观是什么?,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_b26a5bc978b0122e,MENTIONS,MENTIONS,neutral,哲学是什么?,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_5b45b53375723e57,MENTIONS,MENTIONS,neutral,玄学是整个地研究宇宙,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_1562f283a790a874,MENTIONS,MENTIONS,neutral,哲学是整个地和分别地研究人生,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_75c894e0a65f98ac,MENTIONS,MENTIONS,neutral,整个地研究人生 —— 人生哲学,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_51884e3c83637718,MENTIONS,MENTIONS,neutral,分别地研究人生——社会学，心理学，教育学，等等,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_7b2c68bedc3af840,MENTIONS,MENTIONS,neutral,分别地研究人生——社会学，心理学，教育学，等等,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_e338ad79b4c91522,MENTIONS,MENTIONS,neutral,分别地研究人生——社会学，心理学，教育学，等等,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_3da855e00ca5ff1e,entity_1e355e6351b66526,MENTIONS,MENTIONS,neutral,其中第二部分，就是现在所谓晚出的科学,1.0,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000
segment_31c0f303326e69db,entity_36498d59f2e2c022,MENTIONS,MENTIONS,neutral,晚近许多学者用了自然科学的方法研究人类社会，结果虽没有如自然科学那样精细，但把这几种学问都已计算在科学以内,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001
segment_31c0f303326e69db,entity_1dba7bf79e4a6aca,MENTIONS,MENTIONS,neutral,晚近许多学者用了自然科学的方法研究人类社会,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001
segment_31c0f303326e69db,entity_b26a5bc978b0122e,MENTIONS,MENTIONS,neutral,哲学介乎科学与玄学之间，而人生观则包在哲学范围以内,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001
segment_31c0f303326e69db,entity_6abac119ca7ae09e,MENTIONS,MENTIONS,neutral,哲学介乎科学与玄学之间,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001
segment_31c0f303326e69db,entity_96592052bdb28cd4,MENTIONS,MENTIONS,neutral,人生观则包在哲学范围以内,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001
segment_31c0f303326e69db,entity_32517cfe84af2270,MENTIONS,MENTIONS,neutral,张君第一篇文中所举的九条,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001
segment_31c0f303326e69db,entity_6c5c2c6c2df54662,MENTIONS,MENTIONS,neutral,如任君所论，人生观受科学方法的影响，我是极以为然的,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001
segment_31c0f303326e69db,entity_22d50d902856685e,MENTIONS,MENTIONS,neutral,人生观受科学方法的影响,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001
segment_bd4a846e8918bf25,entity_6c5c2c6c2df54662,MENTIONS,MENTIONS,neutral,如任君所论，人生观受科学方法的影响，我是极以为然的。,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
segment_bd4a846e8918bf25,entity_cecdc01556928a58,MENTIONS,MENTIONS,neutral,如丁君所论，人生观将来能不能统一是一事，言外是说人生观将来能统一的，我是不很希望的。,0.9,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002
