node_id,labels,name,node_type,article_id,segment_id,title,text
article:9ba1765f59f7,Article,劳而无功 —— 评丁在君先生口中的科学,Article,张东荪_000_a9bf05ee,,劳而无功 —— 评丁在君先生口中的科学,
author:56a8e92c91b4,Author,张东荪,Author,,,,
entity:0bacf98593d1,人物,丁文江,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:fe901cfcc616,人物,张君劢,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:67821481a750,概念,人生观,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:0a5d9170d332,概念,科学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:ab5f008cd73e,概念,玄学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:e867d428ff3f,人物,林宰平,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:9b6df3a7e63d,阵营/群体,丁在君、张君劢,阵营/群体,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:0e199dc59124,阵营/群体,丁先生方面,阵营/群体,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:26b1f09d5343,著作,《努力周报》,著作,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:8a6e94bfa60e,历史事件,科玄之战,历史事件,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000,,
entity:a5902cbd02aa,概念,哲学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001,,
entity:88af6181881a,概念,汉学家的考据,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001,,
entity:e855f10abe6e,问题,玄学与哲学的关系,问题,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001,,
entity:49923c612d59,概念,玄学的性质,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001,,
entity:9624496c5828,概念,认识论,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,
entity:b10de826cac7,概念,本体论,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,
entity:7d85d06a9769,概念,宇宙论,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,
entity:ff64cde28949,人物,胡适,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,
entity:343a00408142,人物,詹姆士,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,
entity:8786e30460fb,著作,《哲学之几问题》,著作,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,
entity:651676e64d99,概念,神学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,
entity:6d1c6b21e5ab,概念,朱陆异同,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,
entity:9378808b4944,阵营/群体,两派,阵营/群体,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002,,
entity:d8b52ba932ef,概念,人生,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0003,,
entity:206fbf1c96e8,人物,威廉·詹姆斯,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:8cc31bbdb964,人物,亨利·柏格森,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:a5d9f1eb114e,人物,张东荪,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:0458f6572bbe,人物,兰克司德,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:2e4248bd9b66,人物,艾萨克·牛顿,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:bd9d835a69c4,人物,恩斯特·马赫,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:9ae7dd2df138,人物,马克斯·普朗克,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:f770bce48ebc,概念,绝对运动论,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:e66859167b0c,主义/学说/理论,经验论,主义/学说/理论,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:33e19599a1a0,比喻/类比,心的绵延如雪的堆积,比喻/类比,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:45f5385c5ad0,比喻/类比,思想和天响雷一样,比喻/类比,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:353c5e4a0908,问题,哲学与科学的界限,问题,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004,,
entity:adc01b1e0494,人物,柏格森,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:e63dc5e44473,人物,马赫,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:8963f9953e75,概念,比喻,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:f53a7af77eb6,主义/学说/理论,精神分析学,主义/学说/理论,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:b799cffc0a6a,概念,理由化,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:8f6a4ddf5341,概念,心,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:145ff1410372,概念,物,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:ac1af08267b3,比喻/类比,孙行者与如来佛的比喻,比喻/类比,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:3474b104b7d2,概念,科学的性质,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:1b6fb2173d16,概念,科学的确实性,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:feef3d6e6179,方法,科学的方法,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:ce2a230ac46c,概念,科学公例,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:ad38bcab81b9,概念,事实,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:632ac6b5208f,方法,分类,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:059d8f5726f5,概念,秩序,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:5c69aa790fe2,比喻/类比,以矛攻盾,比喻/类比,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:fbabb0136e43,概念,科学家的态度,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005,,
entity:e15aee214cde,概念,论理,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:e322cf0acc45,概念,形式论理,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:d17a002a2a80,概念,论理思想,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:5a903b33d5b2,概念,科学的基础,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:569ccc854c89,方法,形式论理的三段论法,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:be89cb7c6a6b,概念,科学的正确性,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:48b89d9b329c,概念,论理方式,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:7ffe974d5497,概念,论理学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:336646c6774f,概念,物理学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:bd8cc72942e4,概念,化学反应,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:81cba6ed8e81,概念,数学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:bc879e18b072,概念,非欧克立德的几何学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:fc1e6fe4056c,概念,亚里士多德的论理,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:313654ca0151,概念,欧克立德的几何,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:74e6c425fac9,人物,亚里士多德,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:0157504a2760,概念,亚里士多德的玄学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:7fd77ce22e36,概念,传统论理思想,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:2f7430d88adf,概念,科学确实性的标准,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:ea97294c0900,概念,心理上的现象,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:83980c4d7d26,概念,概念,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:53325e539564,概念,推论,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:14d4456ec198,概念,常人心理的内容,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:84a05ddcfcb5,概念,心理上联想的能力,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:61e061555f41,概念,觉官感触的经验,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:392919c120e4,概念,脑经思想力的强弱,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:59c42a2cdcb9,概念,环境,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:1c577068712a,概念,遗传,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:b2b1fc697e6d,概念,思想的工具,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:0ed17817b3ad,比喻/类比,机器,比喻/类比,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:5e9977f2ea17,概念,物质的‘思构’,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:b9f3bf7c9c0e,概念,科学的真相,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:8a0ab9768038,阵营/群体,疯子痴子,阵营/群体,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008,,
entity:6a76efffadff,观点,科学的确实性即基于人心的相同,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:9194091e4f46,概念,人心,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:ad77d9f327c7,概念,感触思构,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:f3a13102f89b,概念,证据,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:0859d68ed9fc,方法,统计的方法,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:9f0c32b44877,概念,生物测量学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:465ceef36ede,概念,常人,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:652a5f87f5d8,概念,矮子,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:952a7a5f0926,概念,长人,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:161ecc7d4365,方法,智慧测量,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:1663fbb3a279,概念,痴子,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:db3be1e6fea3,概念,天才,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:378c06dad7c3,概念,怪人,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:758cd0e48721,概念,疯子,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:8e390f018c6d,概念,疯人心理,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:7bcb53cb39d7,概念,心理的平衡,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:390d44503d16,概念,生活的常态,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:cdb7d8c1a226,人物,塞尔登,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009,,
entity:ec6c108da2a6,阵营/群体,疯子,阵营/群体,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:2e4838f92082,观点,天才痴子同常人的分别,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:77a7e5b4f971,概念,不学而能的突飞天才者,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:cad5898d6197,概念,生物测定学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:32931edf20a6,概念,智力实验,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:19dd39e35f92,概念,Normal 与 Abnormal,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:9ded43c8f2a6,著作,《人类的效率与智力的层次》,著作,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:95b070b7a850,人物,过达德,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:75e02e101007,评价,丁先生的话全是文不对题,评价,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:063b121922f3,评价,丁先生所谓事实却立刻变为不幸的事实,评价,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:9027fbdb96d0,观点,丁先生口口声声所说的“常人”的绝对界限,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010,,
entity:5cf8522b99b4,阵营/群体,美国军队,阵营/群体,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:d9c5b805f2da,概念,相对论,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:52f850792201,观点,数学上的二加二是四,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:7bc3e12a69ac,概念,空间弯,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:1fc6daa93d88,概念,第四量向,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:baa46a3ae8cf,比喻/类比,海底扁鱼,比喻/类比,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:b22b1fead71e,概念,先天智力,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:ed0f6b1217d8,概念,抽象的智力,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:155e3adebfb9,概念,具体的学习,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:9586a72edc13,概念,玄学的假定,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:dff2e629a329,方法,科学方法,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:3dd2d1a610d9,方法,形式论理,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:f82c0ccd4217,主义/学说/理论,玄学,主义/学说/理论,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:1b6bf6f8f873,概念,宗教,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:95e7229aff34,概念,小说戏曲,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:3cee9a0da2b7,方法,科学的智力实验法,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011,,
entity:78b798906628,概念,科学方法,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:2693d0610ce6,方法,归纳演绎,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:b5fcb4c1ce96,方法,三段论法,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:694c2d37dc19,观点,代替说,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:4a635a1f942d,观点,科学果有一个唯一无二的方法,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:c8b98890c241,概念,心理学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:80c63f159e4a,方法,观察、实验、内省三法,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:a78a8b721a25,方法,法学的方法,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:e5070d6f6258,方法,化学的方法,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:58c689c2aa39,方法,化学的解析,方法,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:a9b978f378ae,概念,天文学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:c3399edf20e8,概念,望远镜,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:3d985aa80250,概念,生物学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:02e2b591cae4,概念,细胞学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:3c9c5fa5fd62,观点,科学各有方法与分枝发展,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:02115a3a1296,概念,所谓科学方法（即分类与归纳等）,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:74d92ae21fec,观点,科学各应其对象而各取特殊的方法,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:0cd6e19d1dd1,概念,二次的（即林先生所谓的实质论理）,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:68b0d0639b29,概念,根本的方法,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:ad3a42fd0729,观点,科学方法与科学是不能分家的,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:ba5fea2c4bd8,观点,心物是一件东西,观点,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012,,
entity:dd3e585b5acd,概念,存疑的精神,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:3a5846dc568b,人物,释迦,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:920829e45321,人物,笛卡儿,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:fde1d85ba5db,概念,奥康的剃刀,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:91519da56f86,人物,牛顿,人物,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:214cd05e910b,概念,绝对运动,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:bc89afaf72b4,概念,绝对时空,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:c4ecc5ab06ef,概念,假说,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:af816d238cb3,概念,西洋玄学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:dc02bc01308a,概念,中国的宋学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:5e8fdb635a0d,概念,汉学,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
entity:9650a90d8c84,概念,科学在中国的发展,概念,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014,,
