source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_8c1c0d9afc2f6be2,article_b5739672c87ed114,WROTE,WROTE,neutral,,,穆_000_d6755881,
article_b5739672c87ed114,segment_670c70916237364d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,穆_000_d6755881,穆_000_d6755881_s0000
article_b5739672c87ed114,segment_58dbabff4d356e11,HAS_SEGMENT,HAS_SEGMENT,neutral,,,穆_000_d6755881,穆_000_d6755881_s0001
article_b5739672c87ed114,segment_b92fcd9c794c4f16,HAS_SEGMENT,HAS_SEGMENT,neutral,,,穆_000_d6755881,穆_000_d6755881_s0002
article_b5739672c87ed114,segment_eb3aa945364559a5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,穆_000_d6755881,穆_000_d6755881_s0003
article_b5739672c87ed114,segment_5f3bc441b65ebaba,HAS_SEGMENT,HAS_SEGMENT,neutral,,,穆_000_d6755881,穆_000_d6755881_s0004
article_b5739672c87ed114,segment_bec40198a7d20b8f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,穆_000_d6755881,穆_000_d6755881_s0005
entity_f04f840e82df29fc,term_bf40baa78e1b03bb,RELATES_TO,相关,neutral,丁、张两先生的辩论,0.9,穆_000_d6755881,s0000
entity_32517cfe84af2270,term_77e3b52e7f0a8d85,RELATES_TO,主张,neutral,张先生说：科学是给人类利用的，不是用人类的东西,0.9,穆_000_d6755881,s0000
entity_32517cfe84af2270,term_25511e417cca1dd5,RELATES_TO,主张,neutral,张先生又说：各人有各人的人生观，彼此无从统一,0.9,穆_000_d6755881,s0000
entity_706bc2fc3de1c2a5,entity_7c6d805d2812c885,RELATES_TO,主张,positive,科学家最重要的精神，是承认事实而尊重事实,0.9,穆_000_d6755881,s0000
entity_706bc2fc3de1c2a5,term_e3b8d2ff12d21258,RELATES_TO,解释,positive,科学家把许多事实列举出来，告诉我们说，人类和下等生物本来是同祖的一原的,0.9,穆_000_d6755881,s0000
entity_706bc2fc3de1c2a5,term_e3b8d2ff12d21258,RELATES_TO,主张,neutral,科学家把许多事实列举出来，告诉我们说，人类和下等生物本来是同祖的一原的,1.0,穆_000_d6755881,s0001
entity_706bc2fc3de1c2a5,term_77ae32a3a1af5b2a,RELATES_TO,主张,neutral,科学家列举事实，证明人类在宇宙中的渺小,1.0,穆_000_d6755881,s0001
entity_7c6d805d2812c885,entity_6e9d997cba0280b5,RELATES_TO,属于,positive,正当的科学家的人生观，第一条件便应该是尊重事实,1.0,穆_000_d6755881,s0001
entity_f17bd222f1eca18b,entity_6e9d997cba0280b5,RELATES_TO,属于,positive,科学家的人生观，确有与众不同的第二条件，便是对于事实之平等观,1.0,穆_000_d6755881,s0001
entity_706bc2fc3de1c2a5,entity_94a5e1e7895ae5c1,RELATES_TO,对比,positive,"神秘派的感情派的伦理派的人们，对于外界事实,往往有一种直率的口吻，说这是自然有的，或是说道是不应该有的；但是在科学家的口里，他们决不如此说。",1.0,穆_000_d6755881,s0002
entity_32517cfe84af2270,entity_36498d59f2e2c022,RELATES_TO,反对,negative,张先生反对科学，说近世国家主义也是科学之流弊所致,0.9,穆_000_d6755881,s0005
entity_32517cfe84af2270,entity_dbeb6088353ef3e3,RELATES_TO,主张,neutral,s0000提到张君劢主张各人有各人的人生观，s0003明确说张君劢提倡宋明理学来力挽颓风，这是对前文主张的具体化。,0.9,,s0000
entity_cecdc01556928a58,term_e479e517744ffa0f,RELATES_TO,主张,neutral,s0003提到丁文江说玄学是鬼怪，科学是神仙，s0004明确说丁文江主张科学可以把人生观统一，这是对前文立场的明确化。,0.9,,s000
entity_32517cfe84af2270,term_229b403f91b86041,RELATES_TO,主张,neutral,s0004提到张君劢反对科学并说国家主义是科学流弊，s0005重复并确认此观点。,0.95,,s0004
entity_b7d4c0a7d7d3f208,entity_cecdc01556928a58,RELATES_TO,回应,neutral,s0000提出科学家应尊重事实，s0004批评丁文江不肯低首下心承认事实，这是对丁文江态度的回应。,0.85,,s0000
entity_b7d4c0a7d7d3f208,entity_cecdc01556928a58,RELATES_TO,质疑,neutral,s0003提到丁文江说玄学是鬼怪，s0004质疑丁文江是否用神秘派感情派口吻，这是对丁文江态度的质疑。,0.9,,s0003
entity_b7d4c0a7d7d3f208,entity_f948c44e7fb90c44,RELATES_TO,承接,neutral,s0001末尾提到条理密察，s0002开头继续阐述条理密察，这是明显的承接。,0.95,,s0001
