node_id,labels,name,node_type,article_id,segment_id,title,text
article:a1cc96cc2268,Article,“科哲之战”的尾声,Article,王平陵_000_d1d9c442,,“科哲之战”的尾声,
author:f2f4bde1fea8,Author,王平陵,Author,,,,
article:2e2a0f76d038,Article,科学与人生观,Article,王星拱_000_4d6fdc04,,科学与人生观,
author:fe5587a45a64,Author,王星拱,Author,,,,
article:aa08800b1bb6,Article,旁观者言,Article,穆_000_d6755881,,旁观者言,
author:baeb614006ba,Author,穆,Author,,,,
article:9bfd9ecc020f,Article,评所谓“科学与玄学之争”,Article,范寿康_000_14d2ac72,,评所谓“科学与玄学之争”,
author:e6ac518c8e8a,Author,范寿康,Author,,,,
segment:4878b513c0be,Segment,范寿康_000_14d2ac72_s0008,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0008,,"究艺术或宗教的时候，我们固然可以称这一种科学做艺术学或宗教学，但是断不能称应用科学方法的艺术或宗教（假使有这一种艺术或宗教）做科学。我想丁氏的主张大概也是如此。林氏似可不必吹毛求疵。第二，科学方法虽是科学的本质，但我以为丁氏决不会把科学方法就看做科学。科学方法是一种研究方法，科学是应用这一种研究方法而成立的学问。研究方法和应用这种研究方法的学问当然是不同的。林氏也可不必故生枝节。我以为林氏这段辩论在讨论学术上恐怕是没有多大的价值。

至于张东荪氏呢，他在《劳而无功》中间说:

……丁先生说凡用科学方法都是科学，于是我们的问题一转而变为科学方法的讨论了。科学方法若即是形式论理，则不但玄学用之，宗教用之，乃至小说戏曲亦都用之。于是普天之下莫非科学。科学既早已如此普遍，丁先生大可不必再费九牛二虎之力以提倡了。可见科学方法决不仅是形式论理。……科学各应其对象而各取特殊的方法。这些方法虽是二次的（即林先生所谓实质论理),却是非常重要。若抽离这些各别的二次的方法以成根本的方法，势必愈普遍而愈失其独到的精神。我们要真心提倡科学便不能仅仅注目于空间的根本的抽象的方法。

张氏主张提倡科学应当于第一次的科学方法而外，注目于第二次的科学方法，这也未始无理。然而我要问第二次的科学方法的根源究在那儿？我们有了第一次的科学方法，所谓第二次的科学方法不是就会逐渐由此产生出来么？"
segment:f58af0071f24,Segment,王星拱_000_4d6fdc04_s0002,Segment,王星拱_000_4d6fdc04,王星拱_000_4d6fdc04_s0002,,"的态度，与宗教家及美术家的态度实在是不同的。现在我也要从这两个意义上面，略为讨论一番。

我们把这两个名词的界说陈述明白了，我们再来讨论科学是否能应用于人生观？换一句话说：科学是否能够应用以解决人生问题？我们要想讨论这个问题，必须先看科学所凭藉以构造起来的是些什么?

科学所凭藉以构造起来的，有两个原理:(一）是因果之原理（Causality),(二）是齐一之原理（Uniformity）。

因果之原理是说：宇宙中之各种现象，必定有因果的关系，没有无因而至的，也没有不生效果的。这个原理里边，包含着可分之原理（Divisibility）或多元之原理（Pluralism）。因为辨别出来何者为因，何者为果，那已经把宇宙分成零零碎碎的

块片了。有些哲学家以为宇宙是不可分的，故对于这个原理，极端反对。姑举一例而言：布拉德烈（Bradley）说：我不懂得何以糖是甜的？把他的意思引伸出来，是：糖是一件东西，甜是一件东西，这两件东西如何发生关系起来？依因果之原理来讲：因为糖中有糖质，所以糖是甜的。但是这里又要发生两个问题：一是何以糖中有糖质？二是何以糖质是甜的？再往下追寻可以至于无限，而糖与甜两个的因果关系，永远接续不起来。所以他的结论是：“原来就没有糖是甜的这样一回事。”庄子说：“今日适越而昔至”“庸讵知天之非人乎？庸讵知人之非天乎？”也是宇宙不可分析的意思。"
