source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_eab6340e86552c63,article_3951d46919fab24e,WROTE,WROTE,neutral,,,丁文江_000_3ba07a5e,
author_eab6340e86552c63,article_de132b1bdec359e7,WROTE,WROTE,neutral,,,丁文江2_000_e838922e,
author_eab6340e86552c63,article_c87fce002b18652f,WROTE,WROTE,neutral,,,丁文江3_000_94b5c2f9,
article_3951d46919fab24e,segment_3226bbda4bef5340,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0000
article_3951d46919fab24e,segment_42fb0dea4b59568c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0001
article_3951d46919fab24e,segment_9e979166ee9023e7,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0002
article_3951d46919fab24e,segment_83b7396356ce3fec,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0003
article_3951d46919fab24e,segment_78d30d32df8d6300,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0004
article_3951d46919fab24e,segment_8e48bef539ef5e54,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0005
article_3951d46919fab24e,segment_818467530497dcf0,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0006
article_3951d46919fab24e,segment_510938e204bdf93b,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0007
article_3951d46919fab24e,segment_16df845bbcc89a75,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0008
article_3951d46919fab24e,segment_be989a4f36049d17,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0009
article_3951d46919fab24e,segment_b48d8e3d2c66dc76,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0010
article_3951d46919fab24e,segment_dceaa8c13b1be525,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0011
article_3951d46919fab24e,segment_850df001ba08dcf4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0012
article_3951d46919fab24e,segment_87ff2a79f04afdac,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0013
article_3951d46919fab24e,segment_835298c1634e0e32,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0014
article_3951d46919fab24e,segment_b575a763e4609c17,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0015
article_3951d46919fab24e,segment_7fa3fa400c702d1b,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0016
article_3951d46919fab24e,segment_8f93c641a6e7a735,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0017
article_3951d46919fab24e,segment_6030d349a37a670f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0018
article_3951d46919fab24e,segment_7b59705aa191707c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,丁文江_000_3ba07a5e,丁文江_000_3ba07a5e_s0019
