node_id,labels,name,node_type,article_id,segment_id,title,text
article_605bf047e614250e,Article,评所谓“科学与玄学之争”,Article,范寿康_000_14d2ac72,,评所谓“科学与玄学之争”,
author_63987b3b35ea4836,Author,范寿康,Author,,,,
segment_316ee7a65f5be7c5,Segment,范寿康_000_14d2ac72_s0000,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0000,,"(一) 绪论

自张君劢氏在《清华周刊》第二七二期上发表了一篇讲演稿《人生观》以后，引起了我国学术界年来罕见的大波澜。所谓“科学与玄学之争”的导火线就是这篇《人生观》。张君劢氏为了这篇文字，不久就引起了丁文江氏的驳击。丁氏发难以后，于是加入这一次的争论的有梁启超、任叔永、胡适之、孙伏园、林宰平、张东荪、章演存、朱经农、唐钺、甘蛰仙、王星拱等诸氏，对于这种大规模的学术上的讨论，一方面我觉得这是学术界应有的事情，所以我以为这种争论，在争论本身上，是应该提倡，却不应该排斥；但是在他方面我却觉得这次讨论的内容未能十分令人满意，所以我不顾自己学识的浅陋，以为为真理起见，为学术起见，还有出来把这笔总账清算一下的必要。

我看这次论争的中心要在于“人生观与科学的关系”，所以关于讨论的程次和范围似应由这个中心问题而决定。梁启超氏在他那篇《人生观与科学》里面说得好:

“凡辩论先要把辩论对象的内容确定：先公认甲是什么，乙是什么，才能说到甲和乙的关系何如。否则一定闹到‘驴头不对马嘴’。当局的辩论没有结果，旁观的越发迷惑。我很可惜君劢这篇文章，不过在学校里随便讲演，未曾把‘人生观’和‘科学’给他一个定义。在君也不过拈起来就驳。究竟他们两位所谓‘人生观’，所谓‘科学’，是否同属一件东西，不惟我们观

战人摸不清楚，只怕两边主将也未必能心心相印哩。”

梁氏这段评论最是确当。"
segment_0de24319ffdadc99,Segment,范寿康_000_14d2ac72_s0001,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0001,,"拈起来就驳。究竟他们两位所谓‘人生观’，所谓‘科学’，是否同属一件东西，不惟我们观

战人摸不清楚，只怕两边主将也未必能心心相印哩。”

梁氏这段评论最是确当。这次论争的缺点我以为第一就在讨论的程次和范围问题多被忽视的一点。梁氏独具只眼，对于这个问题，独能首先认定清楚，而且他又能与以相当的解决，他确不愧为论坛的老将。

对于讨论的程次和范围一层，梁氏而外，伏园氏也有一种提案。伏园氏在《玄学科学论战杂话》里面说:

“我以为现在两方都还没有注意到首先应该注意的三个问题，就是：玄学是什么？科学是什么？人生观是什么？不消说，只是这三个定义就可以讨论几百万言而没有解决。不过至少，我以为双方都应该宣布自己对这三个名词的定义。这样才能使观战人明白，此方之所谓玄学，科学，人生观，是不是彼方之所谓玄学，科学，人生观。”

“不过要讨论这个问题，只是下了那三个定义还不够，我以为还有一个更重要的定义应该明白的，就是哲学是什么？”

伏园氏这个提案虽足以证明他注意到讨论的程次和范围，然而我觉得他的见解已落梁氏之后。他于科学之外，另立一个哲学，不是他已承认科学只能为狭义的科学（不包含哲学在内）么？但是争论者所指的科学倘是广义的科学，那末，他这个另论哲学的意见又未免是另生枝节了。

梁氏及伏园氏而外，王星拱论《科学与人生观》，他所定的程次和范围也还不错，他对于这一层的见解，大体与梁氏相同。"
segment_c11c36ae391c7d0f,Segment,范寿康_000_14d2ac72_s0002,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0002,,"末，他这个另论哲学的意见又未免是另生枝节了。

梁氏及伏园氏而外，王星拱论《科学与人生观》，他所定的程次和范围也还不错，他对于这一层的见解，大体与梁氏相同。

至于其他诸氏中间，有的人们所实施的攻击系侧面攻击，有的人们所计画的战斗系短兵相搏，可以说树这一种堂堂正正的旗帜的差不多是没有。

照我的私见，我同梁氏一样，也以为这次问题的核心既是“人生观与科学的关系”，那末，讨论的程次和范围应当如下面所列:

(一) 人生观是什么?

(二）科学是什么?

(三）人生观与科学研究竟有无关系？如有，他们二者的关系究是怎样?

## (二) 人生观是什么?

人生观为关于人生的现实及理想两方面的见解。古来对于人生观，议论极多，实在是众说纷纭，莫衷一是。关于人生现实的见解有悲观论及乐观论等。关于人生理想的见解有快乐论及直觉论等。进一步言，人生观所包含的内容虽分现实和理想两方面，而注重却在于理想方面。我们对于人生想立一种完善的理想当然应以了解人生现实的真状为第一步，然而了解人生的现实完不过是为我们树立人生理想的准备；所以人生观就大体而言也可说是关于人生方面所有价值问题上的主张。这一种主张，实际上虽是各人各殊，但是我们对于这种人生方面各种价值问题的解决未始不能求一种共通应守的规范。这是我对于人生观的私见一斑。

现在我再讨论诸氏关于人生观的意见。"
segment_95bc192a0df5a78e,Segment,范寿康_000_14d2ac72_s0003,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0003,,"际上虽是各人各殊，但是我们对于这种人生方面各种价值问题的解决未始不能求一种共通应守的规范。这是我对于人生观的私见一斑。

现在我再讨论诸氏关于人生观的意见。

张君劢氏在那篇《人生观》里面不过列举了九条我与非我的关系，他对于人生观起初本没有提出一个明白的定义。丁文江氏在第一篇《玄学与科学》中间，就驳他说是我与非我的关系不止九条。张氏虽对丁氏的驳论仍有答辩，然丁氏这个责难大体是妥适的。张氏在那篇《再论人生观与科学并答丁在君》一文，他自己也曾下一人生观的定义说:

“人之生于世也，内曰精神，外曰物质。内之精神变动而不居，外之物质凝滞而不进。所谓物质者，凡我以外皆属之。如大地山河，如衣服田宅，则我以外之物也；如父母妻子，如国家社会，则我以外之人也。我对于

我以外之物与人，常求所以变革之，以达于至善至美之境。虽谓古今以来之大问题，不出此精神物质之冲突可也。我对于我以外之物与人，常有所观察也，主张也，希望也，要求也，是之谓人生观。”

张氏在这一段文字里面，我以为有两种地方可以訾议：第一，如丁氏的批评，张氏所定“物质精神的分别是以内外分，以我与非我分”，这一点未免过于幼稚；第二，张氏所谓人生观既是包括一切我对于我以外之物与人上面的观察、主张、希望、要求，那末，难道张氏不是如丁氏所言，也把我与非我的关系已经从九条放大至无穷么?"
segment_6ddc32db76c78b5f,Segment,范寿康_000_14d2ac72_s0004,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0004,,"；第二，张氏所谓人生观既是包括一切我对于我以外之物与人上面的观察、主张、希望、要求，那末，难道张氏不是如丁氏所言，也把我与非我的关系已经从九条放大至无穷么?

至于丁文江氏呢，他对于张氏议论的驳击，论锋虽锐，可是他自己对于人生观却未曾发表一明确的定义。此外诸氏里面对于人生观的见解虽颇繁多，然而最得要领的要算梁启超和王星拱二氏。现在把二氏的议论评论一下。余则从略。

梁氏在《人生观与科学》中说:

“人类从心界物界两方面调和结合而成的生活叫做人生。我们悬一种理想来完成这种生活，叫做人生观。”

梁氏这个定义，内容确是明了。他对于人生现实的研究方面虽行忽略，但就大体而言，他的见解是正当的。不过他的文字可惜太简单些。

王氏在《科学与人生观》中，论人生观颇为详细，他说:

“人生观这个名词，因为历史上之沿袭，也有两种不同的意义；一是生命之观念，二是生活之态度。”

倘使我大体可以把生命之观念看做人生现实的问题，把生活之态度看做人生理想的问题，那末，王氏这一层的意见，就我个人看来，大体是不错的。但是王氏关于这两个问题，更写有详明的解决，这里面却颇有怀疑的余地。就生命之观念而论，他以为生物活动和无机界之活动没有根本的区别；就生活之态度而论，他以为意志毫不自由，全受因果律之支配。但是照我

所见，这二点却不是这样容易能够速断的问题。生命和意志问题实是自古迄今尚未解决的谜。"
segment_fc60c1cd6332e36d,Segment,范寿康_000_14d2ac72_s0005,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0005,,"本的区别；就生活之态度而论，他以为意志毫不自由，全受因果律之支配。但是照我

所见，这二点却不是这样容易能够速断的问题。生命和意志问题实是自古迄今尚未解决的谜。我们如果能够断定意志毫不自由，生命全无意义，那末，人生不是变做一种机械，试问人类社会里面还有什么道德可言，什么责任可讲呢？果如王氏所言，今天的社会现象不过是昨天的社会现象所必致的结果；明天的社会现象不过是今天的社会现象所必致的结果；我们人类不是简直毫无参与的余地么？退一步说，王氏纵使承认我们能够参与，但他既以为参与的原动力——意志——全受因果律的支配，那末，所谓参与，充其量也不过是必然的参与，我们对于这种必然的参与那有责任可讲呢？王氏倘不否认道德，我以为王氏对于这种问题还应当慎重研究才是。

【注一】此地所谓因果律是指狭义的因果律，即必然的因果律。参看后面“因果律与充足理由的原理”。

## (三) 科学是什么?

科学的解释有广义和狭义两种。照广义讲来，凡由科学方法制造出来的学问都是科学。广义的科学里面包含说明科学及规范科学两种。照狭义讲来，科学单指说明科学。什么叫做说明科学？什么叫做规范科学呢？原来我们人类所谓法则中间有两种不同的法则：一种叫做必然的法则，一种叫做当然的法则。必然的法则（自然的法则）都是一定不变，我们不能用人力去左右他们，他们是必然的，是不可避的。"
segment_b23200800380dd86,Segment,范寿康_000_14d2ac72_s0006,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0006,,"所谓法则中间有两种不同的法则：一种叫做必然的法则，一种叫做当然的法则。必然的法则（自然的法则）都是一定不变，我们不能用人力去左右他们，他们是必然的，是不可避的。当然的法则（规范）却是不然，在放任的时候，我们未必服从，也未必不服从，换言之，当然的法则的实行非必然的，是可以随人而异的；但是在他一方面，当然的法则，纵使有时有人去背犯他，却是我们所要

求的，所以我们对于他们，总想竭力发现，并想竭力尊奉。科学里面，凡是研究必然的法则的叫做说明科学，研究当然的法则的叫做规范科学。如动物学、植物学、物理学、化学、地质学，乃至研究意识的自然的法则的心理学等都是说明科学。如论理学、美学，乃至研究人生的当然的法则的伦理学等都是规范科学。与广义的科学——包含说明科学及规范科学——相对待的是宗教和艺术。这是我对于科学的见解的一斑。

现在我再讨论诸氏关于科学的意见。

关于科学的定义，意见极多，然大体讲来，似以科学方法为广义科学的本质的见解最占优势。如丁文江、王星拱、唐钺等诸氏都取这种主张。对这一层我以为是妥适的。张君劢论科学分类及各项问题洋洋数万言，但对科学的定义却没有一个明白的宣言，这实在令人惊怪；不过他所谓科学从他的科学分类看来，是指广义的科学，这却是毫无疑义的。至于反对以科学方法为广义科学的本质的见解的代表则有林宰平、张东荪二氏。我以下对二氏的意见略微批评一下。"
segment_e86e63f6fd6b1d42,Segment,范寿康_000_14d2ac72_s0007,Segment,范寿康_000_14d2ac72,范寿康_000_14d2ac72_s0007,,"从他的科学分类看来，是指广义的科学，这却是毫无疑义的。至于反对以科学方法为广义科学的本质的见解的代表则有林宰平、张东荪二氏。我以下对二氏的意见略微批评一下。

林氏在《读丁在君先生的〈玄学与科学〉》里面说:

……即如乌尔夫主张凡用科学方法所研究者皆可谓为“科学的”，然严格说来，科学的究不是科学，换句话说：就是科学方法，究不是科学自身。譬如一步一步的先搜集材料，次假定公例，又次试验证明，这样诚实有条理，固然应用到那一方面都相宜，然科学若仅指这种空空洞洞的方法，那么，凡做人能够诚实有条理的，都可称他是个科学家么？假如科学方法即是科学自身，然则几何学的方法应用于绘画音乐等，能否即将绘画音乐叫做几何学；数学方法应用到无线电上，能否说无线电就是数学；物理学应用到医学上，能否说医学就是物理学？……若调绘画等虽不能说他即是几何学，然他既是应用科学的方法，总可谓之科学，其实这句话只可说：绘画等虽未尝不可用科学的方法来研究，至于绘画自身，他是整的，调和的，活的，不可分析的；音乐也是如此；要说他是科学就很费解的

了。”

林氏这种驳论未免牵强。第一，科学既是一种学问，那末学问自然不应该和艺术、宗教混为一谈。我们用科学方法研究艺术或宗教的时候，我们固然可以称这一种科学做艺术学或宗教学，但是断不能称应用科学方法的艺术或宗教（假使有这一种艺术或宗教）做科学。我想丁氏的主张大概也是如此。"
