node_id,labels,name,node_type,article_id,segment_id,title,text
article_1befccfc17fa192f,Article,人生观的科学或科学的人生观,Article,任叔永_000_7ab49e99,,人生观的科学或科学的人生观,
author_be4adf53e9788563,Author,任叔永,Author,,,,
segment_5b4eefea93bd305d,Segment,任叔永_000_7ab49e99_s0000,Segment,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0000,,"“人生观的科学或科学的人生观”，读者看见我这个题目，一定要疑心我在弄诡辩、掉字面了。我要请读者把最近张君劢君在清华学校讲演的《人生观》，和本周刊上发表的丁在君和张君劢讨论玄学与科学的文字下细的读一遍，就晓得我这个题目的意思。

张君劢在他的演说中说“同为人生，因彼此观察点不同，而意见各异，故天下古今之最不统一者，莫若人生观”。又说“凡此问题，东西古今，意见极不一致，决不如数学或物理化学之有一定公式”。又就科学与人生观来加比较，说“科学无论如何发达，而人生观问题之解决，决非科学所能为力，唯赖诸人类之自身而已”。推张君的意思，是说凡是科学，都有一个公式可发见，而人生观最不统一，最不一致，所以无发见公式的可能。既然没有发见公式的可能，所以人生观问题，不是科学所能解决。要是我们解释张君的意思没有错误，那吗张君从头就陷于错误而不自知了。张君所说的，人生观中无公式可求，就张君自己所下的科学定义，只可以证明人生观不成科学。但是人生观成不成科学是一事，科学能不能解决人生观的问题又是一事。而张君劢并为一谈，无怪丁在君要说他违背论理学，为“玄学鬼”所迷了。

人生观何以不能成为科学，是不是因为如张君劢所说，人生观是主观的，直觉的，综合的，自由意思的，单一性的吗？关于这一层，丁君已有极详细的驳论。丁君的科学智识论，是要

证明“凡是心理的内容，真的概念推论，无一不是科学的材料”。"
segment_f38df74982ac952f,Segment,任叔永_000_7ab49e99_s0001,Segment,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0001,,"，直觉的，综合的，自由意思的，单一性的吗？关于这一层，丁君已有极详细的驳论。丁君的科学智识论，是要

证明“凡是心理的内容，真的概念推论，无一不是科学的材料”。人生观要是不外乎心理推论的作用，也当然要受科学的支配。但是张君要说“我所说的人生观，决不是由概念推论所得来的。我的人生观是由主观的自身良心所主张”。我们现在再来看看张君所说的自身良心，是不是一个极简单的东西。张君解说人生观的时候，先立了一个为中心的“我”，随后引证人生观的特点，就有“孔子的行键，老子的无为，孟子的性善，荀子的性恶，……康德的义务观念，边沁的功利主义，达尔文的生存竞争论，哥罗巴金的互助主义，……叔本华、哈德们的悲观主义，兰勃尼慈、黑智儿的乐观主义，孔子的修身齐家主义，释迦的出世主义……”等等。这许多东西里面有的是讲的社会伦理，有的是说的行为动机，有的是指的人生究竟。任举那一件，都不是简单的“直觉”或概念。我们晓得科学的方法虽是无所不能（读者注意，我说的是科学方法，不是科学万能),但是他应用起来，却有一定的限度。我们所说的限度，就是指那经过分析而确实清楚的事实。张君所说的人生观，既然是一个浑沌囫囵的东西，科学方法自然用不上去。张君是不曾学过科学的人，不明白科学的性质，倒也罢了，丁君乃研究地质的科学家，偏要拿科学来和张君的人生观捣乱，真是“牛头不对马嘴”了。"
segment_b2b56461346f09e5,Segment,任叔永_000_7ab49e99_s0002,Segment,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0002,,"，科学方法自然用不上去。张君是不曾学过科学的人，不明白科学的性质，倒也罢了，丁君乃研究地质的科学家，偏要拿科学来和张君的人生观捣乱，真是“牛头不对马嘴”了。

上面所说的，是要证明浑沌复杂的人生观，当然不受科学的支配，有勉强拿科学方法去部勒他的，不免终归于失败，如像张君劢的演说，就是宣布这种失败的结果。但是照这样说来，科学简直和人生观没有关系吗？我们答应这个疑问，自然是一个顶大的否字。我们的意见，是：人生观的科学是不可能的事，而科学的人生观却是可能的事。让我稍为详细的把这件事讲一讲。人生观的种类，虽然很多，但有一个公共的出发点，就是要求外物与内心的调和。外物的对象，无论是纯粹物质也好，社会制度也好，他我总体也好，宇宙背后的造物也好；调和

的方法无论是希望也好，要求也好，改革也好，出世也好，总之要在内面的我，和外面的物质世界中间，求一个恰好满足的关系。这种说法，不是唯物论的科学家才如此的，唯心论的哲学家大半都是如此的。人生观既然不能离物质世界而独立，所以物质界的智识愈进，人生观当然亦从而生变动。换一句话说，就是物质界的智识愈进于科学事，而人生观之进于科学的，亦与之为比例。关于这一层最明显的例，就是生物学上的进化论。达尔文的学说，是张君所不认为完全成立的。张君并且引杜里舒的话来证明达尔文学说的不成立。但达尔文的学说成立与否为一事，进化论的成立与否又为一事。"
segment_91f371023532bc31,Segment,任叔永_000_7ab49e99_s0003,Segment,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0003,,"生物学上的进化论。达尔文的学说，是张君所不认为完全成立的。张君并且引杜里舒的话来证明达尔文学说的不成立。但达尔文的学说成立与否为一事，进化论的成立与否又为一事。据我们所晓得的，达尔文的学说，虽经过了若干修正及改革，进化论的原理，却是无人能反对的。进化论发明之后，所生的人生观的影响，至少有下列几件：第一是表明人类在自然界的位置，第二是打破宗教上的创造说和玄学上的前定论，第三是张君所举的生存竞争论。我们无论如何说物质文明与精神文明没有关系，总不能不承认近世的人生观，比中古时代的固定的消极的人生观进步多了。但是这一点人生观的进步，还是从那“未经解决”的进化论得来的呵!

科学与人生观的关系，不但是因物质科学的进步，间接的把人生观改变，直接的 科学自己还可以造出一种人生观来。这一层在以科学为客观的，机械的，物质的的人，未免有些不信。唯其如此，我们对于此点不能不特别加以说明。人人都晓得研究科学的人，大半是不信宗教的，但大多数的科学家，都是道德完备，人格高尚的人。要是人生观就是对于社会伦理、人生目的有一定见解的意思，我们不能说这一般人没有人生观。他们的人生观是从那里得来的？原来他们的人生观，就在他们的科学研究里面。这就科学的性质上方法上可寻得出几个缘故来。

第一，科学的目的在求真理，而真理是无穷无边的，所以研

究科学的人，都具一种 猛勇前进，尽弃于真理的启迪，不知老之将至的人生观。"
segment_759a1bef43a1436a,Segment,任叔永_000_7ab49e99_s0004,Segment,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0004,,"上方法上可寻得出几个缘故来。

第一，科学的目的在求真理，而真理是无穷无边的，所以研

究科学的人，都具一种 猛勇前进，尽弃于真理的启迪，不知老之将至的人生观。牛顿暮年的时候说：“我不晓得世界看我是怎样。我自己觉得，我不过像一个小孩子，在真理的大海边，偶然拾得几个可爱的贝壳玩弄，而真理的大海仍在我的前面，不曾发现。”现今的物理学大家汤姆生说：“我们占了一峰还有一峰，看看我们的前面，仍旧全是美丽有趣的去处。但是我们看不见目的地和水平线。在较远的地方，还有更高的山，能攀登上去，就能看见更好的景界。科学愈进步而造物的伟大、不可思议也愈显明。”这些话出诸大科学家之口，都可以代表科学家的一种伟大的人生观。有了这种人生观，才能打破物质界的许多引诱，凡是真正的科学家都是如此的。

第二，因为科学探讨的精神，深远而没有界限，所以心中一切偏见私意，都可以打破，使他和自然界高远的精神相接触。这样的人生观，也不是他类的人可以得到的。关于这一层，我们可以引赫诃尔的话来做一个例。他说：“有多少时候只要把观点改一改，或把隐僻的原理应用一应用，就可把物理或算学上的荆棘变成康庄，研究中的不毛，变成智识及权力的泉源。见惯了这些事体的人，若有人告诉他，说人类的现在及将来是一个无望可悲的结果，他一定不相信。"
segment_9545aa04f8b54121,Segment,任叔永_000_7ab49e99_s0005,Segment,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0005,,"，就可把物理或算学上的荆棘变成康庄，研究中的不毛，变成智识及权力的泉源。见惯了这些事体的人，若有人告诉他，说人类的现在及将来是一个无望可悲的结果，他一定不相信。一方面在他们的研究中间，由四方八面看见道德、智识，以及物质的种种关系，那样广漠无垠，而他自己在宇宙中间那样的细微不足道。他要想停止或改变在他四周的大机的运动，一点也不能为力。他才晓得希望的自信力，和坎然的自处，同是他性质中所必须的。”有了这种人生观，所以有些科学家，竟能把荣名界限及一切社会阶级打破。这是因为科学家的人生观，是超乎这些以上的。

第三，科学所研究的是事物的关系，明白了关系，才能发见公式。这样关系的研究，公式的发见，都可以给人一种因果的观念。而且这个因果观念，在经验世界里面，是有绝对的普遍

性的。研究科学的人，把因果观念应用到人生观上去，事事都要求一个合理的，这种合理的人生观，也是研究科学的结果。我们何以不信亚当降种的尊贵，而自甘动物进化的卑贱，因为前说不合理的原故。我们何以不信五行风水的说话，而主张人能主宰自己的运命，也因为前者不合理的原故。科学家因为要求一个合理的关系，所以不惮用精确的观察去求事实，精确的论理去做推论。他们因为要求一个合理的结论，所以不惮和前人的名论或社会的成见宣战。"
segment_262b6b76686324bf,Segment,任叔永_000_7ab49e99_s0006,Segment,任叔永_000_7ab49e99,任叔永_000_7ab49e99_s0006,,"不合理的原故。科学家因为要求一个合理的关系，所以不惮用精确的观察去求事实，精确的论理去做推论。他们因为要求一个合理的结论，所以不惮和前人的名论或社会的成见宣战。赫胥黎说：“要我相信在某时以前宇宙不曾存在，忽然有一个先在的神人，在六天中间（或者说立刻也可）就把他造成功来，也不是很难的事体。我不说凡不能的都是不真。我所提出的只是最低微而最有理的要求，要求现在所有动植物的种类由那样创造出来的一点证据。这一点证据是我要相信觉得极不可能的说话的唯一条件。”他们不敢信怎样隆古重要的传说，只是要求一个证据，因为他们晓得只有由证据推出的结论，是合理的。

上面略举三种科学的人生观以见一斑，其余的不多说了。总结起来，我们承认:

(一）科学有他的限界，凡笼统浑沌的思想，或未经分析的事实，都非科学所能支配。但是科学的职务，就在要分析及弄清楚这些思想事实上。

(二）人生观若就是一个笼统的观念，自然不在科学范围以内。若分析起来，有一大部分或全部分，都可以用科学方法去变更或解决。

我们还要主张:

(三）科学自身可以发生各种伟大高尚的人生观。

(四）因为不曾研究过科学的，看不到这种人生观的景界，我们应该多提倡科学以改良人生观，不当因为注重人生观而忽视科学。

—— 转录《努力周报》——"
entity_32517cfe84af2270,人物,张君劢,人物,,,,
