node_id,labels,name,node_type,article_id,segment_id,title,text
article:2c4e4e99971b,Article,序一,Article,陈独秀_000_4825c389,,序一,
author:14bb9c21eb08,Author,陈独秀,Author,,,,
article:dd153b656811,Article,答适之,Article,陈独秀_001_d263aca8,,答适之,
article:ceac6c275e92,Article,答张君劢及梁任公,Article,陈独秀_002_69a217f6,,答张君劢及梁任公,
segment:0a4aebd39a76,Segment,陈独秀_002_69a217f6_s0006,Segment,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0006,,人类对于此九项之态度之变迁之动因”，我真不懂他所谓“动因”，在术语上到底是何意义？而且张先生所指九项，究竟是说社会现象还是说个人态度，其观念及论点实在太不明了。在他“乃问人类对于此九项之态度之变迁之动因，何自而来也，甲以为然，已以为否，甲曰以为是者，乙曰又以为非。”这几句话看起来明明是指个人态度即个人的主观，不是指社会现象，他对于我解释的社会现象之动因，似乎已经承认，他所以说：“此事之可能何待赘言”，又说：“社会学家关于九端之说明之文，连篇累牍，我虽浅学，岂并此而不知？”（张先生倘不抛弃玄学家以个人自由意志为社会变迁之根本动因的谬见，无论他如何博学，对于我关于九端之说明，其实未曾知，且恐终身亦未必知；然而他竟自欺的说：“岂并此而不知？”他若再将我说明九端之文细心看一下，他必然自悔发言轻率，他倘不自悔发言轻率，便真是知道我关于九端说明之可能，也便真是知道社会变动及人生观变动之唯物的说明之可能了）。然而同时又说：“独秀虽尽举社会家言以难吾九端之列举，然吾之根本主张，仍是一丝一毫不能动摇也！何也？小家族后之家庭制度如何，谁知之乎？公有财产后之制度如何，谁知之乎？”似此，他又是指社会现象而非指个人态度，其论点不明如此！
segment:9839dc26a3b7,Segment,陈独秀_001_d263aca8_s0006,Segment,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0006,,"论，张君劢必然大摇大摆的来向适之拱手道谢!!!

十二，十二，九。

# 人生观

诸君平日所学，皆科学也。科学之中，有一定之原理原则，而此原理原则，皆有证据。譬如二加二等于四，三角形中三角之度数之和等于两直角，此数学上之原理原则也。速度等于以时间除距离，故其公式为 S=\frac{d}{t},水之元素为 H_{2}O,此物理化学上之原则也。诸君久读教科书，必以为天下事皆有公例，皆为因果律所支配。实则使诸君闭目一思，则知大多数之问题，必不若是之明确。而此类问题，并非哲学上高尚之学理，而即在于人生日用之中。甲一说，乙一说，漫无是非真伪之标准。此何物欤？曰，是为人生。同为人生，因彼此观察点不同，而意见各异，故天下古今之最不统一者，莫若人生观。

人生观之中心点，是曰我。与我对待者，则非我也。而此非我之中，有种种区别。就其生育我者言之，则为父母；就其与我为配偶者言之，则为夫妇；就我所属之团体言之，则为社会为国家；就财产支配之方法言之，则有私有财产制公有财产制；就重物质或轻物质言之，则有精神文明与物质文明。凡此问题，东西古今，意见极不一致，决不如数学或物理化学问题之有一定公式。使表而列之如下:

(一）就我与我之亲族之关系……

大家族主义。

(二）就我与我之异性之关系


(四）就我对于社会制度之激渐态度…… { 守旧主义。 维新主义。"
segment:4a4591305ed0,Segment,陈独秀_002_69a217f6_s0002,Segment,陈独秀_002_69a217f6,陈独秀_002_69a217f6_s0002,,劢说：“且即以俄论，私有财产之废不及二年，而已许私人买卖私人土地所有权，且大招致外国银行与外国资本家，不知此等翻云覆雨之局，又遵科学的社会主义全书中何种公例乎？”有这种疑问的人，世界上也不只张君劢先生一人，这是因为不明白俄国新经济政策之实质与意义的缘故。非到共产社会实现，私有财产是不能完全废绝的，此事谈何容易，俄国劳农革命家是马克思派，不是玄学家，自始便未尝妄想一革命便能够将私有财产完全废绝，不过照马克思共产党宜言所指示将大企业及土地收归国有罢了，在现在的新经济政策之下仍是这样，并未翻云覆雨。小企业初因资产阶级的怠工自己放弃，不得不由国家经管，今因他们愿意继续营业而租给他们；也无所谓翻云覆雨。战争时军需万急，不得不禁止买卖强制征发，战后停止征发，生产力又未到能实行社会主义的分配时期，自然没有禁止私人买卖的必要，这也无所谓翻云覆雨。俄国劳农革命家果曾妄想一革命便马上能够实现共产主义的社会，便马上能够完全废绝私有财产，果如张君劢所言现在允许私人买卖是翻云覆雨，因为前此已废止私有财产已不许私人买卖，如此，试问苏俄宪法第六十五条第二三项，剥夺坐食以资本生息者及私人商贩之选举权被选举权，岂不是赘文？在新经济政策之下，这两种人仍然没有选举权被选举权，实无所谓翻云覆雨。说他翻云覆雨的都是不明白俄国新经济政策之实质的缘故。
segment:b95d5a36f32b,Segment,陈独秀_000_4825c389_s0004,Segment,陈独秀_000_4825c389,陈独秀_000_4825c389_s0004,,"于农业宗法社会亲与夫都把子女及妻当作生产工具，当作一种财产，到了工业社会，家庭手工已不适用，有了雇工制度，也用不着拿家族当生产工具，于是女权运动自然会兴旺起来。第三，财产公有私有制度，在原始共产社会，人弱于兽，势必结群合作，原无财产私有之必要与可能;(假定有人格之单一性的张先生，生在那个社会，他的主观，他的直觉，他的自由意志，忽然要把财产私有起来，怎奈他所得的果物兽肉无

地存储，并没有防腐的方法，又不能变卖金钱存在银行，结果恐怕只有放弃他私有财产的人生观。）到了农业社会，有了一定的住所，有了仓库，谷物又比较的易于保存，独立生产的小农，只有土地占有的必要，没有通力合作的必要，私有财产观念是如此发生的；到了工业社会，家庭的手工的独立生产制已不能存立，成千成万的人组织在一个通力合作的机关之内，大家无工做便无饭吃，无工具便不能做工，大家都没有生产工具，生产工具已为少数资本家私有了，非将生产工具收归公有，大家只好卖力给资本家，公有财产观念，是如此发生的。第四，守旧维新之争持，乃因为现社会有了经济的变化，而与此变化不适应的前社会之制度仍旧存在，束缚着这变化的发展，于是在经济上利害不同的阶级，自然会随着变化之激徐，或激或徐的冲突起来。"
segment:5e0642839be0,Segment,陈独秀_000_4825c389_s0008,Segment,陈独秀_000_4825c389,陈独秀_000_4825c389_s0008,,"无上荣誉；一个女子生在中国阉阔之家，自然以贞节为他的义务，他若生在意大利，会以多获面首夸示其群；西洋人见中国人赤膊对女子则骇然，中国人见西洋人用字纸揩粪则惊讶；匈奴可汗父死遂妻其母，满族初入中国不知汉人礼俗，皇太后再嫁其夫弟而不以为耻；中国人以厚葬其亲为孝，而蛮族有委亲尸于山野以被鸟兽所噬为荣幸者；欧美妇女每当稠人广众吻其所亲，而以为人妾为奇耻大辱；中国妇人每以得为贵人之妾为荣幸，而当众接吻虽娼妓亦羞为之。由此看来，世界上那里真有什么良心，什么直觉，什么自由意志!

丁在君不但未曾说明“科学何以能支配人生观”，并且他的思想之根底，仍和张君劢走的是一条道路。我现在举出两个证据:

第一，他自号存疑的唯心论，这是沿袭了赫胥黎、斯宾塞诸人的谬误。你既承认宇宙间有不可知的部分而存疑，科学家站开，且让玄学家来解疑。此所以张君劢说：“既已存疑，则研究形而上界之玄学，不应有丑诋之词。”其实我们对于未发见的物质固然可以存疑，而对于超物质而独立存在并且可以支配物质的什么心（心即是物之一种表现),什么神灵与上帝，我们已无疑可存了。说我们武断也好，说我们专制也好，若无证据给我

们看，我们断然不能抛弃我们的信仰。

第二，把欧洲文化破产的责任归到科学与物质文明，固然是十分糊涂，但丁在君把这个责任归到玄学家、教育家、政治家身上，却也离开事实太远了。"
segment:01d531690690,Segment,陈独秀_001_d263aca8_s0002,Segment,陈独秀_001_d263aca8,陈独秀_001_d263aca8_s0002,,"明明说只有客观的物质原因可以变动社会，可以解释历史，可以支配人生观，何尝专指历史?）而我们讨论的是人生观。”我依据唯物史观的理论来讨论人生观，适之便欲强为分别；倘适之依据实验主义的理论来讨论人生观，别人若说：“我们讨论的是人生观，适之说的是一种实验主义的哲学，”适之服是不服？或者适之还不承认唯物史观也是一种哲学，想适之不至如此。适之好像于唯物史观的理论还不大清楚，因此发生了许多误会，兹不得不略加说明。第一，唯物史观所谓客观的物质原因，在人类社会，自然以经济（即生产方法）为骨干。第二，唯物史观所谓客观的物质原因，是指物质的本因而言，由物而发生之心的现象，当然不包括在内。世界上无论如何彻底的唯物论者，断不能不承认有心的现象即精神现象这种事实:(我不知道之所想像之彻底的唯物论是怎样?）唯物史观的哲学者也并不是不重视思想文化宗教道德教育等心的现象之存在，惟只承认他们都是经济的基础上面之建筑物，而非基础之本身；这是因为唯物史观的哲学者，是主张如下表

经济

制度

宗教

思想

政治

道德

文化

教育

之一元论，而非如下表

经济

宗教

思想

政治

道德

文化

教育

之多元论。这本是适之和我们争论之焦点。我们何以不承认多元？别的且不说，单就适之先生所举的思想及教育来讨论。"
