node_id,labels,name,node_type,article_id,segment_id,title,text
article:4747e4851762,Article,人生观,Article,张君劢_000_e090c0d2,,人生观,
author:422c10e5f6ea,Author,张君劢,Author,,,,
article:5c69c7e34e3c,Article,人生观（中篇）,Article,张君劢_001_688ab8ae,,人生观（中篇）,
article:7d716e6825f8,Article,再论人生观与科学并答丁在君,Article,张君劢_002_c870d202,,再论人生观与科学并答丁在君,
article:e8cb82cf2f29,Article,科学之评价,Article,张君劢_003_cd868ad5,,科学之评价,
segment:02f05b7511f2,Segment,张君劢_002_c870d202_s0012,Segment,张君劢_002_c870d202,张君劢_002_c870d202_s0012,,"者，可推及于日月星辰，此尤为生理学心理学所不能适用之原则。

第四，物理上之概念，曰阿顿，曰原子，曰质量，曰能力：此数者得之抽象，而绝不为物体之具体的实在所扰。至于生物学，有所谓种别，有所谓个性；而心理学为尤甚。因而生物心理两界日为个性之差异所扰，而不易得其纯一现象。

当英天文学者爱丁敦氏赴南美测验日蚀之日，德物理学者鲍恩询爱因斯坦曰：苟测而不验奈何？爱氏答曰：诚如君言，吾惟有骇怪。此言也，所以表示其自信力之强，言其不能不验也。夫爱氏何以能自信如是？曰，以有吾所谓上述之四大原则故也。

物理现象惟有此四大原则，故日趋于正确；生物心理现象惟无此四原则，故不能日就于正确。即此不正确之故，而精神科学之价值乃可得而推求。

精神科学之种类，前表已详，不复再论。吾所欲问者，则精神科学中有何种公例牢固不拔如物理学之公例者乎？有何种公例可以推算未来之变化，如天文学之于天象，力学之于物体者乎？吾敢断言曰：必无而已。天文学，世界统一者也，未闻有所谓英国天文学法国天文学也。数学，世界统一者也，未闻有所谓美国数学德国数学也。一言及于精神科学如政治与生计之类，每曰甲国之政制，不必适于乙国；甲国之政策，不必适于乙国。乃至同在一国之内，忽而君主，忽而共和，果有一定之公例乎？忽而资本主义？忽而社会主义，果有一定之公例乎？无他，精神科学无牢固不拔之原则，且决不能以已成之例推算未来也。"
segment:94155e988a6e,Segment,张君劢_000_e090c0d2_s0005,Segment,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0005,,"身而已。大之如孔墨佛耶，小之如一人之身，皆若是而已。

第五，科学起于对象之相同现象，而人生观起于人格之单一性。科学中有一最大之原则，曰自然界变化现象之统一性。植物之中，有类可言也。动物之中，有类可言也。乃至死物界中，亦有类可言也。既有类，而其变化现象，前后一贯，故科学中乃有公例可求。若夫人类社会中，智愚之分有焉，贤不肖之分有焉，乃至身体健全不健全之分有焉。因此之故，近来心理学家，有所谓智慧测验；社会学家，有所谓犯罪统计。智慧测验者，就学童之智识，而测定其高下之标准也。高者则速其卒业之期，下者则设法以促进之，智愚之别，由此可见也。犯罪统计之中所发见之现象，曰冬季则盗贼多，以失业者众也；春夏秋则盗贼少，以农事忙而失业者少也。如是，则国民道德之高下，可窥见也。窃以为此类测验与统计，施之一般群众，固无不可。若夫特别之人物，亦谓由统计或测验而得，则断断不然。哥德之《佛乌斯脱》，但丁之《神曲》，沙士比尔之剧本，华格那之音乐，虽主张精神分析或智慧测验者，恐亦无法以解释其由来矣。盖人生观者，特殊的也，个性的也，有一而无二者也。见于甲者，不得而求之于乙；见于乙者，不得而求之于丙。故自然界现象之特征，则在其互同；而人类界之特征，则在其各异。惟其各异，吾国旧名词曰先觉，曰豪杰；西方之名曰创造，曰天才，无非表示此人格之特性而已。"
segment:9b338505de00,Segment,张君劢_002_c870d202_s0002,Segment,张君劢_002_c870d202,张君劢_002_c870d202_s0002,,"是否正确？

第五，科学家根据推论公例所得之“真”以外，是否尚有他项事物可认为真的？

第六，玄学在欧洲是否“没有地方混饭吃”（用丁语）。

（以上为中篇）

第七，我之对于科学与玄学之态度。

第八，我之对于物质文明之态度。

第九，我对于心性之学与考据之学之态度。

第十，私人批评之答复。

（以上为下篇）

### （上篇）

#### 第一 物质科学精神科学之分类

国人迷信科学，以科学为无所不能，无所不知，此数十年来耳目之习染使之然也。虽然，试询以何谓科学，则能为明确之答复者甚鲜。乃至同为科学，有为物质科学，有为精神科学，二者异同之故安在，则其能为明确之答复尤鲜矣。数学名Mathematics，物理学名Physics，生计学名Economics，统计学名Statistics，四者同以ics结尾，则以为四种科学所得之结论与其效力必相等也。生物学名Biology，心理学名Psychology，社会学名Sociology，三者同以logy结尾，则以为三种科学所得之结论与其效力必相等也。国人之思想混沌若此，乃欲语以科学原理，语以科学与人生观之异同，宜其扞格而不相入。即以在君言之，于我所举九者之外，为之增加两项如下：

（十）就我对于天象之观念——星占学，天文学

（十一）就我对于物种之由来——上帝造种，天演论

我所举之九项，其标准安在，在君全不知晓，妄为人点窜，以自鸣得意；"
segment:0ae10f323d42,Segment,张君劢_002_c870d202_s0024,Segment,张君劢_002_c870d202,张君劢_002_c870d202_s0024,,"氏至有“科学公式者，方便也，非真理”之语。夫诚为方便，则除我所谓向外，更又有何说？在君不认为向外，乃曰修养的最好工具，岂事物之观察实验，可作为向内之修养工具耶？岂在君之二大推论原则，可作为向内之修养工具耶？虽然，吾知之矣。在君理想中之科学家之模范，则为赫胥黎氏。赫氏于十九世纪之后半，以科学智识普及于劳动者，同时则反抗宗教家而赞成达尔文之进化论。惟其恶陈言而好实证，故尝以理智的诚实，为人类最高之道德。又曰，即令妻子死亡，名誉扫地，然以谎语之人期我，我不为焉。赫氏之事事必征验，吾岂不佩！然吾以为此一人之人格为之，何与于科学？苏格腊底氏之生，距近世科学文明之发端千八百余年矣，坚持所信，传授教义，卒以遇毒而死，视赫氏又何多让？此一人之内生活使然，与科学教育无涉焉。夫智识欲者，人类之天性也，因文字意见之不同，触犯时忌，竟以身殉者，古今无代无之，安得以此独归功于科学耶？

以上所云，但就求真与爱真两点言之，尚未及于科学与教育之关系。夫科学之有益于实用，孰得而否认之？然其流弊所届，亦不可不研究。试略举之，则有五端：

（一）自十九世纪后，英德各国列自然科学于学校科目之中，然物理也，生理也，博物也，同属自然现象，故同以官觉为基础。官觉发达之过度，其非耳之所能闻，目之所能见，则以为不足凭信。

（二）科学以对待以因果为本义。有力而后生动，物理上之因果也；思想与脑神经相表里，生理上心理上之因果也；"
segment:c9156049e453,Segment,张君劢_003_cd868ad5_s0003,Segment,张君劢_003_cd868ad5,张君劢_003_cd868ad5_s0003,,"其意志力强弱之由来，与其因意志力之强弱而定其成功与失败。此外如文学之创作，思想之途径，乃至个人之意志与社会进化之关系，谓其可以一一测定，这是科学家的梦语了。

第二，科学家但说因果，但论官觉之所及，至于官觉之所不及则科学家所不管。物理学者以物性及物性之变化为出发点，植物学者以草木为出发点，生物学者以有生之物为出发点，此皆有形的，而为人耳目所及。然各种科学最高原则，如论理上之公例，如因果律，已不是耳目之力所能及。伦理学上善恶是非之标准，以及人类之美德如忠信笃敬之类，那一事是有形的？进化论之学者欲以内界之精神化为有形的，乃采所谓沿革的方法，谓人类之道德可见之于社会制度，亦是进化而来的。如此做法，无非要使一切无形者悉求之于有形之中。吾以为沿革的方法之是非，系另为一事。若谓论理的推理由于习惯而来，道德为环境所支配，这是科学欲以有形解释无形之故，乃将人类精神之独立一笔抹杀了。

第三，科学家对于各问题，不能为彻底的问答。譬如物理学家以物质为出发点，物质何自来，则为科学家所不问，此就自然科学方面言之也。政治学家以国家为出发点，至国家主义与国际主义之利害比较，则非科学家所问。生计学以财物之产生为出发点，至物质文明之利害问题，则非科学家所问。此就社会生活之变迁言之也。夫物质之本性为何，生命何自来，此等问题，诚哉其为纷争不决。然既为人类，即对此诸事不能不生疑问；解决不解决，另为一事；"
