node_id,labels,name,node_type,article_id,segment_id,title,text
article_35e1b6ff50a47671,Article,人生观,Article,张君劢_000_e090c0d2,,人生观,
author_ad7173f528b7cae6,Author,张君劢,Author,,,,
article_79f35068598edf58,Article,人生观（中篇）,Article,张君劢_001_688ab8ae,,人生观（中篇）,
article_427f18118f9527b0,Article,再论人生观与科学并答丁在君,Article,张君劢_002_c870d202,,再论人生观与科学并答丁在君,
article_b9a24308cbd846cc,Article,科学之评价,Article,张君劢_003_cd868ad5,,科学之评价,
segment_303d74591994102f,Segment,张君劢_000_e090c0d2_s0000,Segment,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0000,,"诸君平日所学，皆科学也。科学之中，有一定之原理原则，而此原理原则，皆有证据。譬如二加二等于四，三角形中三角之度数之和等于两直角，此数学上之原理原则也。速度等于以时间除距离，故其公式为 S = d/t，水之元素为 H₂O，此物理化学上之原则也。诸君久读教科书，必以为天下事皆有公例，皆为因果律所支配。实则使诸君闭目一思，则知大多数之问题，必不若是之明确。而此类问题，并非哲学上高尚之学理，而即在于人生日用之中。甲一说，乙一说，漫无是非真伪之标准。此何物欤？曰，是为人生。同为人生，因彼此观察点不同，而意见各异，故天下古今之最不统一者，莫若人生观。

人生观之中心点，是曰我。与我对待者，则非我也。而此非我之中，有种种区别。就其生育我者言之，则为父母；就其与我为配偶者言之，则为夫妇；就我所属之团体言之，则为社会为国家；就财产支配之方法言之，则有私有财产制公有财产制；就重物质或轻物质言之，则有精神文明与物质文明。凡此问题，东西古今，意见极不一致，决不如数学或物理化学问题之有一定公式。使表而列之如下：

（一）就我与我之亲族之关系……大家族主义。小家族主义。  
（二）就我与我之异性之关系……男尊女卑主义。男女平等主义。  
（三）就我与我之财产之关系……私有财产制。公有财产制。  
（四）就我对于社会制度之激渐态度……守旧主义。维新主义。  
（五）就我对于物质精神之异见……物质文明。精神文明。"
segment_b231f17306f2d36a,Segment,张君劢_000_e090c0d2_s0001,Segment,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0001,,"之财产之关系……私有财产制。公有财产制。  
（四）就我对于社会制度之激渐态度……守旧主义。维新主义。  
（五）就我对于物质精神之异见……物质文明。精神文明。  
（六）就我对于我所属团体之意见……个人主义。社会主义。  
（七）就我对于我所属类别之意见……为我主义。利他主义。  
（八）就我对于世界之希望……悲观主义。乐观主义。  
（九）就我对于世界背后有无造物主之信仰……有神论。无神论。一神论。多神论。个神论。泛神论。

凡此九项皆以我为中心，或关于我以外之物，或关于我以外之人，东西万国，上下古今，无一定之解决者。则以此类问题，皆关于人生，而人生为活的，故不如死物质之易以一例相绳也。试以人生观与科学作一比较，则人生观之特点，更易见矣。

第一，科学为客观的，人生观为主观的。科学之最大标准，即在其客观的效力。甲如此说，乙如此说，推之丙丁戊己无不如此说。换言之，一种公例，推诸四海而准焉。譬诸英国发明之物理学，同时适用于全世界。德国发明之相对论，同时适用于全世界。故世界只有一种数学，而无所谓中国之数学，英国之数学也；世界只有一种物理学化学，而无所谓英法美中国日本之物理化学也。然科学之中，亦分二项：曰精神科学，曰物质科学。物质科学，如物理化学等；精神科学，如政治学生计学心理学哲学之类。物质科学之客观效力，最为圆满；至于精神科学次之。"
segment_78e6e0ed3f4adc96,Segment,张君劢_000_e090c0d2_s0002,Segment,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0002,,"。然科学之中，亦分二项：曰精神科学，曰物质科学。物质科学，如物理化学等；精神科学，如政治学生计学心理学哲学之类。物质科学之客观效力，最为圆满；至于精神科学次之。譬如生计学中之大问题，英国派以自由贸易为利，德国派以保护贸易为利，则双方之是非不易解决矣；心理学上之大问题，甲曰智识起于感觉，乙曰智识以范畴为基础，则双方之是非不易解决矣。然即以精神科学论，就一般现象而求其平均数，则亦未尝无公例可求，故不失为客观的也。若夫人生观则反是：孔子之行健与老子之无为，其所见异焉；孟子之性善与荀子之性恶，其所见异焉；杨朱之为我与墨子之兼爱，其所见异焉；康德之义务观念与边沁之功利主义，其所见异焉；达尔文之生存竞争论与哥罗巴金之互助主义，其所见异焉。凡此诸家之言，是非各执，绝不能施以一种试验，以证甲之是与乙之非。何也？以其为人生观故也，以其为主观的故也。

第二，科学为论理的方法所支配，而人生观则起于直觉。科学之方法有二：一曰演绎的，一曰归纳的。归纳的者，先聚若干种事例而求其公例也。如物理化学生物学所采者，皆此方法也。至于几何学，则以自明之公理为基础，而后一切原则推演而出，所谓演绎的也。科学家之著书，先持一定义，继之以若干基本概念，而后其书乃成为有系统之著作。譬诸以政治学言之，先立国家之定义，继之以主权、权利、义务之基本概念，又继之以政府内阁之执掌。若夫既采君主大权说于先，则不能再采国民主权说于后；"
segment_866ffe0e3fadeaab,Segment,张君劢_000_e090c0d2_s0003,Segment,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0003,,"成为有系统之著作。譬诸以政治学言之，先立国家之定义，继之以主权、权利、义务之基本概念，又继之以政府内阁之执掌。若夫既采君主大权说于先，则不能再采国民主权说于后；既主张社会主义于先，不能主张个人主义于后。何也？为方法所限也，为系统所限也。若夫人生观，或为叔本华、哈德门的悲观主义，或为兰勃尼擎、黑格尔之乐观主义，或为孔子之修身齐家主义，或为释迦之出世主义，或为孔孟之亲疏远近等级分明，或为墨子耶稣之泛爱。若此者，初无论理学之公例以限制之，无所谓定义，无所谓方法，皆其自身良心之所命起而主张之，以为天下后世表率，故曰直觉的也。

第三，科学可以以分析方法下手，而人生观则为综合的。科学关键，厥在分析。以物质言之，昔有七十余种元素之说，今则分析尤为精微，乃知此物质世界不出乎三种元素：曰阴电，曰阳电，曰以太。以心理言之，视神经如何，听神经如何，乃至记忆如何，思想如何，虽各家学说不一，然于此复杂现象中以求其最简单之元素，其方法则一。譬如罗素氏以为心理元素有二：曰感觉，曰意象。至于杜里舒氏，则以为有六类，其说甚长，兹不赘述。要之皆分析精神之表现也。至于人生观，则为综合的，包括一切的，若强为分析，则必失其真义。譬诸释迦之人生观，曰普渡众生。苟求其动机所在，曰，此印度人好冥想之性质为之也；曰，此印度之气候为之也。如此分析，未尝无一种理由，然即此所分析之动机，而断定佛教之内容不过尔尔，则误矣。何也？"
segment_d60e6ef35bee14c5,Segment,张君劢_000_e090c0d2_s0004,Segment,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0004,,"。苟求其动机所在，曰，此印度人好冥想之性质为之也；曰，此印度之气候为之也。如此分析，未尝无一种理由，然即此所分析之动机，而断定佛教之内容不过尔尔，则误矣。何也？动机为一事，人生观又为一事。人生观者，全体也，不容于分割中求之也。又如叔本华之人生观，尊男而贱女，并主张一夫多妻之制。有求其动机者，曰，叔本华失恋之结果，乃为此激论也。如此分析，亦未尝无一种理由。然理由为一事，人生观又为一事。人生观之是非，不因其所包含之动机而定。何也？人生观者，全体也，不容于分割中求之也。

第四，科学为因果律所支配，而人生观则为自由意志的。物质现象之第一公例，曰有因必有果。譬诸潮汐与月之关系，则因果为之也。丰歉与水旱之关系，则因果为之也。乃至衣食足则盗贼少，亦因果为之也。关于物质全部，无往而非因果之支配。即就身心关系，学者所称为心理的生理学者，如见光而目闭，将坠而身能自保其平衡，亦因果为之也。若夫纯粹之心理现象则反是，而尤以人生观为甚。孔席何以不暇暖，墨突何以不得黔，耶稣何以死于十字架，释迦何以苦身修行：凡此者，皆出于良心之自动，而决非有使之然者也。乃至就一人言之，所谓悔也，改过自新也，责任心也，亦非因果律所能解释，而为之主体者，则在其自身而已。大之如孔墨佛耶，小之如一人之身，皆若是而已。

第五，科学起于对象之相同现象，而人生观起于人格之单一性。科学中有一最大之原则，曰自然界变化现象之统一性。"
