node_id,labels,name,node_type,article_id,segment_id,title,text
article:aa08800b1bb6,Article,旁观者言,Article,穆_000_d6755881,,旁观者言,
author:baeb614006ba,Author,穆,Author,,,,
entity:fe901cfcc616,人物,张君劢,人物,穆_000_d6755881,s0000,,
entity:f0e3a9838a47,阵营/群体,科学家,阵营/群体,穆_000_d6755881,s0000,,
entity:0a5d9170d332,概念,科学,概念,穆_000_d6755881,s0000,,
entity:efda6440fa9f,概念,科学家的人生观,概念,穆_000_d6755881,s0000,,
entity:05bd094e4d0b,方法论原则,尊重事实,方法论原则,穆_000_d6755881,s0000,,
entity:fb54230f4e4c,概念,平等观,概念,穆_000_d6755881,s0001,,
entity:28a0dda43fd5,概念,条理密察,概念,穆_000_d6755881,s0001,,
entity:207dbeb464c4,阵营/群体,神秘派、感情派、伦理派,阵营/群体,穆_000_d6755881,s0002,,
entity:6177495d598e,概念,科学家人生观,概念,穆_000_d6755881,s0002,,
entity:0bacf98593d1,人物,丁文江,人物,穆_000_d6755881,s0003,,
entity:f6148da8773f,主义/学说/理论,宋明理学,主义/学说/理论,穆_000_d6755881,s0003,,
entity:cff568fa034a,人物,丁张,人物,穆_000_d6755881,s0000,,
entity:6d321e499b50,人物,穆,人物,穆_000_d6755881,,,
claim:9909f4421db9,Claim,科学是给人类利用的，不是用人类的东西,Claim,穆_000_d6755881,,,科学是给人类利用的，不是用人类的东西
claim:1011844e9f9c,Claim,人类既然要用到科学，当然不得不俯就科学的尺度,Claim,穆_000_d6755881,,,人类既然要用到科学，当然不得不俯就科学的尺度
claim:61b4cd237ec5,Claim,各人有各人的人生观，彼此无从统一,Claim,穆_000_d6755881,,,各人有各人的人生观，彼此无从统一
claim:9aff12ba3fe0,Claim,科学家最重要的精神，是承认事实而尊重事实,Claim,穆_000_d6755881,,,科学家最重要的精神，是承认事实而尊重事实
claim:a92d92bd9520,Claim,科学家应用到他们的人生观上，自然应该是一种尊重事实的人生观,Claim,穆_000_d6755881,,,科学家应用到他们的人生观上，自然应该是一种尊重事实的人生观
claim:8efea4be58b3,Claim,大凡神秘的感情的伦理的各派人的人生观都带有几分轻视事实和超脱事实的倾向,Claim,穆_000_d6755881,,,大凡神秘的感情的伦理的各派人的人生观都带有几分轻视事实和超脱事实的倾向
claim:687134abfd72,Claim,科学家把许多事实列举出来，告诉我们说，人类和下等生物本来是同祖的一原的,Claim,穆_000_d6755881,,,科学家把许多事实列举出来，告诉我们说，人类和下等生物本来是同祖的一原的
claim:00af5726187c,Claim,正当的科学家的人生观，第一条件便应该是尊重事实,Claim,穆_000_d6755881,,,正当的科学家的人生观，第一条件便应该是尊重事实
claim:57d1d875753b,Claim,科学家的人生观，确有与众不同的第二条件，便是对于事实之平等观,Claim,穆_000_d6755881,,,科学家的人生观，确有与众不同的第二条件，便是对于事实之平等观
claim:835f3152bd7a,Claim,科学家对于事实的平等观，并不是漫无分别，他的能事，是在把各种事实详细探求出他的前因后果相互的关系来。,Claim,穆_000_d6755881,,,科学家对于事实的平等观，并不是漫无分别，他的能事，是在把各种事实详细探求出他的前因后果相互的关系来。
claim:d7eb8841af08,Claim,人类和下等生物本来是同祖的一原的,Claim,穆_000_d6755881,,,人类和下等生物本来是同祖的一原的
claim:697841cf622c,Claim,人类在宇宙中的渺小,Claim,穆_000_d6755881,,,人类在宇宙中的渺小
claim:2e2a536ecda5,Claim,科学家把尊重事实的精神来观察外物，故觉得外物毕竟平等,Claim,穆_000_d6755881,,,科学家把尊重事实的精神来观察外物，故觉得外物毕竟平等
claim:12d066023f26,Claim,在科学家的眼光里，两种心理，同为现世人类的事实，同有重大的关系值得研究和探讨，并没有善恶是非高低的区分,Claim,穆_000_d6755881,,,在科学家的眼光里，两种心理，同为现世人类的事实，同有重大的关系值得研究和探讨，并没有善恶是非高低的区分
claim:9c15364077e2,Claim,事实是自然有的，或是不应该有的。,Claim,穆_000_d6755881,,,事实是自然有的，或是不应该有的。
claim:635c2a552bc0,Claim,事实的出现，定有他出现的原因，不能说他自然有；既有他出现的原因，便也不应说他不应该有。,Claim,穆_000_d6755881,,,事实的出现，定有他出现的原因，不能说他自然有；既有他出现的原因，便也不应说他不应该有。
claim:dda1217bc1d4,Claim,科学家只叫人知道，在如何条件之下，某事实便会有，在如何条件之下，某事实便会无。,Claim,穆_000_d6755881,,,科学家只叫人知道，在如何条件之下，某事实便会有，在如何条件之下，某事实便会无。
claim:7d9b9b8f8adb,Claim,科学家的态度应用人生观上，当正可有绝大之影响。,Claim,穆_000_d6755881,,,科学家的态度应用人生观上，当正可有绝大之影响。
claim:08843ee7addd,Claim,说家庭是天然的，便懒了人们改革的心愿。,Claim,穆_000_d6755881,,,说家庭是天然的，便懒了人们改革的心愿。
claim:7d7667c1c4f5,Claim,家庭的组织并不是天生便如此了，并不是理所当然了，鼓动起人们改革的希望和勇气。,Claim,穆_000_d6755881,,,家庭的组织并不是天生便如此了，并不是理所当然了，鼓动起人们改革的希望和勇气。
claim:153f8d986ddd,Claim,家庭之间的厌恶咒咀和冲突是物质生活之流弊，是科学教育之传主母。,Claim,穆_000_d6755881,,,家庭之间的厌恶咒咀和冲突是物质生活之流弊，是科学教育之传主母。
claim:e6639be7e6b5,Claim,科学不肯承受家庭问题是物质生活之流弊、科学教育之传主母的指责。,Claim,穆_000_d6755881,,,科学不肯承受家庭问题是物质生活之流弊、科学教育之传主母的指责。
claim:07357fed4fe0,Claim,科学家对于家庭问题，一定能根据事实，描出他的来因去果，求一个圆满解决的方法。,Claim,穆_000_d6755881,,,科学家对于家庭问题，一定能根据事实，描出他的来因去果，求一个圆满解决的方法。
claim:2315146501b1,Claim,科学家人生观的第三条件，应该是条理密察。,Claim,穆_000_d6755881,,,科学家人生观的第三条件，应该是条理密察。
claim:8480b0a34b8d,Claim,只有在研究科学之状态底下有精神的生活,Claim,穆_000_d6755881,,,只有在研究科学之状态底下有精神的生活
claim:634479b43a8b,Claim,离了显微镜又如何呢？,Claim,穆_000_d6755881,,,离了显微镜又如何呢？
claim:976604247ff6,Claim,只有在研究科学时见精神，显见是太狭隘了,Claim,穆_000_d6755881,,,只有在研究科学时见精神，显见是太狭隘了
claim:587167edb484,Claim,科学家断不要害怕自己给人家逐出精神生活的圈外去,Claim,穆_000_d6755881,,,科学家断不要害怕自己给人家逐出精神生活的圈外去
claim:aa984d75621f,Claim,谁也不肯信科学家的生活是没有内心精神之生活,Claim,穆_000_d6755881,,,谁也不肯信科学家的生活是没有内心精神之生活
claim:c9efd8f210de,Claim,张先生是要提倡宋明理学来力挽颓风的,Claim,穆_000_d6755881,,,张先生是要提倡宋明理学来力挽颓风的
claim:9773b92277f8,Claim,玄学鬼在西洋混了好几百年，现在没饭吃了，混到中国来，张君劢给玄学鬼怪上了，我们应该打破他，不然，科学前途就受障碍了,Claim,穆_000_d6755881,,,玄学鬼在西洋混了好几百年，现在没饭吃了，混到中国来，张君劢给玄学鬼怪上了，我们应该打破他，不然，科学前途就受障碍了
claim:10e363cf6dec,Claim,他说玄学是鬼怪，科学俨然是神仙，很可惜这是价值之评判而不是事实之叙说,Claim,穆_000_d6755881,,,他说玄学是鬼怪，科学俨然是神仙，很可惜这是价值之评判而不是事实之叙说
claim:a28c6cdfd2bc,Claim,玄学鬼在西洋到底有没有一碗饭吃啊,Claim,穆_000_d6755881,,,玄学鬼在西洋到底有没有一碗饭吃啊
claim:2f3ff59318df,Claim,西洋的科学家用什么方法打逃这个玄学鬼的,Claim,穆_000_d6755881,,,西洋的科学家用什么方法打逃这个玄学鬼的
claim:841a71ccfd7e,Claim,我们只要把西洋人的老法术来参考应用，不愁中国的玄学鬼打不逃,Claim,穆_000_d6755881,,,我们只要把西洋人的老法术来参考应用，不愁中国的玄学鬼打不逃
claim:8dee4327f39c,Claim,西洋的玄学鬼，是不是给科学家骂他们是鬼怪，所以没有饭吃选择的呢,Claim,穆_000_d6755881,,,西洋的玄学鬼，是不是给科学家骂他们是鬼怪，所以没有饭吃选择的呢
claim:86c8045a3410,Claim,丁先生站在科学的地位，而用神秘派感情派的口吻,Claim,穆_000_d6755881,,,丁先生站在科学的地位，而用神秘派感情派的口吻
claim:831fbe5e4b68,Claim,拿证据来，丁先生说是科学家的法宝，可是法宝虽灵，依我看来，至多把来做一个护身符，不给玄学鬼迷上，若要收服玄学鬼，恐怕还非这件法宝的能事,Claim,穆_000_d6755881,,,拿证据来，丁先生说是科学家的法宝，可是法宝虽灵，依我看来，至多把来做一个护身符，不给玄学鬼迷上，若要收服玄学鬼，恐怕还非这件法宝的能事
claim:a5b5018d2de3,Claim,丁先生有意要替科学前途打倒玄学鬼，最妙的方法不在乎说玄学鬼不应该存在，而在乎细细研究出玄学鬼怎样出现的道理来,Claim,穆_000_d6755881,,,丁先生有意要替科学前途打倒玄学鬼，最妙的方法不在乎说玄学鬼不应该存在，而在乎细细研究出玄学鬼怎样出现的道理来
claim:8d9089bf3d32,Claim,丁先生说科学可以把人生观统一,Claim,穆_000_d6755881,,,丁先生说科学可以把人生观统一
claim:cdbc73a35aab,Claim,丁先生自己先不肯低首下心的承认事实，平心静气的把事实研究，而想一个合理的解决方法来,Claim,穆_000_d6755881,,,丁先生自己先不肯低首下心的承认事实，平心静气的把事实研究，而想一个合理的解决方法来
claim:a635e7f4668f,Claim,我认为对于科学家应有之态度已经缺憾了,Claim,穆_000_d6755881,,,我认为对于科学家应有之态度已经缺憾了
claim:18e578ecf8a6,Claim,张先生反对科学，说近世国家主义也是科学之流弊所致，所以要提出形上的内心生活来补偏救弊,Claim,穆_000_d6755881,,,张先生反对科学，说近世国家主义也是科学之流弊所致，所以要提出形上的内心生活来补偏救弊
claim:6bf6d0a0724a,Claim,近世国家主义是科学之流弊所致,Claim,穆_000_d6755881,,,近世国家主义是科学之流弊所致
claim:67650f24aa58,Claim,要提出形上的内心生活来补偏救弊,Claim,穆_000_d6755881,,,要提出形上的内心生活来补偏救弊
claim:8b53eb1d58b3,Claim,科学并非与世界主义立于恰相反对的地位,Claim,穆_000_d6755881,,,科学并非与世界主义立于恰相反对的地位
claim:7ef910f83c91,Claim,人类真心要走向世界主义上去，科学到底也可以效万一之微劳,Claim,穆_000_d6755881,,,人类真心要走向世界主义上去，科学到底也可以效万一之微劳
claim:e1f60b13727b,Claim,罗素可以说是受过科学薰染的一个人,Claim,穆_000_d6755881,,,罗素可以说是受过科学薰染的一个人
claim:277e58469d14,Claim,罗素对于这次欧洲大战争所下的观察批评和以后人类应该走的路的提供，也不好说他一些没有科学的头脑，即使说他充满着科学的精神，也不十分过分,Claim,穆_000_d6755881,,,罗素对于这次欧洲大战争所下的观察批评和以后人类应该走的路的提供，也不好说他一些没有科学的头脑，即使说他充满着科学的精神，也不十分过分
claim:0ef5ea7f0ea9,Claim,罗素的书中尽力提倡解放人类各种的正当冲动而使之自由，对于宗教文学美术等等均有相当之意见，却不似丁先生似的把科学两字抹杀其他一切,Claim,穆_000_d6755881,,,罗素的书中尽力提倡解放人类各种的正当冲动而使之自由，对于宗教文学美术等等均有相当之意见，却不似丁先生似的把科学两字抹杀其他一切
term:e00b5875accd,历史事件,辩论,历史事件,,,,
term:2b787a0b3eab,观点,科学是给人类利用的，不是用人类的东西,观点,,,,
term:bd950dc2ee3d,观点,各人有各人的人生观，彼此无从统一,观点,,,,
term:fb85c3c80ebf,观点,人类和下等生物本来是同祖的一原的,观点,,,,
term:b57a74edbaf1,观点,人类在宇宙中的渺小,观点,,,,
