node_id,labels,name,node_type,article_id,segment_id,title,text
article_59ae54d9d77db7ba,Article,玄学科学论战杂话,Article,孙伏园_000_50fcd0d8,,玄学科学论战杂话,
author_2d81da7a6e1c1e4a,Author,孙伏园,Author,,,,
article_8e18d3550cfc6c54,Article,东荪按,Article,孙伏园_001_119b038d,,东荪按,
author_61fbbbacbb4cfd55,Author,张东荪,Author,,,,
segment_3da855e00ca5ff1e,Segment,孙伏园_000_50fcd0d8_s0000,Segment,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0000,,"我对于玄学科学都是外行，对于丁张两君的论点也还没有完全捉到，本不应该轻妄说话。不过因为两方似乎并不攻守一个要塞，未免令观战人不十分痛快，参战人也不十分踊跃，所以我先大胆把这几句外行话说了。

我以为现在两方都还没有注意到首先应该注意的三个问题，就是:

玄学是什么?

科学是什么?

人生观是什么?

不消说，只是这三个定义就可以讨论几百万言而没有解决。不过至少，我以为双方都应该宣布自己对于这三个名词的定义。这样才能使观战人明白，此方之所谓玄学，科学，人生观，是不是彼方之所谓玄学，科学，人生观。

不过要讨论这个问题，只是下了那三个定义还不够，我以为还有一个更重要的定义应该明白的，就是:

哲学是什么?

如果玄学与科学与人生观的定义是照我这样极粗蛮的见解下的:

玄学是整个地研究宇宙,

科学是分别地研究宇宙,

人生观是某一个人（或某一派人）对于人生的见解与态度;

那么我可以说，人生观对于玄学或科学的关系，远不如对于哲

学的那样重要，因为我以为:

哲学是整个地和分别地研究人生。

有许多人把哲学与玄学看作几乎是一个东西，哲学的对象只是研究宇宙构成的根本材料。但我以为这未免太狭了。照我的哲学定义，哲学的内容应该是:

(一) 整个地研究人生 —— 人生哲学;

(二) 分别地研究人生——社会学，心理学，教育学，等等。

其中第二部分，就是现在所谓晚出的科学。"
segment_31c0f303326e69db,Segment,孙伏园_000_50fcd0d8_s0001,Segment,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0001,,"的内容应该是:

(一) 整个地研究人生 —— 人生哲学;

(二) 分别地研究人生——社会学，心理学，教育学，等等。

其中第二部分，就是现在所谓晚出的科学。晚近许多学者用了自然科学的方法研究人类社会，结果虽没有如自然科学那样精细，但把这几种学问都已计算在科学以内。不过我以为我们不妨把哲学的范围定宽一点，将这一类所谓晚出的科学（用自然科学的方法，来分别地研究人生底科学）都收容了。

这样说来，哲学介乎科学与玄学之间，而人生观则包在哲学范围以内。我虽不敢说人生观的问题与玄学、科学完全无关，但人生观问题的讨论，必须注重哲学一方面，而不应该斤斤于关系较轻的玄学与科学，是彰彰明甚的了。

人生观的定义自然更难下，但若照我上面所下的粗蛮的定义，人生观是某一个人（或某一派）对于人生的见解与态度，那么我也可以将人生观的内容大略说一说。人生观就是某一个人（或某一派人）眼光中的：人生有没有目的？人生如有目的的，人生的目的是什么？有目的便该悲观？便该乐观？没有目的便该悲观？便该乐观?

人生观的内容只是如此。张君第一篇文中所举的九条，我以为只有第八条是人生观，其余八条或属宗教，或属玄学，或属科学，或与人生观同属哲学，但都不是人生观。

人生观可以受科学的影响，也可以不受科学的影响。人生观受不受科学的影响是一问题，人生观统一不统一又是一问题。如任君所论，人生观受科学方法的影响，我是极以为然的。"
segment_bd4a846e8918bf25,Segment,孙伏园_000_50fcd0d8_s0002,Segment,孙伏园_000_50fcd0d8,孙伏园_000_50fcd0d8_s0002,,"生观可以受科学的影响，也可以不受科学的影响。人生观受不受科学的影响是一问题，人生观统一不统一又是一问题。如任君所论，人生观受科学方法的影响，我是极以为然的。

如丁君所论，人生观将来能不能统一是一事，言外是说人生观将来能统一的，我是不很希望的。

再说，人生观受科学影响与受科学支配并不是一件事。如果人生观是思想方面的东西，那末我替他要求绝对的自由。如果凡属思想都要受科学的支配，那么许多文学美术上极有价值的空想，都要宣告死刑了。如果各个人的人生观都要统一起来，那么思想没有自由发展的余地，人生只是呆板的干燥的单调的动物生活罢了。

最后还有一句话：玄学，哲学，科学，人生观，都是活着的名词，他们的对象都有许多人研究，他们的关系都是今日切要的问题；汉学，宋学，程、朱、陆、王，都是死了的名词，他们的对象都是中国学术史上的材料，现在中国社会上几乎一点留传的分子也没有，与现代学术上的名词如玄学、科学、哲学、人生观等等更是风马牛不相及。丁君于讨论玄学与科学时大骂陆王固可不必，张君答辩时竟主张排斥汉学提倡宋学似乎更可不必。我们回头看看历史上这种争论，已觉得多属无谓，难道还要自告奋勇跳入死尸队中去参战吗?

我诚恳地希望两军主帅及学术界诸君子的原谅与指正。"
segment_73af5658872520be,Segment,孙伏园_001_119b038d_s0000,Segment,孙伏园_001_119b038d,孙伏园_001_119b038d_s0000,,"伏园先生于玄科之战的混乱声中独先提出玄学与科学定义的问题，以为双方宜先自下定义然后再辩驳，这真可谓独具只眼。我本来久想对于双方提出这个忠告，只因懒于动笔，以致未果。现在只好附伏园先生的骥尾，来说几句。

“玄学”本来是 Metaphysics 的译语，科学当然是 Science 的译语，这是人人知道的。不过玄学与科学以外又有一个名词即是“哲学”（Philosophy 的译语）。

科学当然在哲学以外，而玄学在通常讲来，即是狭义的哲学。因为哲学包括三部分：一为认识论（Epistemology 的译语),二为本体论（Ontology 的译语),三为宇宙论（Cosmology 的译语）。通常名本体论与宇宙论为玄学。所以玄学是狭义的哲学，而以本体论为中心。但亦有把认识论包括在玄学中者。本来哲学上有两派：一派是始终自限于认识论而不入本体论；一派是由认识论而直入本体论。前者以美英的经验派中为多；后者以大陆的理性派为多。这两派的打架本不自今日始。不过我们用超然的眼光来看，应得知道这乃是哲学中的论争，而不是科学对于哲学的抗争。我总觉得丁在君先生、张君劢先生各有先入之见，所以来不及把界说弄清楚，而先就扭做一团了，诚不免有些遗憾。其实这样辩论很少有结果。至于胡适之先生挑剔矛盾律，也是枝叶。"
segment_e2cae6da64ccbd45,Segment,孙伏园_001_119b038d_s0001,Segment,孙伏园_001_119b038d,孙伏园_001_119b038d_s0001,,"总觉得丁在君先生、张君劢先生各有先入之见，所以来不及把界说弄清楚，而先就扭做一团了，诚不免有些遗憾。其实这样辩论很少有结果。至于胡适之先生挑剔矛盾律，也是枝叶。本来张君劢先生的《人生观》原文所列几条诚不免于太随便，而丁在君的驳文牵涉也是太广，不免于支离，以致张君劢先生的答文不曾有所集中。因为双方都是我的敬爱的朋友，我不妨因伏园先生的唆示，而对于两位提出一个劝告：就是奉劝两位把这次笔战认为等于运动会的预赛，而不算为正赛。这种预赛即此而止，不再进行。于是重整旗鼓，开始正赛。否则照这样下来，实不能不为两位惜了。

—— 转录《时事新报·学灯》——"
entity_a1f28b78a34f47ca,PersonGroup,丁文江 + 张君劢,PersonGroup,,,,
