source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_023c0b2fb5e619dc,article_d82039bbfdbc04ff,WROTE,WROTE,neutral,,,胡适_000_993249d7,
author_023c0b2fb5e619dc,article_4028c75a89d734a1,WROTE,WROTE,neutral,,,胡适_001_295ca4dc,
author_023c0b2fb5e619dc,article_d08ca211e37e9495,WROTE,WROTE,neutral,,,胡适_002_c6a0c3b5,
article_d82039bbfdbc04ff,segment_0a12820d483f75a5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0000
article_d82039bbfdbc04ff,segment_d3301da546d7afbb,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0001
article_d82039bbfdbc04ff,segment_0e9c87b58cbac677,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0002
article_d82039bbfdbc04ff,segment_ae3344357ad0a61a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0003
article_d82039bbfdbc04ff,segment_ece9cec516c78d3b,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0004
article_d82039bbfdbc04ff,segment_d3dab4082b848881,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0005
article_d82039bbfdbc04ff,segment_c105080dbeac7534,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0006
article_d82039bbfdbc04ff,segment_018159a7d5223100,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0007
article_d82039bbfdbc04ff,segment_aa1a06c3e1784e53,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0008
article_d82039bbfdbc04ff,segment_8fedb10f69e10004,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0009
article_d82039bbfdbc04ff,segment_8a54987e2067b611,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0010
article_d82039bbfdbc04ff,segment_9cc6b843cdc32ea2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0011
article_d82039bbfdbc04ff,segment_3b12254b38d499d4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0012
article_d82039bbfdbc04ff,segment_abf8785c5b426a56,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0013
article_d82039bbfdbc04ff,segment_dcdf953b44e9f4d8,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0014
article_d82039bbfdbc04ff,segment_ccb8805b99e1167c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0015
article_d82039bbfdbc04ff,segment_cac51b92115e0f74,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0016
article_d82039bbfdbc04ff,segment_852e7269f522bdcb,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0017
article_d82039bbfdbc04ff,segment_6ca987ac7c86613e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0018
article_d82039bbfdbc04ff,segment_03d97e036b6a4c6b,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0019
article_d82039bbfdbc04ff,segment_a0afa264d2399e10,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_000_993249d7,胡适_000_993249d7_s0020
article_4028c75a89d734a1,segment_9b4677377d66af04,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_001_295ca4dc,胡适_001_295ca4dc_s0000
article_4028c75a89d734a1,segment_7785aa7734c8f025,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_001_295ca4dc,胡适_001_295ca4dc_s0001
article_4028c75a89d734a1,segment_4e7991bd1f4aba8e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_001_295ca4dc,胡适_001_295ca4dc_s0002
article_d08ca211e37e9495,segment_c23d15fa7ed11ee0,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_002_c6a0c3b5,胡适_002_c6a0c3b5_s0000
article_d08ca211e37e9495,segment_58800b1e1ec06759,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_002_c6a0c3b5,胡适_002_c6a0c3b5_s0001
article_d08ca211e37e9495,segment_80c3df35ac0304a4,HAS_SEGMENT,HAS_SEGMENT,neutral,,,胡适_002_c6a0c3b5,胡适_002_c6a0c3b5_s0002
segment_0a12820d483f75a5,entity_274cf604d9fb2cf1,MENTIONS,MENTIONS,neutral,亚东图书馆主人汪孟邹,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment_0a12820d483f75a5,entity_35d9fdcbc04100d0,MENTIONS,MENTIONS,neutral,亚东图书馆主人汪孟邹,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment_0a12820d483f75a5,entity_03e7d42d297a9c27,MENTIONS,MENTIONS,neutral,总名为“科学与人生观”,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment_0a12820d483f75a5,entity_d8c0e8151c3c6fbe,MENTIONS,MENTIONS,neutral,我从烟霞洞回到上海,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment_0a12820d483f75a5,entity_cecdc01556928a58,MENTIONS,MENTIONS,neutral,丁在君先生,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment_0a12820d483f75a5,entity_bf16281d063ffdf6,MENTIONS,MENTIONS,neutral,他看了我的《玄学与科学》,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment_0a12820d483f75a5,entity_135c7c5be69727b3,MENTIONS,MENTIONS,neutral,《努力周报》,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment_0a12820d483f75a5,entity_7ae1afe503116da9,MENTIONS,MENTIONS,neutral,《孙行者与张君劢》,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment_0a12820d483f75a5,entity_32517cfe84af2270,MENTIONS,MENTIONS,neutral,《孙行者与张君劢》,,胡适_000_993249d7,胡适_000_993249d7_s0000
segment_0e9c87b58cbac677,entity_d972034767100595,MENTIONS,MENTIONS,neutral,原文中拟人化称呼,,胡适_000_993249d7,胡适_000_993249d7_s0002
segment_0e9c87b58cbac677,entity_7b1e9a97ccbe0794,MENTIONS,MENTIONS,neutral,比喻生存竞争,,胡适_000_993249d7,胡适_000_993249d7_s0002
