source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_e3deae01626b6cc4,article_fa9c7a6d14fd00a4,WROTE,WROTE,neutral,,,甘蛰仙_000_6b354fa0,
article_fa9c7a6d14fd00a4,segment_82bdb4c082349009,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
article_fa9c7a6d14fd00a4,segment_e9f55741a1df8607,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0001
article_fa9c7a6d14fd00a4,segment_fd2b986f13c1030e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0002
article_fa9c7a6d14fd00a4,segment_d06ea632772156f9,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0003
article_fa9c7a6d14fd00a4,segment_a39bf8b92b851e1d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0004
article_fa9c7a6d14fd00a4,segment_009e384c91df9a8e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0005
article_fa9c7a6d14fd00a4,segment_89eca5a2aba01e73,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0006
article_fa9c7a6d14fd00a4,segment_ec830e4024e64e8c,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0007
article_fa9c7a6d14fd00a4,segment_4f763ba41c4917d5,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0008
article_fa9c7a6d14fd00a4,segment_653af449704d6ce2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0009
article_fa9c7a6d14fd00a4,segment_dc19810eef2d53ca,HAS_SEGMENT,HAS_SEGMENT,neutral,,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0010
segment_82bdb4c082349009,entity_66cb48297977ac44,MENTIONS,MENTIONS,neutral,文本中明确讨论,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
segment_82bdb4c082349009,entity_5f933169fd235f10,MENTIONS,MENTIONS,neutral,文本中明确讨论,,甘蛰仙_000_6b354fa0,甘蛰仙_000_6b354fa0_s0000
