node_id,labels,name,node_type,article_id,segment_id,title,text
article:bca810c63769,Article,读张君劢论人生观与科学的两篇 文章后所发生的疑问,Article,朱经农_000_bb34b81c,,读张君劢论人生观与科学的两篇 文章后所发生的疑问,
author:3607ae2430a0,Author,朱经农,Author,,,,
entity:67821481a750,概念,人生观,概念,朱经农_000_bb34b81c,s0000,,
entity:2347ab411dd3,概念,文化,概念,朱经农_000_bb34b81c,s0000,,
entity:fe901cfcc616,人物,张君劢,人物,朱经农_000_bb34b81c,s0001,,
entity:91519da56f86,人物,牛顿,人物,朱经农_000_bb34b81c,s0002,,
entity:c3290e5df355,概念,物质,概念,朱经农_000_bb34b81c,s0002,,
entity:c5790a7a1ed5,主义/学说/理论,相对论,主义/学说/理论,朱经农_000_bb34b81c,s0002,,
entity:14d40a1df182,概念,精神文明,概念,朱经农_000_bb34b81c,s0004,,
entity:59c42a2cdcb9,概念,环境,概念,朱经农_000_bb34b81c,s0004,,
entity:690b08998525,阵营/群体,爱斯基摩人,阵营/群体,朱经农_000_bb34b81c,s0004,,
entity:945a9f2ac602,概念,自然环境,概念,朱经农_000_bb34b81c,s0005,,
entity:9f9ade1871bd,人物,朱经农,人物,朱经农_000_bb34b81c,,,
claim:d47b0af4edcd,Claim,我并没有思想加入科学与玄学的战争,Claim,朱经农_000_bb34b81c,,,我并没有思想加入科学与玄学的战争
claim:f98cd800a866,Claim,我的天性与玄学太不相近，并且对于科学也没有精深的研究，所以不配说话,Claim,朱经农_000_bb34b81c,,,我的天性与玄学太不相近，并且对于科学也没有精深的研究，所以不配说话
claim:8e846e7f0026,Claim,人生观“漫无是非真伪之标准”,Claim,朱经农_000_bb34b81c,,,人生观“漫无是非真伪之标准”
claim:19686c99a3c2,Claim,西洋之有益者如何采之，其有害者如何避之；吾国之有益者如何存之，有害者如何革除之；凡此取舍之间，皆决于观点,Claim,朱经农_000_bb34b81c,,,西洋之有益者如何采之，其有害者如何避之；吾国之有益者如何存之，有害者如何革除之；凡此取舍之间，皆决于观点
claim:993c6978dd42,Claim,人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准,Claim,朱经农_000_bb34b81c,,,人生观既为文化之枢纽，则文化之有益或有害即为人生观是非真伪之标准
claim:718710497dd6,Claim,凡人生观能发生有益之文化者，则我采之存之，换一句话说，就认他为是的。凡人生观发生有害之文化者，则我避之除之，换一句话说，就认他为非的,Claim,朱经农_000_bb34b81c,,,凡人生观能发生有益之文化者，则我采之存之，换一句话说，就认他为是的。凡人生观发生有害之文化者，则我避之除之，换一句话说，就认他为非的
claim:7e09f4be4dc1,Claim,怎样还说没有标准呢？,Claim,朱经农_000_bb34b81c,,,怎样还说没有标准呢？
claim:a95d47225864,Claim,因有益有害而定存革取舍，明明是有方法的，怎样说无所谓方法呢？,Claim,朱经农_000_bb34b81c,,,因有益有害而定存革取舍，明明是有方法的，怎样说无所谓方法呢？
claim:61dec957f87e,Claim,何者为正当之人生观……乃不能答复之问题。,Claim,朱经农_000_bb34b81c,,,何者为正当之人生观……乃不能答复之问题。
claim:5f9469c0a7c6,Claim,彼此各执一词，决无绝对之是与非。,Claim,朱经农_000_bb34b81c,,,彼此各执一词，决无绝对之是与非。
claim:f5925f0e4dfe,Claim,种好因，得好果；种恶因，得恶果。怎样还说不受因果律的支配呢?,Claim,朱经农_000_bb34b81c,,,种好因，得好果；种恶因，得恶果。怎样还说不受因果律的支配呢?
claim:f8aced63c0de,Claim,人类之目的……虽变也，不趋于恶。而必趋于善。,Claim,朱经农_000_bb34b81c,,,人类之目的……虽变也，不趋于恶。而必趋于善。
claim:0a1c83376c9c,Claim,既没有是非，怎样会有善恶？,Claim,朱经农_000_bb34b81c,,,既没有是非，怎样会有善恶？
claim:8858c9c07b03,Claim,“善”即为“是”，“恶”即为“非”。,Claim,朱经农_000_bb34b81c,,,“善”即为“是”，“恶”即为“非”。
claim:1d1bf6c95d03,Claim,如果有善恶可辨，是非就有了标准。,Claim,朱经农_000_bb34b81c,,,如果有善恶可辨，是非就有了标准。
claim:9231be940bbe,Claim,何以君劢判断善恶这样的勇敢，辨别是非又这样的踌躇呢?,Claim,朱经农_000_bb34b81c,,,何以君劢判断善恶这样的勇敢，辨别是非又这样的踌躇呢?
claim:cf6cc63b7076,Claim,人生观超于科学以上。,Claim,朱经农_000_bb34b81c,,,人生观超于科学以上。
claim:034646dae26d,Claim,科学之中亦分两项。……物质科学如物理，化学等；精神科学如政治学，生计学，心理学，哲学之类。,Claim,朱经农_000_bb34b81c,,,科学之中亦分两项。……物质科学如物理，化学等；精神科学如政治学，生计学，心理学，哲学之类。
claim:f987b3aebe5a,Claim,照他这样说，人生观是科学范围以外的东西；哲学又是精神科学之一种，是科学范围以内的。,Claim,朱经农_000_bb34b81c,,,照他这样说，人生观是科学范围以外的东西；哲学又是精神科学之一种，是科学范围以内的。
claim:b293bdb1e519,Claim,精神科学……未尝无公例可求。,Claim,朱经农_000_bb34b81c,,,精神科学……未尝无公例可求。
claim:cbf9ff716866,Claim,哲学既为精神科学之一种，当然也有公例可求。,Claim,朱经农_000_bb34b81c,,,哲学既为精神科学之一种，当然也有公例可求。
claim:807fb8fc1d2c,Claim,若夫人生观或为……悲观主义，或为……乐观主义，或为……修身齐家主义，或为……出世主义：初无论理学之公例以限制之。,Claim,朱经农_000_bb34b81c,,,若夫人生观或为……悲观主义，或为……乐观主义，或为……修身齐家主义，或为……出世主义：初无论理学之公例以限制之。
claim:5ddd1b9eaf7a,Claim,试问悲观主义、乐观主义等等非哲学而何？,Claim,朱经农_000_bb34b81c,,,试问悲观主义、乐观主义等等非哲学而何？
claim:a7fd2f5bbd45,Claim,何以哲学有公例可求，而此各种主义独无之?,Claim,朱经农_000_bb34b81c,,,何以哲学有公例可求，而此各种主义独无之?
claim:6dd582b85f49,Claim,夫何谓物，何谓心，诚有争执之可言，然因争执之故，乃并物质科学精神科学之分类而否认之，此世界之所未闻。,Claim,朱经农_000_bb34b81c,,,夫何谓物，何谓心，诚有争执之可言，然因争执之故，乃并物质科学精神科学之分类而否认之，此世界之所未闻。
claim:14e4625868f5,Claim,大凡主张一元论的哲学家总不大愿意把“精神”“物质”两名词来划分科学的门类。,Claim,朱经农_000_bb34b81c,,,大凡主张一元论的哲学家总不大愿意把“精神”“物质”两名词来划分科学的门类。
claim:5ec164589fcc,Claim,有些人主张分为自然科学与文化科学。有些人主张分为自然科学与社会科学。,Claim,朱经农_000_bb34b81c,,,有些人主张分为自然科学与文化科学。有些人主张分为自然科学与社会科学。
claim:1bbcf2d1f830,Claim,有些人主张分为自然科学与文化科学,Claim,朱经农_000_bb34b81c,,,有些人主张分为自然科学与文化科学
claim:70c71687724d,Claim,有些人主张分为自然科学与社会科学,Claim,朱经农_000_bb34b81c,,,有些人主张分为自然科学与社会科学
claim:644685d6b4ac,Claim,所谓“文化”处处有事迹可寻；所谓“社会”事事有利弊可辨；不比“精神”两字完全是“无地楼台”捉摸不定,Claim,朱经农_000_bb34b81c,,,所谓“文化”处处有事迹可寻；所谓“社会”事事有利弊可辨；不比“精神”两字完全是“无地楼台”捉摸不定
claim:75ad6f9cad76,Claim,翁特自身亦不肯把“物质”与“精神”用作对立的名词,Claim,朱经农_000_bb34b81c,,,翁特自身亦不肯把“物质”与“精神”用作对立的名词
claim:f409336d7863,Claim,君劢把“确实”二字改作物质,Claim,朱经农_000_bb34b81c,,,君劢把“确实”二字改作物质
claim:57f43e4fd6e0,Claim,君劢说，不用物质精神来分科学门类的为世所未闻,Claim,朱经农_000_bb34b81c,,,君劢说，不用物质精神来分科学门类的为世所未闻
claim:b6d00ffcdabf,Claim,世界上从来没有听见过这样的分类方法，这个说法不成立,Claim,朱经农_000_bb34b81c,,,世界上从来没有听见过这样的分类方法，这个说法不成立
claim:6683b401dd30,Claim,科学是日进无已的，并不是什么“金科玉律”一成不变的,Claim,朱经农_000_bb34b81c,,,科学是日进无已的，并不是什么“金科玉律”一成不变的
claim:e0ea2b32e685,Claim,君劢引杜里舒和托摩生的说话来驳达尔文的“进化论”，引“相对论”来证明牛顿的学说不适用于光折之实验，正可以证明科学日进无已,Claim,朱经农_000_bb34b81c,,,君劢引杜里舒和托摩生的说话来驳达尔文的“进化论”，引“相对论”来证明牛顿的学说不适用于光折之实验，正可以证明科学日进无已
claim:20ecc2cd0ac0,Claim,君劢说，他所以能够下此断语是“但论现在不问将来”,Claim,朱经农_000_bb34b81c,,,君劢说，他所以能够下此断语是“但论现在不问将来”
claim:c54415e3fba3,Claim,人生观问题之解决决非科学所能为力,Claim,朱经农_000_bb34b81c,,,人生观问题之解决决非科学所能为力
claim:f8788ef9aeb2,Claim,他所以能够下此断语是“但论现在不问将来”,Claim,朱经农_000_bb34b81c,,,他所以能够下此断语是“但论现在不问将来”
claim:034e422d0f9b,Claim,倘使“但论现在”似乎只可以用一个尚字，不能适用一个决字,Claim,朱经农_000_bb34b81c,,,倘使“但论现在”似乎只可以用一个尚字，不能适用一个决字
claim:440a719799b6,Claim,纯粹心理，顷刻万变，非科学方法所能支配,Claim,朱经农_000_bb34b81c,,,纯粹心理，顷刻万变，非科学方法所能支配
claim:ba10d10b162e,Claim,凡是一种心理的现象，其起落必有一个原因，社会上必有一种对象引起这种心理,Claim,朱经农_000_bb34b81c,,,凡是一种心理的现象，其起落必有一个原因，社会上必有一种对象引起这种心理
claim:5de42feaf0fd,Claim,这种社会上的对象，我们有法子可以研究的，不是玄妙不可思议的,Claim,朱经农_000_bb34b81c,,,这种社会上的对象，我们有法子可以研究的，不是玄妙不可思议的
claim:803cbb80aa73,Claim,人之心理，顷刻万变，故无所谓态度，因无所谓因果,Claim,朱经农_000_bb34b81c,,,人之心理，顷刻万变，故无所谓态度，因无所谓因果
claim:a3db005490e9,Claim,人生之所谓善者皆精神之表现,Claim,朱经农_000_bb34b81c,,,人生之所谓善者皆精神之表现
claim:5c3183b7cf92,Claim,其所谓恶者皆物质之接触,Claim,朱经农_000_bb34b81c,,,其所谓恶者皆物质之接触
claim:317176563199,Claim,全世界的大心理学家天天在实验室里做工夫，用科学方法去研究人心，不是疯子。,Claim,朱经农_000_bb34b81c,,,全世界的大心理学家天天在实验室里做工夫，用科学方法去研究人心，不是疯子。
claim:1e49e6e3a3c1,Claim,人生之所谓善者皆精神之表现，其所谓恶者皆物质之接触。,Claim,朱经农_000_bb34b81c,,,人生之所谓善者皆精神之表现，其所谓恶者皆物质之接触。
claim:6245c967d30e,Claim,精神之表现与物质之接触实不能分离，不能判其一为善而一为恶。,Claim,朱经农_000_bb34b81c,,,精神之表现与物质之接触实不能分离，不能判其一为善而一为恶。
claim:73f56779f120,Claim,自孔孟以至宋元明之理学家，侧重内生活之修养，其结果为精神文明；三百年来之欧洲，侧重以人力支配自然界，故其结果为物质文明。,Claim,朱经农_000_bb34b81c,,,自孔孟以至宋元明之理学家，侧重内生活之修养，其结果为精神文明；三百年来之欧洲，侧重以人力支配自然界，故其结果为物质文明。
claim:00c9e67da863,Claim,中国的精神文明中有许多是近三百年西洋文明中所没有的，希望张君劢举实例。,Claim,朱经农_000_bb34b81c,,,中国的精神文明中有许多是近三百年西洋文明中所没有的，希望张君劢举实例。
claim:117135e50fcf,Claim,内修的工夫不能不受外力的影响，其所生结果不能完全归功于精神而称之曰精神文明。,Claim,朱经农_000_bb34b81c,,,内修的工夫不能不受外力的影响，其所生结果不能完全归功于精神而称之曰精神文明。
claim:ead7917751a8,Claim,人类的文化不能不受环境的影响，也不能脱离物质的关系。,Claim,朱经农_000_bb34b81c,,,人类的文化不能不受环境的影响，也不能脱离物质的关系。
claim:e169e324d70b,Claim,爱斯克模人因自然环境限制，文化不能发达到极高地位。,Claim,朱经农_000_bb34b81c,,,爱斯克模人因自然环境限制，文化不能发达到极高地位。
claim:07743c6e349f,Claim,热带温湿之区因物质极丰、谋生过易，人皆习于懒惰，不能产生极高的文化。,Claim,朱经农_000_bb34b81c,,,热带温湿之区因物质极丰、谋生过易，人皆习于懒惰，不能产生极高的文化。
claim:eb9b5c648baa,Claim,不能不把全副精神都消磨在衣食问题中间，所以不能有极高的文化。,Claim,朱经农_000_bb34b81c,,,不能不把全副精神都消磨在衣食问题中间，所以不能有极高的文化。
claim:8c95687b1f92,Claim,在热带温湿之区，物质极丰，谋生过易，不劳而获，人皆习于懒惰，不愿有所作为，故不能产生极高的文化。,Claim,朱经农_000_bb34b81c,,,在热带温湿之区，物质极丰，谋生过易，不劳而获，人皆习于懒惰，不愿有所作为，故不能产生极高的文化。
claim:e0c9557f2d61,Claim,人类的文化，不能不受气候物产种种自然环境的影响。,Claim,朱经农_000_bb34b81c,,,人类的文化，不能不受气候物产种种自然环境的影响。
claim:67459cdf2b27,Claim,文化的高低与物质上的设备也有密切的关系。,Claim,朱经农_000_bb34b81c,,,文化的高低与物质上的设备也有密切的关系。
