source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_fb0132bd00a7dab1,article_83400617466fd211,WROTE,WROTE,neutral,,,梁启超_000_da81f70e,
author_fb0132bd00a7dab1,article_b37459f297354d42,WROTE,WROTE,neutral,,,梁启超_001_4a5e589a,
author_61fbbbacbb4cfd55,article_9efb8449110c6d8d,WROTE,WROTE,neutral,,,梁启超_002_40d1afac,
article_83400617466fd211,segment_cd449e32cc0815cd,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0000
article_83400617466fd211,segment_ade107179e408380,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
article_b37459f297354d42,segment_abeed83bd4a3418e,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
article_b37459f297354d42,segment_3ea7772373dd8ad6,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
article_b37459f297354d42,segment_07b36e8d5bfa42f7,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
article_b37459f297354d42,segment_598cac580e7b1350,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
article_b37459f297354d42,segment_4f63b59ffb471a5f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
article_b37459f297354d42,segment_db0e56852e3427e9,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005
article_b37459f297354d42,segment_cc0f26f7787ea637,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
article_9efb8449110c6d8d,segment_1d280f52a6471afa,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0000
article_9efb8449110c6d8d,segment_8458055981ba6e9a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0001
article_9efb8449110c6d8d,segment_9744b998362b8429,HAS_SEGMENT,HAS_SEGMENT,neutral,,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0002
segment_ade107179e408380,entity_13aaed4743c9600c,MENTIONS,MENTIONS,neutral,作者自称，文中提到'我希望'、'我常常亲见'等,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment_ade107179e408380,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,文中提到'在君'，即丁文江,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment_ade107179e408380,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,文中提到'君劢'，即张君劢,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment_ade107179e408380,entity_4d25c37af33acb7f,MENTIONS,MENTIONS,neutral,指代参与论战的丁文江和张君劢,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment_ade107179e408380,entity_de3a5f555aa52fd9,MENTIONS,MENTIONS,neutral,指代阅读论战的公众,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment_ade107179e408380,entity_3c6e4f06644dc11c,MENTIONS,MENTIONS,neutral,写作地点,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment_ade107179e408380,entity_e2ba5d76d0904d5a,MENTIONS,MENTIONS,neutral,转录来源,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment_abeed83bd4a3418e,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,张君劢在清华学校演说一篇《人生观》,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment_abeed83bd4a3418e,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,丁在君做了一篇《玄学与科学》和他宣战,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment_abeed83bd4a3418e,entity_00649f80e45cc221,MENTIONS,MENTIONS,neutral,张君劢演说《人生观》,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment_abeed83bd4a3418e,entity_ea71f938f52305e8,MENTIONS,MENTIONS,neutral,丁在君做《玄学与科学》,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment_abeed83bd4a3418e,entity_b153ef54d7f431ce,MENTIONS,MENTIONS,neutral,对于张丁论战的批评,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment_abeed83bd4a3418e,entity_64d31dc43fa9c897,MENTIONS,MENTIONS,neutral,张君劢在清华学校演说,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment_3ea7772373dd8ad6,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,文本中提及'张丁两君'，张指张君劢,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment_3ea7772373dd8ad6,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,文本中提及'张丁两君'，丁指丁文江,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment_3ea7772373dd8ad6,entity_13aaed4743c9600c,MENTIONS,MENTIONS,neutral,文本作者自称'我'，根据上下文为梁启超,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment_3ea7772373dd8ad6,entity_96592052bdb28cd4,MENTIONS,MENTIONS,neutral,文本中明确定义'人生观',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment_3ea7772373dd8ad6,entity_36498d59f2e2c022,MENTIONS,MENTIONS,neutral,文本中明确定义'科学',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment_3ea7772373dd8ad6,entity_1562f283a790a874,MENTIONS,MENTIONS,neutral,文本中定义'人生'为心物结合的生活,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment_07b36e8d5bfa42f7,entity_13aaed4743c9600c,MENTIONS,MENTIONS,neutral,文本中“我”指代作者梁启超,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment_07b36e8d5bfa42f7,entity_91765cd30cbb3870,MENTIONS,MENTIONS,neutral,文本中多次出现“君劢”,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment_07b36e8d5bfa42f7,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,文本中“在君”指丁文江,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment_07b36e8d5bfa42f7,entity_cc61ab0feb43f872,MENTIONS,MENTIONS,neutral,文本中明确提及,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment_07b36e8d5bfa42f7,entity_b7193697ef07a82a,MENTIONS,MENTIONS,neutral,文本中多次出现,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment_07b36e8d5bfa42f7,entity_becafbe9d47a1768,MENTIONS,MENTIONS,neutral,文本中明确提及,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment_07b36e8d5bfa42f7,entity_718c034a85321611,MENTIONS,MENTIONS,neutral,文本中提及“直觉的”,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
