node_id,labels,name,node_type,article_id,segment_id,title,text
article:a1cc96cc2268,Article,“科哲之战”的尾声,Article,王平陵_000_d1d9c442,,“科哲之战”的尾声,
author:f2f4bde1fea8,Author,王平陵,Author,,,,
entity:a46a0cb6287b,主义/学说/理论,科学的一元论（实证论）,主义/学说/理论,王平陵_000_d1d9c442,s0000,,
entity:0a5d9170d332,概念,科学,概念,王平陵_000_d1d9c442,s0000,,
entity:a5902cbd02aa,概念,哲学,概念,王平陵_000_d1d9c442,s0000,,
entity:c0019d8522b7,主义/学说/理论,补合的二元论,主义/学说/理论,王平陵_000_d1d9c442,s0000,,
entity:d154e30b64f0,观点,科学是哲学的基础,观点,王平陵_000_d1d9c442,s0000,,
entity:6156d89352c0,方法,思辩法,方法,王平陵_000_d1d9c442,s0001,,
entity:d60b4c6bbd7f,方法,论理法,方法,王平陵_000_d1d9c442,s0001,,
entity:59d4ba143990,方法,直觉法,方法,王平陵_000_d1d9c442,s0001,,
entity:3e7036aa3d9f,方法,经验的方法,方法,王平陵_000_d1d9c442,s0001,,
entity:fc038197b9b5,方法,归纳法,方法,王平陵_000_d1d9c442,s0001,,
entity:1a8259a3f8ac,概念,全体,概念,王平陵_000_d1d9c442,s0001,,
entity:e223c6580ad8,概念,部分,概念,王平陵_000_d1d9c442,s0001,,
entity:ad9f16a70c48,概念,实有的全体性及直接性,概念,王平陵_000_d1d9c442,s0002,,
entity:b050c3d1cf41,概念,实有之部分性及间接性,概念,王平陵_000_d1d9c442,s0002,,
entity:f1bf22963376,概念,规范及价值,概念,王平陵_000_d1d9c442,s0002,,
entity:0a8b5537cd26,概念,法则与事实,概念,王平陵_000_d1d9c442,s0002,,
entity:187f57c031a4,概念,全我的要求,概念,王平陵_000_d1d9c442,s0002,,
entity:b01bbe0ff390,概念,知的要求,概念,王平陵_000_d1d9c442,s0002,,
entity:afa9d6739fdb,概念,功利的要求,概念,王平陵_000_d1d9c442,s0002,,
entity:2dd83a7266a2,概念,人格的根本性质,概念,王平陵_000_d1d9c442,s0002,,
entity:d0ba05da148a,概念,理知作用,概念,王平陵_000_d1d9c442,s0002,,
entity:5b8aa1c20566,概念,自我之学,概念,王平陵_000_d1d9c442,s0002,,
entity:9f87ebb885ea,概念,主观之学,概念,王平陵_000_d1d9c442,s0002,,
entity:27c2536f7c28,概念,非我之学,概念,王平陵_000_d1d9c442,s0002,,
entity:e3cd7facefd3,概念,客观之学,概念,王平陵_000_d1d9c442,s0002,,
entity:bb50eb4e6a50,概念,根本疑问,概念,王平陵_000_d1d9c442,s0002,,
entity:4a1141b1b512,概念,根本要求,概念,王平陵_000_d1d9c442,s0002,,
entity:b494c2c68932,概念,实用疑问,概念,王平陵_000_d1d9c442,s0002,,
entity:972f0831c9cf,概念,实用要求,概念,王平陵_000_d1d9c442,s0002,,
entity:8dc8943f363d,历史事件,科哲之战,历史事件,王平陵_000_d1d9c442,s0002,,
entity:c368371717dd,人物,王平陵,人物,王平陵_000_d1d9c442,,,
entity:35cad5063fbf,观点,科学的一元论,观点,王平陵_000_d1d9c442,s0000,,
entity:be5f700a5edd,观点,补合的二元论,观点,王平陵_000_d1d9c442,s0000,,
claim:d171439795c1,Claim,科学的一元论（实证论）的见解，于事实上及历史上显然是不能成立。,Claim,王平陵_000_d1d9c442,,,科学的一元论（实证论）的见解，于事实上及历史上显然是不能成立。
claim:825a6e39d94d,Claim,在希腊时代的科学，全是包括于哲学之内；及科学离哲学而独立以后，哲学依然存在，并没有缩小他的范围，或消灭掉他的痕迹。,Claim,王平陵_000_d1d9c442,,,在希腊时代的科学，全是包括于哲学之内；及科学离哲学而独立以后，哲学依然存在，并没有缩小他的范围，或消灭掉他的痕迹。
claim:95745e1dea3b,Claim,有许多科学者，正因为哲学而存在，他的科学的创见，才能发挥光大的。,Claim,王平陵_000_d1d9c442,,,有许多科学者，正因为哲学而存在，他的科学的创见，才能发挥光大的。
claim:4ac6f9b6d172,Claim,由科学万能的见地上，所成立的“实证论”，要亦不过是科学的哲学罢了。,Claim,王平陵_000_d1d9c442,,,由科学万能的见地上，所成立的“实证论”，要亦不过是科学的哲学罢了。
claim:143d23321fae,Claim,近代的大科学家，由科学的见地而发展，其结局税驾于哲学的境地的，正复不少。,Claim,王平陵_000_d1d9c442,,,近代的大科学家，由科学的见地而发展，其结局税驾于哲学的境地的，正复不少。
claim:bfd289b872ed,Claim,达尔文的进化论，则超脱科学的领域，而入于哲学的范围了。,Claim,王平陵_000_d1d9c442,,,达尔文的进化论，则超脱科学的领域，而入于哲学的范围了。
