node_id,labels,name,node_type,article_id,segment_id,title,text
article:2babd95737ec,Article,玄学上之问题,Article,颂皋_000_0fffa40d,,玄学上之问题,
author:0d0e8dd66bb0,Author,颂皋,Author,,,,
entity:0a5d9170d332,概念,科学,概念,颂皋_000_0fffa40d,s0000,,
entity:ab5f008cd73e,概念,玄学,概念,颂皋_000_0fffa40d,s0000,,
entity:206fbf1c96e8,人物,威廉·詹姆斯,人物,颂皋_000_0fffa40d,s0000,,
entity:f01cd9e867bb,人物,颂皋,人物,颂皋_000_0fffa40d,s0000,,
entity:6ece55762fc9,概念,玄学上之问题,概念,颂皋_000_0fffa40d,s0000,,
entity:8e23305c25ac,概念,美与善,概念,颂皋_000_0fffa40d,s0002,,
entity:229015e1f4bc,人物,康德,人物,颂皋_000_0fffa40d,s0002,,
entity:a18dfcf3e278,人物,桓儿夫,人物,颂皋_000_0fffa40d,s0002,,
entity:745d5f54e8d0,概念,凡论及事物之可能者,概念,颂皋_000_0fffa40d,s0002,,
entity:315f348bfef2,概念,备及事物之实在者,概念,颂皋_000_0fffa40d,s0002,,
entity:5dfb929b4f64,概念,原理,概念,颂皋_000_0fffa40d,s0002,,
entity:35907fac9252,人物,斯宾塞尔,人物,颂皋_000_0fffa40d,s0003,,
entity:b840a4153eb8,概念,无限性,概念,颂皋_000_0fffa40d,s0004,,
entity:8180380cde7f,人物,斯氏,人物,颂皋_000_0fffa40d,s0004,,
claim:d0ff87857829,Claim,近来了在君先生与张君劢先生为科学与玄学之争，发表许多文章，引起学术界之注意。,Claim,颂皋_000_0fffa40d,,,近来了在君先生与张君劢先生为科学与玄学之争，发表许多文章，引起学术界之注意。
claim:a6ae14ccd774,Claim,一时起而招辩者，类皆国内知名之士，对于专门之学，皆有深造，故其所发言论，自多价值。,Claim,颂皋_000_0fffa40d,,,一时起而招辩者，类皆国内知名之士，对于专门之学，皆有深造，故其所发言论，自多价值。
claim:c971755d5777,Claim,但亦有主张偏激，思想之间，发生绝大缺陷者，考其所以致此之由，大率对于玄学之所以为玄学，不无稍欠了解。,Claim,颂皋_000_0fffa40d,,,但亦有主张偏激，思想之间，发生绝大缺陷者，考其所以致此之由，大率对于玄学之所以为玄学，不无稍欠了解。
claim:365ddba12d31,Claim,欲于玄学（Metaphysics）一词，加以明确之定义，诚为不可能之事。,Claim,颂皋_000_0fffa40d,,,欲于玄学（Metaphysics）一词，加以明确之定义，诚为不可能之事。
claim:d1683b3e88a6,Claim,如欲将玄学所涉及之问题，一一加以说明，则最妙方法，莫如即先探索其意义之所在。,Claim,颂皋_000_0fffa40d,,,如欲将玄学所涉及之问题，一一加以说明，则最妙方法，莫如即先探索其意义之所在。
claim:7a1bbb4947eb,Claim,原夫玄学，乃所以讨论各种空虚的（Obscure）抽象的（Abstract）普遍的（General）问题，而为科学与人生所未能解决者。,Claim,颂皋_000_0fffa40d,,,原夫玄学，乃所以讨论各种空虚的（Obscure）抽象的（Abstract）普遍的（General）问题，而为科学与人生所未能解决者。
claim:756adde00152,Claim,易言之：即此种悬而未解决，玄而且深，关于事物之全体或其永久的原素之问题也。,Claim,颂皋_000_0fffa40d,,,易言之：即此种悬而未解决，玄而且深，关于事物之全体或其永久的原素之问题也。
claim:75f5629d563d,Claim,类此形式之问题，是谓玄学上之问题。,Claim,颂皋_000_0fffa40d,,,类此形式之问题，是谓玄学上之问题。
claim:f2116380e8ed,Claim,玄学上之重要问题有三，即：(1) 何为我所能知者?(2) 何为我所应为者?(3) 何为我可期望者?,Claim,颂皋_000_0fffa40d,,,玄学上之重要问题有三，即：(1) 何为我所能知者?(2) 何为我所应为者?(3) 何为我可期望者?
claim:4335c685ae0b,Claim,凡论及事物之可能者，是谓玄学，与备及事物之实在者，显非相同。,Claim,颂皋_000_0fffa40d,,,凡论及事物之可能者，是谓玄学，与备及事物之实在者，显非相同。
claim:0056f42514c3,Claim,玄学者乃所以探究一切事物之原因、本质、意义，及其结果者。,Claim,颂皋_000_0fffa40d,,,玄学者乃所以探究一切事物之原因、本质、意义，及其结果者。
claim:5975b60132fc,Claim,玄学实为研究本体之最普遍之原理之学；而所谓原理，不特彼此衔接一起，即于吾人知识之能力，亦发生关系焉。,Claim,颂皋_000_0fffa40d,,,玄学实为研究本体之最普遍之原理之学；而所谓原理，不特彼此衔接一起，即于吾人知识之能力，亦发生关系焉。
claim:7c712e139665,Claim,原理之意义，既如是之复杂，由原理而完成之科学，又难有实现之望，然则此种定义，推其究竟，直等于一装饰品耳。,Claim,颂皋_000_0fffa40d,,,原理之意义，既如是之复杂，由原理而完成之科学，又难有实现之望，然则此种定义，推其究竟，直等于一装饰品耳。
claim:41f33f00278e,Claim,夫玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题。,Claim,颂皋_000_0fffa40d,,,夫玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题。
claim:6e57a17f05c4,Claim,玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题,Claim,颂皋_000_0fffa40d,,,玄学之最严重的职务，不在乎他，即在乎研究此种单纯问题
claim:7617767a5722,Claim,上所云之各问题，大都为真实者也,Claim,颂皋_000_0fffa40d,,,上所云之各问题，大都为真实者也
claim:c834c3ec0b87,Claim,此种问题，苟非吾人得以证实之，在自然律上，要与吾人相抵牾，则可无疑,Claim,颂皋_000_0fffa40d,,,此种问题，苟非吾人得以证实之，在自然律上，要与吾人相抵牾，则可无疑
claim:10165dc89e03,Claim,世界非永久者，即为自我创造者；非自我创造者，则为外力所创造者,Claim,颂皋_000_0fffa40d,,,世界非永久者，即为自我创造者；非自我创造者，则为外力所创造者
claim:ce534ef8af20,Claim,即使吾人随斯氏而断定无一起源之形态为可以思议，而断定全部问题为非真实，吾人亦不失为玄学家矣,Claim,颂皋_000_0fffa40d,,,即使吾人随斯氏而断定无一起源之形态为可以思议，而断定全部问题为非真实，吾人亦不失为玄学家矣
claim:559ff7b0a797,Claim,吾人不啻已深入玄学之重围，无以解脱,Claim,颂皋_000_0fffa40d,,,吾人不啻已深入玄学之重围，无以解脱
claim:aecd2858c832,Claim,有数种假设，以其自相矛盾之故，令人视之，似为荒谬绝伦,Claim,颂皋_000_0fffa40d,,,有数种假设，以其自相矛盾之故，令人视之，似为荒谬绝伦
claim:86deb39524f1,Claim,所谓无限性，乃指无限的而言；既云无限的矣，则谓为由连续的综合而完成之，岂非一绝大之矛盾而何,Claim,颂皋_000_0fffa40d,,,所谓无限性，乃指无限的而言；既云无限的矣，则谓为由连续的综合而完成之，岂非一绝大之矛盾而何
claim:ea3ba6603511,Claim,分析各项假设，与分析各项问题，均为吾人所应重视，均于玄学之研究，为不可缺少者,Claim,颂皋_000_0fffa40d,,,分析各项假设，与分析各项问题，均为吾人所应重视，均于玄学之研究，为不可缺少者
claim:9c057bbc772b,Claim,明乎此理，吾人可以自为玄学家，而将上述各问题，加以详密的讨论矣,Claim,颂皋_000_0fffa40d,,,明乎此理，吾人可以自为玄学家，而将上述各问题，加以详密的讨论矣
claim:9697b0a51bf3,Claim,丁文君与张君劢为科学与玄学之争，发表许多文章，引起学术界之注意,Claim,颂皋_000_0fffa40d,,,丁文君与张君劢为科学与玄学之争，发表许多文章，引起学术界之注意
claim:00e62bd01d50,Claim,一时起而招辩者，类皆国内知名之士，对于专门之学，皆有深造,Claim,颂皋_000_0fffa40d,,,一时起而招辩者，类皆国内知名之士，对于专门之学，皆有深造
claim:06516314940c,Claim,亦有主张偏激，思想之间，发生绝大缺陷者，考其所以致此之由，大率对于玄学之所以为玄学，不无稍欠了解,Claim,颂皋_000_0fffa40d,,,亦有主张偏激，思想之间，发生绝大缺陷者，考其所以致此之由，大率对于玄学之所以为玄学，不无稍欠了解
claim:7038bcfc40dc,Claim,乾姆斯所著哲学问题中有专论'玄学上之问题'一章，颇能将玄学之界说与夫玄学的问题之性质阐明无遗,Claim,颂皋_000_0fffa40d,,,乾姆斯所著哲学问题中有专论'玄学上之问题'一章，颇能将玄学之界说与夫玄学的问题之性质阐明无遗
claim:6f2bd340297e,Claim,欲于玄学一词，加以明确之定义，诚为不可能之事,Claim,颂皋_000_0fffa40d,,,欲于玄学一词，加以明确之定义，诚为不可能之事
claim:3551c449ed1f,Claim,玄学乃所以讨论各种空虚的抽象的普遍的问题，而为科学与人生所未能解决者,Claim,颂皋_000_0fffa40d,,,玄学乃所以讨论各种空虚的抽象的普遍的问题，而为科学与人生所未能解决者
claim:bf8946096fed,Claim,何谓思想？何谓事物？思想与事物之间如何发生关系？,Claim,颂皋_000_0fffa40d,,,何谓思想？何谓事物？思想与事物之间如何发生关系？
claim:92d560f80029,Claim,吾人所云'真理'，果作何解？,Claim,颂皋_000_0fffa40d,,,吾人所云'真理'，果作何解？
claim:cee9697e677a,Claim,一切事实均由材质而成，试问究竟有否此种普通之材质？,Claim,颂皋_000_0fffa40d,,,一切事实均由材质而成，试问究竟有否此种普通之材质？
claim:03ecd5695e63,Claim,世界究竟由何而来？往昔或竟不如是乎？,Claim,颂皋_000_0fffa40d,,,世界究竟由何而来？往昔或竟不如是乎？
claim:1e8cb739de46,Claim,何者为本体中之最真实者？,Claim,颂皋_000_0fffa40d,,,何者为本体中之最真实者？
claim:cb12b3370aa9,Claim,凡百事物果如何而并合成一字宙？,Claim,颂皋_000_0fffa40d,,,凡百事物果如何而并合成一字宙？
claim:ff39b1ab4f58,Claim,玄学上之重要问题有三：何为我所能知者？何为我所应为者？何为我可期望者？,Claim,颂皋_000_0fffa40d,,,玄学上之重要问题有三：何为我所能知者？何为我所应为者？何为我可期望者？
claim:942fe554d6e3,Claim,玄学乃所以探究一切事物之原因、本质、意义，及其结果者,Claim,颂皋_000_0fffa40d,,,玄学乃所以探究一切事物之原因、本质、意义，及其结果者
claim:1e91b5cd0b79,Claim,玄学实为研究本体之最普遍之原理之学,Claim,颂皋_000_0fffa40d,,,玄学实为研究本体之最普遍之原理之学
claim:bc551cdd9bf5,Claim,原理之意义复杂，由原理完成之科学难有实现之望，此种定义直等于一装饰品,Claim,颂皋_000_0fffa40d,,,原理之意义复杂，由原理完成之科学难有实现之望，此种定义直等于一装饰品
claim:f82f10f08cd1,Claim,玄学之最严重的职务在于研究单纯问题,Claim,颂皋_000_0fffa40d,,,玄学之最严重的职务在于研究单纯问题
claim:d98b940c36fd,Claim,随斯氏断定无一起源之形态为可以思议，则吾人亦不失为玄学家,Claim,颂皋_000_0fffa40d,,,随斯氏断定无一起源之形态为可以思议，则吾人亦不失为玄学家
claim:74ba0515402f,Claim,连续的综合所永不能完成者，是谓无限性,Claim,颂皋_000_0fffa40d,,,连续的综合所永不能完成者，是谓无限性
claim:2bc2b0e66b60,Claim,分析各项假设与分析各项问题，均为玄学研究所不可缺少,Claim,颂皋_000_0fffa40d,,,分析各项假设与分析各项问题，均为玄学研究所不可缺少
term:a83daad4c438,问题,单纯问题,问题,,,,
term:f32bee0f0fc0,观点,世界非永久者，即为自我创造者；非自我创造者，则为外力所创造者,观点,,,,
term:cf5f0a7a15fc,概念,类此形式之问题,概念,,,,
term:8a104ea85865,阵营/群体,部分论战者,阵营/群体,,,,
