source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
梁启超,article:297330952ca6,WROTE,WROTE,neutral,0,0,,,,梁启超_000_da81f70e,
梁启超,article:6f5207d5b3cd,WROTE,WROTE,neutral,0,0,,,,梁启超_001_4a5e589a,
张东荪,article:176c9bb9fec7,WROTE,WROTE,neutral,0,0,,,,梁启超_002_40d1afac,
article:176c9bb9fec7,segment:97e8560707db,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0002
article:6f5207d5b3cd,segment:c827ddb92d75,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
article:6f5207d5b3cd,segment:4c7e613d91cb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
article:6f5207d5b3cd,segment:af62abf0ef0a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
article:176c9bb9fec7,segment:a34504dff71a,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0001
article:6f5207d5b3cd,segment:e3ed0cd95a69,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
article:297330952ca6,segment:92743ce77fbb,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
article:176c9bb9fec7,segment:a6154fa0489c,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0000
article:6f5207d5b3cd,segment:ea94bfe49c50,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
article:6f5207d5b3cd,segment:cf9471790d31,HAS_SEGMENT,HAS_SEGMENT,neutral,0,0,,,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
segment:92743ce77fbb,entity:9ebe19d4be94,MENTIONS,MENTIONS,neutral,0,0,,作者自称，文中提到'我希望'、'我常常亲见'等,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment:92743ce77fbb,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,文中提到'在君'，即丁文江,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment:92743ce77fbb,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,文中提到'君劢'，即张君劢,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment:92743ce77fbb,entity:802da959353d,MENTIONS,MENTIONS,neutral,0,0,,指代参与论战的丁文江和张君劢,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment:92743ce77fbb,entity:4f035bd1948c,MENTIONS,MENTIONS,neutral,0,0,,指代阅读论战的公众,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment:92743ce77fbb,entity:d6a8f2999784,MENTIONS,MENTIONS,neutral,0,0,,写作地点,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment:92743ce77fbb,entity:0be4f9dce820,MENTIONS,MENTIONS,neutral,0,0,,转录来源,,梁启超_000_da81f70e,梁启超_000_da81f70e_s0001
segment:4c7e613d91cb,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,张君劢在清华学校演说一篇《人生观》,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment:4c7e613d91cb,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,丁在君做了一篇《玄学与科学》和他宣战,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment:4c7e613d91cb,entity:65e6c89d15ea,MENTIONS,MENTIONS,neutral,0,0,,张君劢演说《人生观》,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment:4c7e613d91cb,entity:15687573996f,MENTIONS,MENTIONS,neutral,0,0,,丁在君做《玄学与科学》,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment:4c7e613d91cb,entity:bdaff5ef368b,MENTIONS,MENTIONS,neutral,0,0,,对于张丁论战的批评,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment:4c7e613d91cb,entity:50bd173a4947,MENTIONS,MENTIONS,neutral,0,0,,张君劢在清华学校演说,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0000
segment:ea94bfe49c50,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'张丁两君'，张指张君劢,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment:ea94bfe49c50,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'张丁两君'，丁指丁文江,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment:ea94bfe49c50,entity:9ebe19d4be94,MENTIONS,MENTIONS,neutral,0,0,,文本作者自称'我'，根据上下文为梁启超,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment:ea94bfe49c50,entity:67821481a750,MENTIONS,MENTIONS,neutral,0,0,,文本中明确定义'人生观',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment:ea94bfe49c50,entity:0a5d9170d332,MENTIONS,MENTIONS,neutral,0,0,,文本中明确定义'科学',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment:ea94bfe49c50,entity:d8b52ba932ef,MENTIONS,MENTIONS,neutral,0,0,,文本中定义'人生'为心物结合的生活,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
segment:af62abf0ef0a,entity:9ebe19d4be94,MENTIONS,MENTIONS,neutral,0,0,,文本中“我”指代作者梁启超,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment:af62abf0ef0a,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,文本中多次出现“君劢”,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment:af62abf0ef0a,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,文本中“在君”指丁文江,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment:af62abf0ef0a,entity:d617fb423e77,MENTIONS,MENTIONS,neutral,0,0,,文本中明确提及,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment:af62abf0ef0a,entity:78b798906628,MENTIONS,MENTIONS,neutral,0,0,,文本中多次出现,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment:af62abf0ef0a,entity:2291b3dbcb74,MENTIONS,MENTIONS,neutral,0,0,,文本中明确提及,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment:af62abf0ef0a,entity:75a674f027b9,MENTIONS,MENTIONS,neutral,0,0,,文本中提及“直觉的”,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment:af62abf0ef0a,entity:6bfb0534d798,MENTIONS,MENTIONS,neutral,0,0,,文本中提及“自由意志的”,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment:af62abf0ef0a,entity:1183e914a1c8,MENTIONS,MENTIONS,neutral,0,0,,文本中多次出现,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
segment:cf9471790d31,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,文本中隐含作者立场，结合上下文为丁文江,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
segment:cf9471790d31,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,文本中多次出现'君劢',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
segment:cf9471790d31,entity:25a150305a7a,MENTIONS,MENTIONS,neutral,0,0,,讨论科学之职务,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
segment:cf9471790d31,entity:43d33459731c,MENTIONS,MENTIONS,neutral,0,0,,核心概念,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
segment:cf9471790d31,entity:3008a028aa5d,MENTIONS,MENTIONS,neutral,0,0,,君劢尊直觉,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
segment:cf9471790d31,entity:de33caa6fdc8,MENTIONS,MENTIONS,neutral,0,0,,君劢尊自由意志,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
segment:cf9471790d31,entity:21708c4b8572,MENTIONS,MENTIONS,neutral,0,0,,物的法则之所支配,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
segment:cf9471790d31,entity:e650f5f1d148,MENTIONS,MENTIONS,neutral,0,0,,求出一种比较合理的生活,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0003
segment:c827ddb92d75,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,文本中多次提及'在君'，即丁文江,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:dc4cd08803b6,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'君劢'，即张君劢,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:de33caa6fdc8,MENTIONS,MENTIONS,neutral,0,0,,文本中多次讨论自由意志,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:25a150305a7a,MENTIONS,MENTIONS,neutral,0,0,,文本中讨论科学支配、科学万能等,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:43d33459731c,MENTIONS,MENTIONS,neutral,0,0,,文本中讨论人生观统一等问题,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:3008a028aa5d,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'直觉的范围',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:bf9758f450f9,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'理智产生之结果',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:3bbe0232ec57,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'有所观察',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:b01031a200ac,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'观察离得了科学程序吗',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:7033b920c81e,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'主观的',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:27859ce4277c,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'客观的',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:3227294b9a4f,MENTIONS,MENTIONS,neutral,0,0,,文本中多次提及'以为善'、'以为不善',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:36b1904c1b73,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'生出主张、希望、要求',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:bfe70521d0c2,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'生出主张、希望、要求',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:ef76172f3294,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'生出主张、希望、要求',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:a63b8ad94dbd,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'能选择于善不善之间',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:c827ddb92d75,entity:5b0c00570aa7,MENTIONS,MENTIONS,neutral,0,0,,文本中提及'他把医学的进步来做比喻',,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0004
segment:e3ed0cd95a69,entity:99043bdf0344,MENTIONS,MENTIONS,neutral,0,0,,原文首句,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:1c4dd79ece12,MENTIONS,MENTIONS,neutral,0,0,,原文举例,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:3b13184fcf74,MENTIONS,MENTIONS,neutral,0,0,,原文举例,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:4307d0448e2a,MENTIONS,MENTIONS,neutral,0,0,,原文举例,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:2d233d57ec0a,MENTIONS,MENTIONS,neutral,0,0,,原文举例,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:199e854a9e79,MENTIONS,MENTIONS,neutral,0,0,,原文举例,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:b53565ac0116,MENTIONS,MENTIONS,neutral,0,0,,原文举例,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:d4e11fc1216a,MENTIONS,MENTIONS,neutral,0,0,,原文举例,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:c0f96cad5dd4,MENTIONS,MENTIONS,neutral,0,0,,原文,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:2354e57cc47f,MENTIONS,MENTIONS,neutral,0,0,,原文末段,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:fe901cfcc616,MENTIONS,MENTIONS,neutral,0,0,,原文,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:0bacf98593d1,MENTIONS,MENTIONS,neutral,0,0,,原文,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:2dd87961b384,MENTIONS,MENTIONS,neutral,0,0,,原文,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:c291dd368023,MENTIONS,MENTIONS,neutral,0,0,,原文,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:78b798906628,MENTIONS,MENTIONS,neutral,0,0,,原文,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:e3ed0cd95a69,entity:2291b3dbcb74,MENTIONS,MENTIONS,neutral,0,0,,原文,,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0006
segment:a6154fa0489c,entity:5903b44fc0eb,MENTIONS,MENTIONS,neutral,0,0,,文本中提及,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0000
segment:a6154fa0489c,entity:00bca7507ba2,MENTIONS,MENTIONS,neutral,0,0,,文本中提及,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0000
segment:a6154fa0489c,entity:652ba4fce8a6,MENTIONS,MENTIONS,neutral,0,0,,文本中提及,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0000
segment:a6154fa0489c,entity:f5472f402672,MENTIONS,MENTIONS,neutral,0,0,,文本中提及,,梁启超_002_40d1afac,梁启超_002_40d1afac_s0000
