node_id,labels,name,node_type,article_id,segment_id,title,text
article:ceb19a8021b7,Article,心理现象与因果律,Article,唐钺_000_b5cd146b,,心理现象与因果律,
author:fe8695ee7eff,Author,唐钺,Author,,,,
article:85df12bc7941,Article,“玄学与科学”论争的所给的暗示,Article,唐钺_001_c4e36ba4,,“玄学与科学”论争的所给的暗示,
article:58ae12f69245,Article,一个痴人的说梦 ——情感真是超科学的吗？,Article,唐钺_002_5e996979,,一个痴人的说梦 ——情感真是超科学的吗？,
article:a9c89b9230d3,Article,科学的范围,Article,唐钺_003_1292971a,,科学的范围,
article:7605b71c781d,Article,读了《评所谓“科学与玄学之争”》以后,Article,唐钺_004_0712956a,,读了《评所谓“科学与玄学之争”》以后,
segment:7f8efaab7ea0,Segment,唐钺_003_1292971a_s0005,Segment,唐钺_003_1292971a,唐钺_003_1292971a_s0005,,"（实验不过以人力支配事物发生的条件而观察之之谓，内省不过是在实验的条件之下而观察心理现象之谓，离实验而内省，不是心理学。）所以不能说一切科学没有惟一的共同方法。既然有惟一的共同方法，那末，当然可以说凡用这种方法的研究都是科学。

或者以为“这种空空洞洞的”共同方法，不是科学独到的地方；我们提倡科学，不应该仅仅指这样抽象的方法。这话，我极表同情。我还要进一步说，在今日不特不必提倡科学的共同方法，就是各科的特殊方法也不必提倡。因为（第一）科学方法，非文字所能满意地介绍的；（第二）今日的中国已过了提倡科学时期而应该入于实地研究的时期了。但是，这番又翻起科学方法的问题，是由于有人误解科学的性质，并不是因为学科学者要仍旧提倡抽象的方法的缘故。

很有许多人以为既是天地间没有一件不是科学的材料，那末，岂不是人类只有科学而不用再有别的活动吗？这是误会。一个东西，可以同时为几种活动的材料。就科学内举例，如解剖学与生理学都是以动物的驱体为材料。举普通的例，如西湖的山水，既然可以为地质学研究的材料（在科学的范围内），同时可以供我们的流连欣赏（在艺术的范围内）。推之他种活动，也很多是这样。所以恐怕学术界的地盘被科学占尽的人们，是心有罣碍，所以妄生恐怖；若无罣碍，就可以远离虚惊了。

以上是我对于科学范围的浅见。是否有当，请读者评定好了。

---"
segment:0645d743861c,Segment,唐钺_000_b5cd146b_s0003,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0003,,"论。比方，火会烫伤皮肤，是完全证实的。假如有人不相信，我就请他自己去实验。但是，虽然我们没有证实一切心理现象都是有因的，然而据我们的经验，许多心理现象是有因的；也有前此以为无因的，后来知识进步，也找出他的因来；因此我们可以相信一切心理现象都是如此。其实一切物质现象有因的根据，也不过如是，而我们都深信不疑，何以独独疑到心理现象呢？我可以设一譬喻。假如我们在一条长路上走，据已往的经验，那条路每距一丈就有一棵树。我们走了几百里，都是这样。现在我们望见前路远处还有排列整齐，像树的样子的东西。我们就预测他们也是树了。这假定当然不是一定不错的；但是比说他们一定不是树的，他的根据强固得多了。所以除非无因论者能举实在的例，证明某种心理现象没有一点原因，我们总相信一切心理现象是有因的。

无因论者当然以为他们的主张是有证据的。我现在把这些所谓证据批评一下子：

（甲）无因论者说，心理现象的大部分，现在还不知道他们的原因。既然不知道，何以知他们一定有原因呢？我们可以回答他如下：心理现象的因果，当然是比物质现象的因果复杂得多。物质界的因果，如瀑布喷沫，都有时不能推测，何况心理界的因果呢？许多心理现象，虽然不知道他们的原因，然而据既往的经验，可以说他们一定有因的。这一层，我在上节说过了。至于以为他们一定是无因的，一点根据都没有。他们又说，我们的直接经验，觉得他们是无因的。这“觉得”是靠不住的。"
segment:5dd8ecc9001d,Segment,唐钺_000_b5cd146b_s0009,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0009,,"同后来的达尔文的人猿同祖说发明以后，世界人类的人生观起绝大变动；这是无可疑的历史事实。若人生观是直觉的，无因的，何以随自然界的知识而变更呢？

### 结论

罗素说：“从经验看来，我们的意志，大多数分明都是有因的，然而我们却不能因此说一切意志一定都是有因的。但是我们可以说‘一切意志谅必都是有因的’的理由，同我们可以说‘一切物质现象都是有因的’的理由一样。”（Russell, Scientific Method in Philosophy, P. 232）我可以扩充他的话而说：一切心理现象都是有因的。这句话可信的程度，同“一切物质现象都是有因的”那句话的可信的程度相等。

无因论者的主张的最要动机，恐怕是以为心理现象若是都是有因的，人们的精神生活就没有自由。这种误会，上文已经解释过。德国唯心论者鲍尔森在他的《哲学导言》中有一段说有因和自由是并行不悖的，我引他的话作本篇的结束：

“假如我们给因的观念下正当的定义，假如我们取休谟和莱勃尼兹对于因字的用法——许多元素的变化间的有规则的和调（这与本篇的定义相同，不过语句有异而已），那末，因果律明明流行于心理界中，同自然界中一样。或者在心理界要找出一律性来，或是约这种一律性为基本公例，是比在自然界难些。但是，心理界有如此的一律性，是无可疑的。两界中都没有孤立或无定律的元素；每一个元素，是与前此的、同时的、及此后的许多元素有确定的关系。"
segment:1dff6bc12659,Segment,唐钺_003_1292971a_s0002,Segment,唐钺_003_1292971a,唐钺_003_1292971a_s0002,,"的事实之科学的研究。这个绘画的科学，与绘画自身——即艺术品的创造——不是不相容的东西。至于绘画自身，虽然应用科学如透视学等，而实在是艺术，从来没有人称他做科学。林先生说这样称说是“费解的”，我还要说，不特费解，而且是不通。以上的话，推之其他艺术也是一样。关于这一点，林先生同我的意见实际上没有差异。

林先生又提及“基督教科学”“灵学”和妖怪学，而说他们虽然应用科学方法而不是科学。兹分别解答如次：

“基督教科学”虽也“利用暗示方法”，而含有其他不合科学的方法，所以不能称为科学。他虽然冒充科学，我们只能看他做一种宗教。

灵学，虽然得少数学者如洛奇辈的崇信；但是大多数的科学家都不承认科学所用的方法是真正科学的方法，所以不称他做科学。洛奇于变态心理学是外行，他对于灵学的判断，是靠不住的。洛奇从前信一个做灵媒的女人，后来经詹姆斯发见伊是“请张为幻”的，而洛奇前三年到美国演讲的时候，还要说他所见过的灵媒没有作伪的。此公昏愦，可谓达于极点。这是枝节的话。我们所当注意的：灵学不是科学，是因为他不用科学的方法，不是因为他所研究的材料的特别。

至于妖怪学，要看我们的“妖怪”的定义怎样。我们若以为妖怪是天地间一种实在的东西，同猴子、猫头鹰一样实在；那末，他的有无，还不可知。“皮之不存，毛将安傅”，当然不能有研究妖怪的科学。"
segment:d97e836d4da3,Segment,唐钺_000_b5cd146b_s0006,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0006,,"者和一般人所知道的。并且人格也是集合而成的，观于人格有时分裂就知道了。文艺作品，也是可以分析出来他的成因的。不过这种现象很复杂，一时不能完全找出他的因罢了。

他们说，无论如何分析人格及作品的成因，他们的个性是不能解释的。这句话不过是强词罢了。须知各成分相合的结果，许多都会使我们觉得他有个性，就是物质现象也是如此。比如轻养二气化合成水。水有水的个性，并不是合轻养二气的性质而成的；然而我们却不能因此说水不是轻养化合成功的。心理现象也是如此。

无因论者所以一定要说人格文艺无因的缘故，大抵他们心中有个误解，以为人格文艺若可以分析出原因来，就没有大价值了。这是混“事实判断”和价值判断为一谈。这事，詹姆斯在他的《宗教经验之种种》第一讲中详论过，大意说一个事物的性质、起源、成因等和他的意义重要价值无关。所以我们不用怕因为我们知道人格文艺的原因，文艺人格就失其价值了。

（己）无因论者又说，心理现象有因的，不过是与物质有关的部分，至于纯粹思想，即浮子堡派所发见者，一定没有因果可言。这也是搔不着痒的话。无论所谓纯粹思想，许多心理学者不承认他的存在（构造派巨子铁岂纳就是其中之一）；纵使果有这个东西，也不过同感觉情调并列为心理元素罢了。心理学者没有人不知道感觉情调是有因的，也没有人承认思想是无因的。"
segment:6c701b531b7a,Segment,唐钺_002_5e996979_s0004,Segment,唐钺_002_5e996979,唐钺_002_5e996979_s0004,,"前还有第一个没有一样。

任公由美说到爱，他的浪漫的笔锋更起劲了。他说：“至于‘爱’，那更‘玄之又玄’了。假令有两位青年男女相约为‘科学的恋爱’，岂不令人喷饭？”但是，这个问题，恐怕不是一句“挖苦”的话可以勾销的。据我痴人的意见，以为“科学的恋爱”，不特没有什么可笑，而且是最高级的恋爱。现代心理学及心病学已经证明个人的恋爱是受他的气质，已往经验，及现在环境所制约的。中国俗语说：“情人眼里出西施，”也以为爱是“玄之又玄”的。不知道实际并不是这样。有些男人爱上一个在普通人以为很丑的女人，大家就讲这是不可理解的。自心病学者看来，就知道这个女人一定有某点——如多发，或凸目，或特种的口音之类——可以使那个男人欢喜，而这个男人所以喜欢这一点，又是因为他小时对于这点曾感受极大愉快的缘故。这些事情，本人往往自己不知道；但是，用某种方法，可以证明这种因果关系。我所谓“科学的恋爱”，就是一个人要学分析自己的性情同偏执（即所谓有“自知之明”），庶乎不至因为对方的不重要的特点，陷入情网，致贻后悔。据心病学者的经验，这种不幸的事，是往往而有的。

任公又引孝子割股疗亲，程婴、杵臼代人抚孤而牺牲生命，田横岛上五百人的自杀做例子，而断说“这等举动……都是不合理的，却不能不说是极优的人生观之一种”。世间竟有不合理而又极优的人生观，岂非奇谈！据我看来，程婴、杵臼处那种环境，他们所做完全是合理的。"
segment:01c6de42397b,Segment,唐钺_004_0712956a_s0002,Segment,唐钺_004_0712956a,唐钺_004_0712956a_s0002,,"结局，他们竟至承认人类的意志全受因果律（狭义）的支配，他们看人类直同机械一般，他们否认自由和道德。”关于自由和道德，以下再说。这里我要说对于人生观与科学的关系。范先生同我的意见实质上没有大差异，不过言语上差别罢了。为什么呢？

我在《一个痴人的说梦》中说，直接经验（所与）是科学的起点。所谓起点，就是说非科学所能转移的。范先生说：人生观的“先天的形式是由主观的直觉而得，决不是科学所能干涉”。范先生的“先天的形式”就是“义务意识”。这“义务意识”若的确是由直觉而得（这事还没有定论，暂且假定的确如此），那末，就是我所谓直接经验之一种。那末，范先生的主张同我的有什么不同呢？

人生观虽然是包含有直觉的部分，但是我们却可以说“科学能够解决人生观的全部”。因为纵使所谓“义务意识”是由直觉而来的，而人生观之所以为人生观，却是对何种现象而起“义务意识”的问题而不在于“义务意识”。这样看来，就是说科学可以解决人生观的全部，也无不可。因为一切科学都着含直觉的部分，这部分是不发生问题的，是无所用其解决的，也从来没有科学家要解决这部分的。譬如我们能感白色，这有什么可以解决的；要解决的是如何才感白色罢了。范先生在所引他的《教育哲学体系》一段中分伦理规范为形式的内容的。我的意见以为人生观只是内容的伦理规范的问题，而不是形式的规范的问题。所以我以为人生观不是由直觉而得，科学可以解决人生观的全部。"
segment:a80c93061738,Segment,唐钺_004_0712956a_s0005,Segment,唐钺_004_0712956a,唐钺_004_0712956a_s0005,,"森在他的《伦理体系》第二卷第九章中把他分称心理的及玄学的。他说：“前者是指以自己的意志起决心及行为的能力（抉择的自由），后者是说意志或各特殊决心的自身没有原因。”（F. Paulsen, A System of Ethics, Bk. I Chap. IX）他在同章又说：“道德上的负责及法律上的负责不过根据于心理的自由。”我在《心理现象与因果律》里所否认的只是意志的玄学的自由（即意志无因），并没有否认心理上的自由。怎么可以说我否认道德上责任呢？

（乙）倘是有人说：我的意志既是为某些原因所制约，那末，你们去请那些原因负责好了，不要问我。然而我们所谓要一个人负责，不过说我们可以因他的行为的恶果而加以相当的科罚。这科罚的目的，正是要对治那些原因。因为意志的这些原因是在那个人的身上，因之，科罚也加在那个人的身上，期望能消灭这些原因或防阻他使不至妄发。所以我们如知道恶果的原因不在他的身上，如一个人饿了五六日以后，偷了三块饼吃之类，我们就不加罚于他，而只设法改良他的环境；因为这行为的主要原因不在他而在环境。又如白痴的人做坏事，我们不施刑罚；因为在这种人，施刑不能对治做坏事的原因。若说作恶既然是全由因果的必然关系，何以要对治。我们可以答说，社会的对治，也是因果的必然关系。

（丙）以上所说，或者有人以为只能说明意志有因不悖于负责原理，而不能免去把人生弄成毫无意味的结局。"
segment:693c574c8c24,Segment,唐钺_000_b5cd146b_s0000,Segment,唐钺_000_b5cd146b,唐钺_000_b5cd146b_s0000,,"### 引言

在讨论以前，我要声明两件事：

第一，我这篇文的主意，在说明一切心理现象是受因果律所支配的；所有议论，其中很多是人家说过的，不过我把他们应用于本题罢了。

第二，篇中关于心理学内部的问题，都没有精密详细的讨论。这是没有法子的，因为篇幅所限，只能说个大概，以便做讨论的材料而已。

### 前论

#### （一）因果律的性质

我所谓因果律，就是说：一切现象，都有原因。比方我们遇了甲现象，随后就有乙现象发生；如没有甲，乙就不会发生；那末，我们就说，甲是乙的因。浅显的例，就如雪见日光就溶化，日光是雪化的因，这是知识没到十分精密时的说法。到了精密的时期，我们就有一个数学的公式来表达这种关系。再用前例说，我们有一个公式表明日光的热度与雪溶的速率的关系。到了这时候，我们可以不说前因后果，只说甲乙两种现象相待为变就是了。牛顿的万有引力公式，就是如此。但是无论如何，我们可以说，因果的关系，不过是可以互从推知的意思。换言之，遇甲现象发生，知道乙也要发生；见甲现象到某程度，就知道乙现象到某相当的程度。

因果律有几种应该注意的地方，可以略说一下子：

（甲）因果律是从经验得来的。初民及幼儿每每不知道有因果律，所以往往有可笑的幻想同奢望。但是，无因论者（为便利起见，我称主张心理现象是不受因果律所支配的人做无因论者；"
