source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
章演存,article:f1078fc56c16,WROTE,WROTE,neutral,0,0,,,,章演存_000_aa7de44c,
entity:d9c5b805f2da,entity:3a603ffb0b3b,RELATES_TO,作为论据支持,positive,0,0,肯定性支持,但是现在有了“相对论”，却不能说科学纯为客观的，并且可以说是主观的了,1.0,章演存_000_aa7de44c,s0000
entity:3a603ffb0b3b,entity:67821481a750,RELATES_TO,类比,neutral,0,0,不适用,人生观里最不容易统一的，就是一种情感作用；科学里边也有一种不容易统一的，就是广义的重力作用。,0.9,章演存_000_aa7de44c,s0001
entity:3a603ffb0b3b,entity:9ee1f1235059,RELATES_TO,相关,positive,0,0,不适用,庄子说：“有人之形，无人之情，”这就是去求人生原则的方法。,0.8,章演存_000_aa7de44c,s0001
entity:e75a93ac8695,entity:a21fbca9970f,RELATES_TO,区分,neutral,0,0,概念澄清,意见和原则，性质完全不是一样的，所以不能比较。,1.0,章演存_000_aa7de44c,s0002
entity:1833175dbdc3,entity:0a5d9170d332,RELATES_TO,属于,neutral,0,0,不适用,科学为因果律所支配,0.9,章演存_000_aa7de44c,s0003
entity:6bfb0534d798,entity:67821481a750,RELATES_TO,属于,neutral,0,0,不适用,人生观则为自由意志的,0.9,章演存_000_aa7de44c,s0003
entity:3a603ffb0b3b,entity:fe901cfcc616,RELATES_TO,批评,negative,0,0,一般批评,张君提倡人生观，就是证明张君是先觉，豪杰，创造，天才吗？,0.9,章演存_000_aa7de44c,s0005
entity:3a603ffb0b3b,entity:fe901cfcc616,RELATES_TO,质疑,negative,0,0,学术质疑,张君举出来的人生观对科学的五个异点，我们既然还有疑问，此外他说的“我”对“非我”九个问题，也就无从去讨论了。,0.9,章演存_000_aa7de44c,s0005
entity:3a603ffb0b3b,entity:1f367ea1e206,RELATES_TO,归因于,negative,0,0,不适用,这个是非从什么地方产出来的？就是从张君“皆以我为中心”一句话产出来的。,0.9,章演存_000_aa7de44c,s0005
entity:3a603ffb0b3b,entity:375d8d193bca,RELATES_TO,相关,positive,0,0,不适用,《庄子》的《齐物论》说：“物无非彼，物无非是，自彼则不见，自知则知之。……是亦彼也，彼亦是也。彼亦一是非，此亦一是非。果且有彼是乎哉？果且无彼是乎哉？”,0.9,章演存_000_aa7de44c,s0005
entity:3a603ffb0b3b,entity:80ce66b49c8a,RELATES_TO,承接,neutral,0,0,不适用,s0000末尾提出第一个异点，s0001开头继续讨论该异点，并展开论证。,0.95,,s0000
entity:3a603ffb0b3b,term:dc8e2fdb9b59,RELATES_TO,承接,neutral,0,0,不适用,s0001末尾结束第一个异点讨论，s0002开头直接进入第二个异点。,0.95,,s0001
entity:3a603ffb0b3b,term:db6dd41c2b02,RELATES_TO,承接,neutral,0,0,不适用,s0002末尾结束第三个异点讨论，s0003开头继续讨论并引出第四个异点。,0.95,,s0002
entity:3a603ffb0b3b,term:6fdc657a91ab,RELATES_TO,承接,neutral,0,0,不适用,s0003末尾结束第四个异点讨论，s0004开头继续讨论并引出第五个异点。,0.95,,s0003
entity:3a603ffb0b3b,term:d71ff461e368,RELATES_TO,承接,neutral,0,0,不适用,s0004末尾结束第五个异点讨论，s0005开头继续讨论并转向对九个问题的质疑。,0.95,,s0004
entity:3a603ffb0b3b,entity:10fe9f4cbabc,RELATES_TO,回应,neutral,0,0,一般批评,s0000提出张君劢的九个问题，s0005中章演存表示因五个异点有疑问而不再讨论九个问题，但转而批评其是非根源。,0.9,,s0000
entity:3a603ffb0b3b,entity:3a603ffb0b3b,RELATES_TO,作为论据支持,neutral,0,0,援引权威,s0000中章演存引用相对论作为论据，s0001中继续用相对论类比人生观，支持其观点。,0.85,,s0000
entity:3a603ffb0b3b,entity:3a603ffb0b3b,RELATES_TO,作为论据支持,neutral,0,0,援引权威,s0001中章演存引用张君劢关于原则的言论，s0002中继续用这些言论作为论据批评张君劢。,0.85,,s0001
entity:3a603ffb0b3b,entity:3a603ffb0b3b,RELATES_TO,作为论据支持,neutral,0,0,援引权威,s0002中章演存引用张君劢关于释迦和叔本华的言论，s0003中继续用这些言论作为论据证明人生观受因果律支配。,0.85,,s0002
entity:3a603ffb0b3b,entity:3a603ffb0b3b,RELATES_TO,作为论据支持,neutral,0,0,援引权威,s0003中章演存引用张君劢关于倭伊铿的言论，s0004中继续用这些言论作为论据证明人生观受因果律支配。,0.85,,s0003
entity:3a603ffb0b3b,entity:3a603ffb0b3b,RELATES_TO,作为论据支持,neutral,0,0,援引权威,s0004中章演存引用张君劢关于人格单一性的言论，s0005中继续用这些言论批评张君劢。,0.85,,s0004
entity:3a603ffb0b3b,entity:fe901cfcc616,RELATES_TO,回应,neutral,0,0,一般批评,s0000中章演存提出对五个异点的疑问，s0005中章演存总结五个异点仍有疑问，并转向批评九个问题。,0.9,,s0000
