source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
王平陵,article:a1cc96cc2268,WROTE,WROTE,neutral,0,0,,,,王平陵_000_d1d9c442,
entity:a46a0cb6287b,term:8dd8d8e3923a,RELATES_TO,批评,negative,-1.0,0.8,逻辑反驳,第一，科学的一元论（实证论）的见解，于事实上及历史上显然是不能成立。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:92b52ae32287,term:8dd8d8e3923a,RELATES_TO,作为论据支持,negative,-1.0,0.8,不适用,因为在希腊时代的科学，全是包括于哲学之内；及科学离哲学而独立以后，哲学依然存在，并没有缩小他的范围，或消灭掉他的痕迹。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:3c728236ae73,entity:31b3b1e82ecd,RELATES_TO,批评,negative,-0.8,0.6,逻辑反驳,就是由科学万能的见地上，所成立的“实证论”，要亦不过是科学的哲学罢了。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:c0019d8522b7,term:653d5c38603d,RELATES_TO,相关,positive,0.6,0.5,部分肯定,第二，补合的二元论之见解，却有可取的地方了。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:c0019d8522b7,term:03194a10a21a,RELATES_TO,包含,neutral,0.0,0.5,不适用,（一）就是承认科学与哲学，有并立的可能性。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:c0019d8522b7,term:2c3509860929,RELATES_TO,包含,neutral,0.0,0.5,不适用,（二）就是确知其在作用上，为对立的而非一元的。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:0a5d9170d332,entity:a5902cbd02aa,RELATES_TO,对比,neutral,0.0,0.5,不适用,总之，科学与哲学，其为“学”则同，而其为学之性质则异。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:0a5d9170d332,entity:4d323c58727d,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,科学乃分观宇宙间一部分的事实，而探究其原理的；,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:a5902cbd02aa,entity:ee02174973ef,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,哲学乃合观宇宙，取天地间一切事实，合一炉而穷究其本根的。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:0a5d9170d332,entity:9a29d1e929ec,RELATES_TO,作为论据支持,neutral,0.0,0.5,不适用,科学是哲学的基础，哲学是科学的综合。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:a5902cbd02aa,entity:d154e30b64f0,RELATES_TO,作为论据支持,neutral,0.0,0.5,不适用,科学是哲学的基础，哲学是科学的综合。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0000
entity:0a5d9170d332,entity:a5902cbd02aa,RELATES_TO,作为论据支持,positive,1.0,0.8,不适用,科学是哲学的基础，哲学是科学的综合。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
entity:a5902cbd02aa,entity:0a5d9170d332,RELATES_TO,作为论据支持,positive,1.0,0.8,不适用,科学是哲学的基础，哲学是科学的综合。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
entity:0a5d9170d332,entity:a5902cbd02aa,RELATES_TO,区分,neutral,0.0,0.5,概念澄清,科学与哲学的对象，是完全不同的,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
entity:a5902cbd02aa,entity:0dcb4b70dcab,RELATES_TO,包含,neutral,0.0,0.5,不适用,哲学之对象，是全体及具象体之实有,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
entity:0a5d9170d332,entity:e53c42d161a2,RELATES_TO,包含,neutral,0.0,0.5,不适用,科学之对象，则为部分及抽象体之实有,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
entity:a5902cbd02aa,entity:bb07af70c7d8,RELATES_TO,包含,neutral,0.0,0.5,不适用,哲学的方法，是思辩法论理法与直觉法之总全,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
entity:0a5d9170d332,entity:f421d8799182,RELATES_TO,包含,neutral,0.0,0.5,不适用,科学的方法，则专为经验的，归纳的。,1.0,王平陵_000_d1d9c442,王平陵_000_d1d9c442_s0001
