node_id,labels,name,node_type,article_id,segment_id,title,text
article:297330952ca6,Article,关于玄学科学论战之“战时国际公法”,Article,梁启超_000_da81f70e,,关于玄学科学论战之“战时国际公法”,
author:06cd5c2f8873,Author,梁启超,Author,,,,
article:6f5207d5b3cd,Article,人生观与科学,Article,梁启超_001_4a5e589a,,人生观与科学,
entity:62b821eaf7ed,阵营/群体,张丁两君,阵营/群体,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:fe901cfcc616,人物,张君劢,人物,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:0bacf98593d1,人物,丁文江,人物,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:67821481a750,概念,人生观,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:0a5d9170d332,概念,科学,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:d8b52ba932ef,概念,人生,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:628f91147de6,概念,心界,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:3a0f867a80e8,概念,物界,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:736bd257b040,概念,科学的结果,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:dff2e629a329,方法,科学方法,方法,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:83935efc1931,问题,人生问题,问题,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001,,
entity:d617fb423e77,概念,人生问题,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:c53ad16a0565,概念,超科学的,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:763a481fe21e,概念,心界生活,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:c732384558e8,概念,直觉的,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:e4ff3a4e2bbf,概念,自由意志的,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:519734fcddf5,概念,我对非我,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:1183e914a1c8,概念,论理学公例,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:20c332938cdd,概念,公例,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:a65469e9acaa,例证,忽君主忽民主，忽自由贸易忽保护贸易,例证,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:076d2a23e8de,例证,忽衣裘忽衣葛，忽附子玉桂忽大黄芒硝,例证,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002,,
entity:600e623be0b4,阵营/群体,玄学家,阵营/群体,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:2dd87961b384,概念,理智,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:c291dd368023,概念,情感,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:0e80d76bdeec,概念,爱,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:4fa15774cb56,概念,美,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:e450d2b364fe,比喻/类比,科学帝国,比喻/类比,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:474cbf55e7cc,比喻/类比,爱先生,比喻/类比,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:816d5ac93a55,比喻/类比,美先生,比喻/类比,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:99043bdf0344,概念,科学的恋爱,概念,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:f5520a05cb3d,例证,孝子割股疗亲,例证,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:fa26b3ad89cf,阵营/群体,中世的基督教徒,阵营/群体,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
entity:f0e3a9838a47,阵营/群体,科学家,阵营/群体,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005,,
claim:33a79389c144,Claim,这一篇纯是对于张丁两君头一次交绥的文章下批评,Claim,梁启超_001_4a5e589a,,,这一篇纯是对于张丁两君头一次交绥的文章下批评
claim:115529f6cc0c,Claim,凡辩论先要把辩论对象的内容确定,Claim,梁启超_001_4a5e589a,,,凡辩论先要把辩论对象的内容确定
claim:9d3824974d64,Claim,君劢这篇文章未曾把“人生观”和“科学”给他一个定义,Claim,梁启超_001_4a5e589a,,,君劢这篇文章未曾把“人生观”和“科学”给他一个定义
claim:ddad1b766a55,Claim,在君也不过拈起来就驳,Claim,梁启超_001_4a5e589a,,,在君也不过拈起来就驳
claim:ade9167309b6,Claim,究竟他们两位所谓“人生观”所谓“科学”，是否同属一件东西，不惟我们观战人摸不清楚，只怕两边主将也未必能心心相印哩,Claim,梁启超_001_4a5e589a,,,究竟他们两位所谓“人生观”所谓“科学”，是否同属一件东西，不惟我们观战人摸不清楚，只怕两边主将也未必能心心相印哩
claim:49d7d61ec6f0,Claim,人类从心界物界两方面调和结合而成的生活，叫做“人生”,Claim,梁启超_001_4a5e589a,,,人类从心界物界两方面调和结合而成的生活，叫做“人生”
claim:7eb6cdd902e8,Claim,我们悬一种理想来完成这种生活，叫做“人生观”,Claim,梁启超_001_4a5e589a,,,我们悬一种理想来完成这种生活，叫做“人生观”
claim:7bd707916c6c,Claim,根据经验的事实分析综合求出一个近真的公例以推论同类事物，这种学问叫做“科学”,Claim,梁启超_001_4a5e589a,,,根据经验的事实分析综合求出一个近真的公例以推论同类事物，这种学问叫做“科学”
claim:390062c13289,Claim,应用科学改变出来的物质或建设出来的机关等等只能谓之“科学的结果”，不能与“科学”本身并为一谈,Claim,梁启超_001_4a5e589a,,,应用科学改变出来的物质或建设出来的机关等等只能谓之“科学的结果”，不能与“科学”本身并为一谈
claim:3810f7d9b9a7,Claim,人生问题，有大部分是可以——而且必要用科学方法来解决的,Claim,梁启超_001_4a5e589a,,,人生问题，有大部分是可以——而且必要用科学方法来解决的
claim:6030766af1d4,Claim,人生问题，有大部分是可以——而且必要用科学方法来解决的。却有一小部分——或者还是最重要的部分是超科学的。,Claim,梁启超_001_4a5e589a,,,人生问题，有大部分是可以——而且必要用科学方法来解决的。却有一小部分——或者还是最重要的部分是超科学的。
claim:f08ed0f2025b,Claim,君劢、在君的主张，各有偏宕之处。,Claim,梁启超_001_4a5e589a,,,君劢、在君的主张，各有偏宕之处。
claim:02c8b5dd32e4,Claim,既涉到物界，自然为环境上——时间空间——种种法则所支配，断不能如君劢说的那么单纯，专凭所谓“直觉的”、“自由意志的”来片面决定。,Claim,梁启超_001_4a5e589a,,,既涉到物界，自然为环境上——时间空间——种种法则所支配，断不能如君劢说的那么单纯，专凭所谓“直觉的”、“自由意志的”来片面决定。
claim:b521eed060c5,Claim,“我对非我”之九项不能用科学方法解答。,Claim,梁启超_001_4a5e589a,,,“我对非我”之九项不能用科学方法解答。
claim:d28540c2bd08,Claim,君劢列举的“我对非我”之九项，依我看来什有八九倒是要用科学方法解答。,Claim,梁启超_001_4a5e589a,,,君劢列举的“我对非我”之九项，依我看来什有八九倒是要用科学方法解答。
claim:d51e08059d68,Claim,忽君主忽民主，忽自由贸易忽保护贸易……等等，论理学公例不能证其合不合。,Claim,梁启超_001_4a5e589a,,,忽君主忽民主，忽自由贸易忽保护贸易……等等，论理学公例不能证其合不合。
claim:5aee847587c7,Claim,科学所推寻之公例乃是：（一）在某种条件之下，会发生某种现象。（二）欲变更某种现象，当用某种条件。,Claim,梁启超_001_4a5e589a,,,科学所推寻之公例乃是：（一）在某种条件之下，会发生某种现象。（二）欲变更某种现象，当用某种条件。
