source_id,target_id,type,relation,polarity,evidence,confidence,article_id,segment_id
author_61fbbbacbb4cfd55,article_1e40504b06f11457,WROTE,WROTE,neutral,,,张东荪_000_a9bf05ee,
article_1e40504b06f11457,segment_4b3e860472c1d2b0,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0000
article_1e40504b06f11457,segment_3b003214827746af,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
article_1e40504b06f11457,segment_e6ba8557225e83df,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
article_1e40504b06f11457,segment_2a5626710832c2ab,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0003
article_1e40504b06f11457,segment_640b4fffdc6f5d4f,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0004
article_1e40504b06f11457,segment_78776ba2536567b2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0005
article_1e40504b06f11457,segment_b5353f1f24a12eba,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0006
article_1e40504b06f11457,segment_bedffc41d4c50ea0,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0007
article_1e40504b06f11457,segment_1c59d16103699cf2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0008
article_1e40504b06f11457,segment_9713e21952f0d03b,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0009
article_1e40504b06f11457,segment_c7ac8330a9ab9cea,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0010
article_1e40504b06f11457,segment_19809a192912dbd7,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0011
article_1e40504b06f11457,segment_036eab17aec5ea6a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0012
article_1e40504b06f11457,segment_254fe14ecdc3384d,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0013
article_1e40504b06f11457,segment_c72a48bf47776b8a,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0014
article_1e40504b06f11457,segment_84fcaf8e6cb0f5a2,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0015
article_1e40504b06f11457,segment_1adfbf11fa51bd22,HAS_SEGMENT,HAS_SEGMENT,neutral,,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0016
segment_3b003214827746af,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,丁先生,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment_3b003214827746af,entity_acafff9594b0d4ba,MENTIONS,MENTIONS,neutral,林先生,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment_3b003214827746af,entity_4555a7a39b660133,MENTIONS,MENTIONS,neutral,玄学这个鬼,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment_3b003214827746af,entity_70f0590f5d60ea57,MENTIONS,MENTIONS,neutral,名叫哲学的人,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment_3b003214827746af,entity_8459c276e24ba06f,MENTIONS,MENTIONS,neutral,科学来攻玄学,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment_3b003214827746af,entity_ba167cea671ffa9f,MENTIONS,MENTIONS,neutral,汉学家的考据,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0001
segment_e6ba8557225e83df,entity_7848e17f97774e9f,MENTIONS,MENTIONS,neutral,文本中多次提及丁先生，指丁文江,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment_e6ba8557225e83df,entity_e02fa81a3fdc55a9,MENTIONS,MENTIONS,neutral,丁先生最喜欢听胡适之先生的话,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment_e6ba8557225e83df,entity_3876116d214462b1,MENTIONS,MENTIONS,neutral,丁先生崇拜詹姆士,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment_e6ba8557225e83df,entity_6abac119ca7ae09e,MENTIONS,MENTIONS,neutral,玄学的性质亦很易明白,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment_e6ba8557225e83df,entity_b26a5bc978b0122e,MENTIONS,MENTIONS,neutral,哲学向来分三部,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment_e6ba8557225e83df,entity_ddfc57c0770bb946,MENTIONS,MENTIONS,neutral,哲学向来分三部：即认识论、本体论、宇宙论便是,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment_e6ba8557225e83df,entity_2cae3d84af0d342a,MENTIONS,MENTIONS,neutral,哲学向来分三部：即认识论、本体论、宇宙论便是,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
segment_e6ba8557225e83df,entity_ff13ebdbfab01fa6,MENTIONS,MENTIONS,neutral,哲学向来分三部：即认识论、本体论、宇宙论便是,,张东荪_000_a9bf05ee,张东荪_000_a9bf05ee_s0002
