node_id,labels,name,node_type,article_id,segment_id,title,text
article:b8d5a5bcc0c2,Article,“死狗”的心理学,Article,陆志韦_000_44275f1b,,“死狗”的心理学,
author:c76e249bfc7e,Author,陆志韦,Author,,,,
entity:f23057156aa4,历史事件,科学与玄学的冲突,历史事件,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:df9fcc38989a,概念,心理学者,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:161dd972256c,阵营/群体,我们,阵营/群体,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:1305149b11ee,阵营/群体,玄学鬼,阵营/群体,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:17c71f155473,阵营/群体,科学精,阵营/群体,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:c8b98890c241,概念,心理学,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:0bacf98593d1,人物,丁文江,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:fe901cfcc616,人物,张君劢,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:bd45b9b82b9b,概念,唯感觉主义的哲学家的口头禅,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:ed0f505d7516,人物,Pearson,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:00bef48442ce,阵营/群体,心理学家,阵营/群体,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:26e8a7558311,人物,Mach,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:330cafc72ed2,人物,Brentano,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:7a1aaae0934e,阵营/群体,Wurzburg学派,阵营/群体,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:df705c8a7412,人物,杜里舒,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:a4a7423a31e9,阵营/群体,Wurzburg派,阵营/群体,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:5816ba338131,比喻/类比,护身符,比喻/类比,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:e550ac264f5b,比喻/类比,走狗,比喻/类比,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0000,,
entity:a5902cbd02aa,概念,哲学,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:0a5d9170d332,概念,科学,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:600e623be0b4,阵营/群体,玄学家,阵营/群体,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:f0e3a9838a47,阵营/群体,科学家,阵营/群体,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:c43404120cf8,人物,Helmholtz,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:db3be1e6fea3,概念,天才,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:758cd0e48721,概念,疯子,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:a5d9f1eb114e,人物,张东荪,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:ee4eacd95969,人物,Goddard,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:e867d428ff3f,人物,林宰平,人物,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:62fe7e6b89d5,概念,智力测验,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:95d5717b28c5,例证,色盲人看玫瑰花是绿的,例证,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:2b915fa69b62,观点,电流直接引起味觉,观点,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0001,,
entity:9586a72edc13,概念,玄学的假定,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,
entity:ac0864d806e7,概念,诸公,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,
entity:e74531220f03,概念,普通心理学的名词,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,
entity:6d4de4405b8d,概念,试验心理学的名词,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,
entity:798e83ed3996,概念,有机化学的名词,概念,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,
entity:b358136b4695,阵营/群体,丁文江 + 张君劢,阵营/群体,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,
entity:8b649e77ed19,著作,《子不语》,著作,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,
entity:ad35748be86d,文章,“鬼球”,文章,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,
entity:ece3a2fe5a1d,比喻/类比,球,比喻/类比,陆志韦_000_44275f1b,陆志韦_000_44275f1b_s0002,,
claim:f6492ff2f830,Claim,心理学者看了大不高兴。,Claim,陆志韦_000_44275f1b,,,心理学者看了大不高兴。
claim:0e641cdaa7ce,Claim,我们为哲学做“走狗”的人实在左右做“狗”难。,Claim,陆志韦_000_44275f1b,,,我们为哲学做“走狗”的人实在左右做“狗”难。
claim:d023c4a60d51,Claim,心理学的地位比上不足，比下有余，这是我们自己的不争气。,Claim,陆志韦_000_44275f1b,,,心理学的地位比上不足，比下有余，这是我们自己的不争气。
claim:f43a2373be7d,Claim,丁在君先生所说的心理学完全不是张君劢先生所说的心理学。,Claim,陆志韦_000_44275f1b,,,丁在君先生所说的心理学完全不是张君劢先生所说的心理学。
claim:c1c82feff0af,Claim,一是唯感觉主义的哲学家的口头禅。,Claim,陆志韦_000_44275f1b,,,一是唯感觉主义的哲学家的口头禅。
claim:01cfafeb7308,Claim,Pearson我们不承认是心理学家。,Claim,陆志韦_000_44275f1b,,,Pearson我们不承认是心理学家。
claim:387482ffd95c,Claim,"丁先生的主张,Mach未必都能赞同。",Claim,陆志韦_000_44275f1b,,,"丁先生的主张,Mach未必都能赞同。"
claim:8a144504f9f4,Claim,张先生的心理学，看来他的位置介乎 Brentano 与 Wurzburg 学派之间。,Claim,陆志韦_000_44275f1b,,,张先生的心理学，看来他的位置介乎 Brentano 与 Wurzburg 学派之间。
claim:82e5b2081a2a,Claim,这种学派原不无一部分的势力，然而决不能代表一切心理学。,Claim,陆志韦_000_44275f1b,,,这种学派原不无一部分的势力，然而决不能代表一切心理学。
claim:6e55e1c14bc8,Claim,两先生的心理学都是一偏之见。,Claim,陆志韦_000_44275f1b,,,两先生的心理学都是一偏之见。
claim:c92a81ead548,Claim,原来所争的都不是那一回事。,Claim,陆志韦_000_44275f1b,,,原来所争的都不是那一回事。
claim:0ae929709eb0,Claim,心理学只算得三十六着中最后一着的护身符。,Claim,陆志韦_000_44275f1b,,,心理学只算得三十六着中最后一着的护身符。
claim:8aa042b5aa21,Claim,两先生都没有了解心理学,Claim,陆志韦_000_44275f1b,,,两先生都没有了解心理学
claim:c545953dd71c,Claim,他们原不必牵涉心理学,Claim,陆志韦_000_44275f1b,,,他们原不必牵涉心理学
claim:90d44735a5ff,Claim,色盲人看玫瑰花是绿的,Claim,陆志韦_000_44275f1b,,,色盲人看玫瑰花是绿的
claim:118393002db9,Claim,丁先生信仰而偏袒科学家，甚至把Helmholtz的错误都信以为真理了,Claim,陆志韦_000_44275f1b,,,丁先生信仰而偏袒科学家，甚至把Helmholtz的错误都信以为真理了
claim:08507e8dbe67,Claim,天才与疯子都是感觉特别发展,Claim,陆志韦_000_44275f1b,,,天才与疯子都是感觉特别发展
claim:5c597423e25e,Claim,那竟是奉了上谕，捏造证据,Claim,陆志韦_000_44275f1b,,,那竟是奉了上谕，捏造证据
claim:21174f7eac6a,Claim,张先生不得已而谈心理，我们觉得他的措辞比丁先生稳健得多,Claim,陆志韦_000_44275f1b,,,张先生不得已而谈心理，我们觉得他的措辞比丁先生稳健得多
claim:f39ca4f31c1b,Claim,他只是述学而不叙事，偏固是偏，还没有钦定现象,Claim,陆志韦_000_44275f1b,,,他只是述学而不叙事，偏固是偏，还没有钦定现象
claim:221f4596c868,Claim,张东荪先生是我的知交，他的出言不慎我们也不能为他曲谅,Claim,陆志韦_000_44275f1b,,,张东荪先生是我的知交，他的出言不慎我们也不能为他曲谅
claim:211b3ab739df,Claim,实在没有几本书,Claim,陆志韦_000_44275f1b,,,实在没有几本书
claim:3f22fb67408a,Claim,科学的智力测验，除了玄学的假定，就立不住,Claim,陆志韦_000_44275f1b,,,科学的智力测验，除了玄学的假定，就立不住
claim:4a136682e0ff,Claim,电流直接引起味觉,Claim,陆志韦_000_44275f1b,,,电流直接引起味觉
claim:fa92a28a123d,Claim,这些都是事实的问题。是则是，非则非，无从辩论,Claim,陆志韦_000_44275f1b,,,这些都是事实的问题。是则是，非则非，无从辩论
claim:a92841430b45,Claim,智力测验，除了玄学的假定，就立不住。,Claim,陆志韦_000_44275f1b,,,智力测验，除了玄学的假定，就立不住。
claim:3a312d392a4d,Claim,林宰平先生自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉。这些都是事实的问题。是则是，非则非，无从辩论。,Claim,陆志韦_000_44275f1b,,,林宰平先生自己尝了自己的吐涎还没有知道，倒说电流直接引起味觉。这些都是事实的问题。是则是，非则非，无从辩论。
claim:33b92d9c387a,Claim,诸公是当代名流，发言轻重，我们但愿诸公不要强不知以为知。,Claim,陆志韦_000_44275f1b,,,诸公是当代名流，发言轻重，我们但愿诸公不要强不知以为知。
claim:dbeeaaca0edf,Claim,诸公的发言须对于我们负责任了。因此诸公不当不满意于我们的不满意。,Claim,陆志韦_000_44275f1b,,,诸公的发言须对于我们负责任了。因此诸公不当不满意于我们的不满意。
claim:675e1c152eb5,Claim,心理学的受罪恐怕也因为他的名词太普通，不知底蕴人容易滥用,Claim,陆志韦_000_44275f1b,,,心理学的受罪恐怕也因为他的名词太普通，不知底蕴人容易滥用
claim:9245d91c6d43,Claim,但愿以后普通心理学的名词能像试验心理学的名词的秘奥，或者竟像有机化学的名词的野蛮。,Claim,陆志韦_000_44275f1b,,,但愿以后普通心理学的名词能像试验心理学的名词的秘奥，或者竟像有机化学的名词的野蛮。
claim:44d87ef336db,Claim,心理学就是那球，而先生们自己已有定谳。你们踢了一夜，天亮了，球亦开口说话了。,Claim,陆志韦_000_44275f1b,,,心理学就是那球，而先生们自己已有定谳。你们踢了一夜，天亮了，球亦开口说话了。
term:8fdd70e60b3d,观点,心理学者看了大不高兴,观点,,,,
term:3ac303ef7186,概念,丁在君先生所说的心理学,概念,,,,
term:e1ce158068b8,概念,张君劢先生所说的心理学,概念,,,,
term:444862b1d437,人物,作者,人物,,,,
term:d474ca764471,观点,Pearson是心理学家,观点,,,,
term:67b4d9fe2c45,观点,丁先生的主张,观点,,,,
term:541fddf653c2,观点,Mach未必都能赞同,观点,,,,
term:1dfb0ea5fadf,概念,张先生的心理学,概念,,,,
term:b62eb523a9ce,阵营/群体,Brentano与Wurzburg学派之间,阵营/群体,,,,
term:bcb62f91b527,阵营/群体,这种学派,阵营/群体,,,,
term:9d322ee4491d,观点,不能代表一切心理学,观点,,,,
term:62f41e8df04e,概念,两先生的心理学,概念,,,,
term:8c2fdd43d50d,评价,一偏之见,评价,,,,
term:23aab0ef8c3e,人物,陆志韦,人物,,,,
term:c10224e4dd0f,概念,哲学与科学,概念,,,,
term:c36c77e17da6,概念,心理学的受罪,概念,,,,
term:dee0894227a3,概念,他的名词太普通，不知底蕴人容易滥用,概念,,,,
