source_id,target_id,type,relation,polarity,stance_score,intensity,relation_subtype,evidence,confidence,article_id,segment_id
梁启超,article:297330952ca6,WROTE,WROTE,neutral,0,0,,,,梁启超_000_da81f70e,
梁启超,article:6f5207d5b3cd,WROTE,WROTE,neutral,0,0,,,,梁启超_001_4a5e589a,
term:444862b1d437,term:07ec6007638a,RELATES_TO,批评,negative,-0.5,0.5,一般批评,所以这一篇纯是对于张丁两君头一次交绥的文章下批评,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
term:444862b1d437,term:92f85896d492,RELATES_TO,批评,negative,-0.6,0.6,证据不足批评,我很可惜君劢这篇文章，不过在学校里随便讲演，未曾把“人生观”和“科学”给他一个定义,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
term:444862b1d437,term:8a8eccfa23a0,RELATES_TO,质疑,negative,-0.7,0.7,概念混淆批评,究竟他们两位所谓“人生观”所谓“科学”，是否同属一件东西，不惟我们观战人摸不清楚，只怕两边主将也未必能心心相印哩,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
term:444862b1d437,entity:d8b52ba932ef,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,人类从心界物界两方面调和结合而成的生活，叫做“人生”,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
term:444862b1d437,entity:67821481a750,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,我们悬一种理想来完成这种生活，叫做“人生观”,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
term:444862b1d437,entity:0a5d9170d332,RELATES_TO,定义,neutral,0.0,0.5,概念澄清,根据经验的事实分析综合求出一个近真的公例以推论同类事物，这种学问叫做“科学”,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
term:444862b1d437,entity:736bd257b040,RELATES_TO,区分,neutral,0.0,0.5,概念澄清,应用科学改变出来的物质或建设出来的机关等等只能谓之“科学的结果”，不能与“科学”本身并为一谈,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
term:444862b1d437,term:a77e7113127b,RELATES_TO,主张,positive,0.8,0.7,不适用,人生问题，有大部分是可以——而且必要用科学方法来解决的,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0001
term:a252ef6e0c94,term:2fde2c841f2e,RELATES_TO,批评,negative,-0.5,0.5,一般批评,因此我对于君劢、在君的主张，觉得他们各有偏宕之处。,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
term:a252ef6e0c94,entity:fe901cfcc616,RELATES_TO,反驳,negative,-0.8,0.7,逻辑反驳,既涉到物界，自然为环境上——时间空间——种种法则所支配，断不能如君劢说的那么单纯，专凭所谓“直觉的”、“自由意志的”来片面决定。,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
term:a252ef6e0c94,entity:fe901cfcc616,RELATES_TO,归谬,negative,-0.9,0.8,归谬,若仿照君劢的论调，也可以说：“忽衣裘忽衣葛，忽附子玉桂忽大黄芒硝……试问论理学公例何者能证其合不合乎？”然则连衣服饮食都无一定公例可以支配了，天下有这种理吗？,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
term:a252ef6e0c94,term:35137d9e1654,RELATES_TO,定义,positive,1.0,0.8,概念澄清,殊不知科学所推寻之公例乃是：（一）在某种条件之下，会发生某种现象。（二）欲变更某种现象，当用某种条件。,0.9,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0002
term:a252ef6e0c94,entity:0bacf98593d1,RELATES_TO,反驳,negative,-0.8,0.7,逻辑反驳,我说人生观的统一，非惟不可能，而且不必要。,1.0,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005
term:a252ef6e0c94,entity:fa26b3ad89cf,RELATES_TO,批评,negative,-0.9,0.9,道德指责,除非中世的基督教徒才有这种谬见，似乎不应该出于科学家之口。,1.0,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005
entity:c291dd368023,entity:2dd87961b384,RELATES_TO,区分,neutral,0.0,0.5,概念澄清,人类生活，固然离不了理智；但不能说理智包括尽人类生活的全内容。此外还有极重要一部分——或者可以说是生活的原动力，就是“情感”。,1.0,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005
entity:0e80d76bdeec,entity:0a5d9170d332,RELATES_TO,区分,neutral,0.0,0.5,概念澄清,这位“爱先生”和那位“美先生”依然永远保持他们那种“上不臣天子，下不友诸侯”的身分。,1.0,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005
entity:4fa15774cb56,entity:0a5d9170d332,RELATES_TO,区分,neutral,0.0,0.5,概念澄清,这位“爱先生”和那位“美先生”依然永远保持他们那种“上不臣天子，下不友诸侯”的身分。,1.0,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005
entity:f5520a05cb3d,term:b476d0a80de4,RELATES_TO,作为论据支持,positive,0.8,0.6,不适用,孝子割股疗亲，稍有常识的也该知道是无益。但他情急起来，完全计较不到这些。,1.0,梁启超_001_4a5e589a,梁启超_001_4a5e589a_s0005
