node_id,labels,name,node_type,article_id,segment_id,title,text
article:4747e4851762,Article,人生观,Article,张君劢_000_e090c0d2,,人生观,
author:422c10e5f6ea,Author,张君劢,Author,,,,
article:5c69c7e34e3c,Article,人生观（中篇）,Article,张君劢_001_688ab8ae,,人生观（中篇）,
article:7d716e6825f8,Article,再论人生观与科学并答丁在君,Article,张君劢_002_c870d202,,再论人生观与科学并答丁在君,
article:e8cb82cf2f29,Article,科学之评价,Article,张君劢_003_cd868ad5,,科学之评价,
segment:3c8adf873079,Segment,张君劢_002_c870d202_s0018,Segment,张君劢_002_c870d202,张君劢_002_c870d202_s0018,,"义者之无聊而已。

抑在君闻欧氏之言，必又曰此与柏格森、张君劢一鼻孔出气者，是玄学也，必不可信。则吾举韦尔斯之言。韦氏者，科学的文学家也，去神秘主义者甚远者也。其所著《最初物与最终物》一书中，尝有论理学为静的，生活为动的之惊语。继之以伸论曰：

“普通之三段论式的论理学，每以为凡为甲者，或为乙，或为非乙。其实世间之物，何尝有若是固定者？其为甲者，或变而去乙近，或变而去乙远。然人类之心理，于所谓变而尤近，或变而尤远云云，每以为难于说明。于是好为断定之语，名甲为乙，或名曰非乙，以其固定，则思考易也。其于变动不居之流，尝求所以阻止之，彼约修之阻止太阳之进行。盖川流不息之体，难于思考，于是对于外界之事物，好暂时摄取小影，以求得一固定之形。换词言之，去其变动不居者，而后从而研究之，与自然科学家之死一蝴蝶，以达研究生活之目的者等也。”（二十六页）

韦氏此段文章，于世界实在本为活的动的，而论理学家必分之为甲为乙，使之归于固定，以便思考，可为描画尽旨矣。如是，岂惟本活者超于论理学以上，即所谓本死者，亦难为论理学之所范围矣。

韦氏既论世界活的实在，不如论理学家所分画之明确，于是谓世界有一种反动之趋势，承认个体之单一性，而否认数学家之计算方法。其言曰：

“算也，量也，数学之全部构造也，皆出于人之主观，而与事实之世界相背。个体之单一性，乃客观的真理也。”（三十五页）"
segment:415dc57d331f,Segment,张君劢_000_e090c0d2_s0008,Segment,张君劢_000_e090c0d2,张君劢_000_e090c0d2_s0008,,"恋爱者，此不可不注意者二也。

所谓个人与社会者：重社会则轻个人之发展，重个人则害社会之公益，此古今最不易解决之问题也。世间本无离社会之个人，亦无离个人之社会。故个人社会云者，不过为学问研究之便利计，而乃设此对待名词耳。此问题之所以发生者，在法制与财产之关系上尤重。譬诸教育过于一律，政治取决于多数，则往往特殊人才为群众所压倒矣。生计组织过于集中，则小工业为大工业所压倒，而社会之财富集中于少数人，是重个人而轻社会也。总之，知识发展，应重个人；财产分配，应均诸社会；虽其大原则如是，而内容甚繁，此亦不可不注意者三也。

至于国家主义与世界主义之争：我国向重平和，向爱大同，自无走入偏狭爱国主义之危险，然国中有所谓国货说，有所谓收回权利说，此则二说之是非尚在未决之中，故亦诸君所应注意者也。

方今国中竟言新文化，而文化转移之枢纽，不外乎人生观。吾有吾之文化，西洋有西洋之文化。西洋之有益者如何采之，有害者如何革除之；凡此取舍之间，皆决之于观点。观点定，而后精神上之思潮、物质上之制度，乃可按图而索。此则人生观之关系于文化者所以若是其大也。诸君学于中国，不久即至美洲，将来沟通文化之责即在诸君之双肩上。所以敢望诸君对此问题时时放在心头，不可于一场演说后便尔了事也。

十二，二，十四。"
segment:de771ef9f688,Segment,张君劢_001_688ab8ae_s0015,Segment,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0015,,"质之本质为何，非物理家所能解释也。生物学家以细胞为基本概念，然细胞之本质为何，非生物学家所能解释也。推之生物之来源，心理与身体之关系，科学家之无法解释正与此同。于是托氏从而断之曰，小秘密去，大秘密又来，宇宙之神奇，决非科学所能尽灭，或者因研究之深浅暂时迁移之耳（《科学引论》一九一页）。托氏又引兰克司德之语曰：“……此等事物，非今日科学所能解释，且永非他日之科学所能解释。”呜呼！吾读此数家之言，何自谦抑若是。以之较在君科学万能之语，虽不能不佩其螳臂当车之勇，然吾惟有叹蟪蛄之不知春秋而已。

#### 第四 玄学在欧洲是否“没有地方混饭吃”

在君所念念不忘者，为吃饭问题。一曰玄学……到近来渐渐没有地方混饭吃。再则曰玄学家吃饭的家伙。……（下略）玄学之在欧美，生耶死耶，请与读者一研究之。在君之文，题曰《玄学与科学》，以其明知今之青年闻玄学之名而恶之，故取此名以投合时好。惟玄学一名含义之混，故于研究之始，不可不先定范围。

玄学之名，本作为超物理界超官觉界解释。惟其有此解释，于是凡属觉官以上者，概以归之玄学。譬之因伽利略罪状之宣告，而想及罗马教，曰此玄学之过。然而玄学不任受也。因伽利略之发明力学，而上溯之中世纪，则有以星学占吉凶者，有以巫蛊易牛乳之色者，曰此玄学之过。然而玄学不任受也。"
segment:d4288647aea6,Segment,张君劢_001_688ab8ae_s0007,Segment,张君劢_001_688ab8ae,张君劢_001_688ab8ae_s0007,,"一，乃能得推论之同一，故与感觉主义无背焉。虽然，以人事言之，明明有官觉的印象相同，而其所得结论则大异。器官之微异，达尔文曰：是环境使然；拉马克曰：是用不用使然。果达氏、拉氏官觉组织之不同耶？果如在君所谓谁为疯子，谁为非疯子耶？关于时空问题，牛顿曰：时空绝对；爱因斯坦曰：时空相对。果两氏官觉组织之不同耶？果如在君所谓谁为疯子，谁为非疯子耶？休谟、洛克曰：知识起于感觉；康德曰：知识之成立，除觉摄外，依赖理性为根据。果三家官觉组织之不同耶？果如在君所谓谁为疯子，谁为非疯子耶？马哈不认有所谓我，而詹姆士承认之。果两氏官觉组织之不同耶？果如在君所谓谁为疯子，谁为非疯子耶？此数人者，所以各持一说之故，理由甚多，姑置勿论。要之，以感觉为知识材料之最后根源，以常人官觉组织之相同为推理相同之惟一根据，则断断乎其不可通。

皮尔逊之知识论之驳难，大略尽于此矣。然中央电话交换所为皮氏最爱用之譬喻，故不可不一论之。皮氏之意，人心如电话局之接线生然，接线生但知两家之报号，至报号者之为何如人，非接线生之所知。人心亦然，但能接受感觉，至感觉之背后为何物，则非人之所能知。然依以上所言，人类之辨别真伪，乃思想之本质。故所谓心之为用，决非如接线生之接线而已。此意本与唯觉主义相反。若唯觉主义既破，则接线生之喻亦无自而成立。故美人罗杰司尝评皮氏曰："
segment:cddc5f857feb,Segment,张君劢_003_cd868ad5_s0005,Segment,张君劢_003_cd868ad5,张君劢_003_cd868ad5_s0005,,"的安适，这种文明是绝对不能持久的。甲以工商主义侵乙，则乙必起而奖励工商，以求等于甲或凌驾而上之；甲乙之工商既相等，争投资于未开发之地，则甲乙必各争海陆军之强弱；而其参谋部又持先发制人之计，于是事端朝起，宣战之书夕至，此则一九一四年大战之由来，彰彰明甚者也。吾以为国际间之所求，专在有限之物质，则物质有限，而人欲无穷，谓如此而可为国家久安计，为人类幸福计，吾不信焉。

诸君听我的话，或不明白我意思所在。我的意思，就是要诸君认清今后发展之途径，不可蹈前人覆辙。什么国家主义，军阀主义，工商主义，都成过去；乃至思想方面，若专恃有益于实用之科学知识，而忘却形上方面，忘却精神方面，忘却艺术方面，是决非国家前途之福。方今欧美先知先觉，在精神方面提倡内生活，在政治方面提倡国际联盟，这种人已经不在少数；只看我国人如何响应他，必可以达到一种新境界。而亚美两洲之中国、美国，尤为地大物博，非若欧洲地小国多，故适于提倡大同主义，观之威尔逊之热心国际联盟，与吾国大同思想之发达，是其明证。敢告诸君，我所说的并非梦话，欧美知识界之新学者，都已趋向我所说的新路上来了。

假令以上评价之标准不谬，则教育之方针，可得而言。人生在世，计有五方面：曰形上，曰审美，曰意志，曰理智，曰身体。

（一）形上 人类在世，若但计官觉界所及之得失，而不计内界之心安理得；以言乎个人，则好为功名富贵之争，而忘君子为己之学；"
